position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
QB,baseline,ensemble,pooled,rmse_delta,-0.17596043509316583,-0.22739892985237892,-0.12416561920350482,2676,ADOPT,"RMSE delta -0.176 (95% CI [-0.227, -0.124]); Spearman lo_95 +0.0098 > floor -0.020"
QB,baseline,ensemble,pooled,spearman_delta,0.018358034468186846,0.009779521865185431,0.02617441104354134,2676,ADOPT,"RMSE delta -0.176 (95% CI [-0.227, -0.124]); Spearman lo_95 +0.0098 > floor -0.020"
QB,baseline,ensemble,2021,rmse_delta,-0.19459599636141078,-0.2903343626452358,-0.10282846545221569,665,,
QB,baseline,ensemble,2021,spearman_delta,0.023833916812945,0.01028519745202678,0.03769534279366173,665,,
QB,baseline,ensemble,2022,rmse_delta,-0.1829659632488747,-0.29225519103457176,-0.08013461615614956,657,,
QB,baseline,ensemble,2022,spearman_delta,0.020843879722996173,0.004218979657368599,0.037440350631236304,657,,
QB,baseline,ensemble,2023,rmse_delta,-0.1311266226527037,-0.25844140106210906,0.008467429520579378,670,,
QB,baseline,ensemble,2023,spearman_delta,0.005895829885286807,-0.015841100573733148,0.02544705213369413,670,,
QB,baseline,ensemble,2024,rmse_delta,-0.19342298216456744,-0.2787638403578072,-0.11348459983827201,684,,
QB,baseline,ensemble,2024,spearman_delta,0.022858511451519403,0.010178207339379745,0.0360014136169124,684,,
RB,baseline,ensemble,pooled,rmse_delta,0.0212289861740933,-0.00209561212844751,0.0455117886589901,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.002, +0.046] brackets / exceeds zero"
RB,baseline,ensemble,pooled,spearman_delta,0.00031024616192154575,-0.003717109674851085,0.004305291858941906,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.002, +0.046] brackets / exceeds zero"
RB,baseline,ensemble,2021,rmse_delta,0.04614740994636879,-0.014013073099044671,0.10188322758507531,1315,,
RB,baseline,ensemble,2021,spearman_delta,-0.010878463218360501,-0.020917566689402315,-0.0008585603318352707,1315,,
RB,baseline,ensemble,2022,rmse_delta,-0.01622515669522695,-0.06325090741025725,0.031568796857271195,1331,,
RB,baseline,ensemble,2022,spearman_delta,0.007196647776303133,-0.0011537014206217861,0.015379311817059826,1331,,
RB,baseline,ensemble,2023,rmse_delta,0.034232220787052015,-0.0081235985394422,0.07613575544053568,1311,,
RB,baseline,ensemble,2023,spearman_delta,0.0037437679947668334,-0.00355994042946155,0.011172862605237283,1311,,
RB,baseline,ensemble,2024,rmse_delta,0.02095251614351845,-0.015434344828564891,0.06006156990725865,1316,,
RB,baseline,ensemble,2024,spearman_delta,0.0011790320949767175,-0.005914137220533,0.008045775554231246,1316,,
TE,baseline,ensemble,pooled,rmse_delta,-0.020809699863254316,-0.045415088063992345,0.009724127537797429,4257,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.045, +0.010] brackets / exceeds zero"
TE,baseline,ensemble,pooled,spearman_delta,0.007560199412468438,0.00164156837536861,0.01369104880876162,4257,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.045, +0.010] brackets / exceeds zero"
TE,baseline,ensemble,2021,rmse_delta,-0.061476928486304594,-0.10988136673454629,-0.015440998165885844,1030,,
TE,baseline,ensemble,2021,spearman_delta,0.021596828940256052,0.008130270195197811,0.03438554064255804,1030,,
TE,baseline,ensemble,2022,rmse_delta,-0.04747420258313895,-0.09748872727703475,0.0010641928628223592,1088,,
TE,baseline,ensemble,2022,spearman_delta,0.002590333056337435,-0.010115827759462924,0.01699025478363914,1088,,
TE,baseline,ensemble,2023,rmse_delta,-0.03814471398234609,-0.08239867531245108,0.005819082061329559,1058,,
TE,baseline,ensemble,2023,spearman_delta,0.012362007903666705,0.0022251335993609287,0.02275701751214652,1058,,
TE,baseline,ensemble,2024,rmse_delta,0.06315135173901965,0.004998390031069835,0.13913523937965586,1081,,
TE,baseline,ensemble,2024,spearman_delta,-0.006308372250386052,-0.017421679604870066,0.003770798288830723,1081,,
WR,baseline,ensemble,pooled,rmse_delta,-0.031971352072351245,-0.05308857748514164,-0.009207512498019432,8460,ADOPT,"RMSE delta -0.032 (95% CI [-0.053, -0.009]); Spearman lo_95 +0.0028 > floor -0.020"
WR,baseline,ensemble,pooled,spearman_delta,0.0069217690280113375,0.0027559179685867933,0.010859624087709687,8460,ADOPT,"RMSE delta -0.032 (95% CI [-0.053, -0.009]); Spearman lo_95 +0.0028 > floor -0.020"
WR,baseline,ensemble,2021,rmse_delta,-0.036697574706439084,-0.07961862163696627,0.006475355745475749,2109,,
WR,baseline,ensemble,2021,spearman_delta,0.011407689139060317,0.0035446600108111847,0.019273600632756183,2109,,
WR,baseline,ensemble,2022,rmse_delta,-0.034565736467952135,-0.07540006179552401,0.006580151893728445,2102,,
WR,baseline,ensemble,2022,spearman_delta,0.007308823166119249,-0.00019681680706148396,0.014933891005560614,2102,,
WR,baseline,ensemble,2023,rmse_delta,-0.02389311906661984,-0.06490571335648154,0.01875372608463348,2201,,
WR,baseline,ensemble,2023,spearman_delta,0.0045111773317737525,-0.003353766651333087,0.01199599381417377,2201,,
WR,baseline,ensemble,2024,rmse_delta,-0.032910070381568346,-0.07479365098630444,0.011066636489505254,2048,,
WR,baseline,ensemble,2024,spearman_delta,0.004459386475092031,-0.003832217110365324,0.012801935004905243,2048,,
