position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
QB,baseline,lightgbm-tuned,pooled,rmse_delta,-0.11893244316943097,-0.20628532250080747,-0.03099522616774449,2676,ADOPT,"RMSE delta -0.119 (95% CI [-0.206, -0.031]); Spearman lo_95 +0.0046 > floor -0.020"
QB,baseline,lightgbm-tuned,pooled,spearman_delta,0.017689120676371628,0.004590121350868811,0.030428195065175412,2676,ADOPT,"RMSE delta -0.119 (95% CI [-0.206, -0.031]); Spearman lo_95 +0.0046 > floor -0.020"
QB,baseline,lightgbm-tuned,2021,rmse_delta,-0.10218530061068876,-0.2780896138547666,0.09117669143998099,665,,
QB,baseline,lightgbm-tuned,2021,spearman_delta,0.03451763826072396,0.007690901181190905,0.06196139111644723,665,,
QB,baseline,lightgbm-tuned,2022,rmse_delta,-0.10410519637518156,-0.2756942233330437,0.06475026191647908,657,,
QB,baseline,lightgbm-tuned,2022,spearman_delta,0.010698759779499634,-0.01666195115054385,0.037197618508834754,657,,
QB,baseline,lightgbm-tuned,2023,rmse_delta,-0.048997631113518736,-0.23740379786460333,0.14897577503951476,670,,
QB,baseline,lightgbm-tuned,2023,spearman_delta,-0.0003854426292762003,-0.025575764890258427,0.022605261846352236,670,,
QB,baseline,lightgbm-tuned,2024,rmse_delta,-0.21505476137109092,-0.3542703982736932,-0.07060473120142417,684,,
QB,baseline,lightgbm-tuned,2024,spearman_delta,0.02592552729453934,0.0036526565406278634,0.04729378845390396,684,,
RB,baseline,lightgbm-tuned,pooled,rmse_delta,0.11439251675157802,0.07983404667183527,0.15197523976158142,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [+0.080, +0.152] brackets / exceeds zero"
RB,baseline,lightgbm-tuned,pooled,spearman_delta,-0.004251357257317956,-0.009780494894333715,0.0009260102211737963,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [+0.080, +0.152] brackets / exceeds zero"
RB,baseline,lightgbm-tuned,2021,rmse_delta,0.14087545983155536,0.05808770270823236,0.22256696538227258,1315,,
RB,baseline,lightgbm-tuned,2021,spearman_delta,-0.02310390951293173,-0.03434274567983786,-0.010544012205640583,1315,,
