position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
QB,_baseline_run,_candidate_run,pooled,rmse_delta,0.00046835375972698046,-0.01246838270439985,0.014364380495533654,2676,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.012, +0.014] brackets / exceeds zero"
QB,_baseline_run,_candidate_run,pooled,spearman_delta,-8.081899226708433e-05,-0.0029455577643548642,0.0024378206658928563,2676,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.012, +0.014] brackets / exceeds zero"
QB,_baseline_run,_candidate_run,2021,rmse_delta,-0.0034002772529992953,-0.027906175839967996,0.02051790430958964,665,,
QB,_baseline_run,_candidate_run,2021,spearman_delta,0.0018841372403521905,-0.0030358688843279092,0.007128827897290865,665,,
QB,_baseline_run,_candidate_run,2022,rmse_delta,0.005338016319447192,-0.025201199245493376,0.039698380669564146,657,,
QB,_baseline_run,_candidate_run,2022,spearman_delta,-0.002814088999807285,-0.009282221150032913,0.0031456942391802837,657,,
QB,_baseline_run,_candidate_run,2023,rmse_delta,1.7529513916869632e-05,-0.02550501254069073,0.024751330472404586,670,,
QB,_baseline_run,_candidate_run,2023,spearman_delta,0.0004875237810800792,-0.004762827270604641,0.005776039873872176,670,,
QB,_baseline_run,_candidate_run,2024,rmse_delta,0.00032321978019123065,-0.025818957994988612,0.025125358098100303,684,,
QB,_baseline_run,_candidate_run,2024,spearman_delta,0.00011915200930678882,-0.005380298565152616,0.005722568466122065,684,,
RB,_baseline_run,_candidate_run,pooled,rmse_delta,0.00010252589478465524,-0.01096337970835619,0.011059088281040385,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.011, +0.011] brackets / exceeds zero"
RB,_baseline_run,_candidate_run,pooled,spearman_delta,0.0005751665262380135,-0.0014363786240544796,0.00269603386556545,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.011, +0.011] brackets / exceeds zero"
RB,_baseline_run,_candidate_run,2021,rmse_delta,0.011198257619972729,-0.014227890323673309,0.03477499257890422,1315,,
RB,_baseline_run,_candidate_run,2021,spearman_delta,-0.0010334613807695403,-0.0055887919429170405,0.003785840246708837,1315,,
RB,_baseline_run,_candidate_run,2022,rmse_delta,-0.010194802502886624,-0.03560737236250355,0.012747047014679321,1331,,
RB,_baseline_run,_candidate_run,2022,spearman_delta,0.0038186053881109627,-0.00038756876348664524,0.008380408905400491,1331,,
RB,_baseline_run,_candidate_run,2023,rmse_delta,0.000789312822303323,-0.018733312193908013,0.02222450362662653,1311,,
RB,_baseline_run,_candidate_run,2023,spearman_delta,-0.0006516086523880027,-0.004462523018835393,0.0028374189845813236,1311,,
RB,_baseline_run,_candidate_run,2024,rmse_delta,-0.0016330601415637247,-0.018345775605501945,0.01327053202613879,1316,,
RB,_baseline_run,_candidate_run,2024,spearman_delta,0.00016713074999830102,-0.0027016965050480125,0.0032547343308940383,1316,,
TE,_baseline_run,_candidate_run,pooled,rmse_delta,-0.003726377149474658,-0.012081063457070806,0.004983489928587991,4257,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.012, +0.005] brackets / exceeds zero"
TE,_baseline_run,_candidate_run,pooled,spearman_delta,2.6045663302776134e-05,-0.0027882679399374556,0.002714029556673861,4257,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.012, +0.005] brackets / exceeds zero"
TE,_baseline_run,_candidate_run,2021,rmse_delta,0.016592586395425712,-0.0016993734500370338,0.033981294464517475,1030,,
TE,_baseline_run,_candidate_run,2021,spearman_delta,-0.003524999981855459,-0.009352133916363164,0.0023858890675340313,1030,,
TE,_baseline_run,_candidate_run,2022,rmse_delta,-0.014582476602430283,-0.03313100395630249,0.004972114679819317,1088,,
TE,_baseline_run,_candidate_run,2022,spearman_delta,-0.00016274905261731698,-0.006975981017407618,0.006073197141032905,1088,,
TE,_baseline_run,_candidate_run,2023,rmse_delta,-0.011880749112794575,-0.026998734750612763,0.0019993042913706645,1058,,
TE,_baseline_run,_candidate_run,2023,spearman_delta,0.0009937313703425321,-0.003336186631547597,0.005796369370308393,1058,,
TE,_baseline_run,_candidate_run,2024,rmse_delta,-0.005072056381751011,-0.022012614403568897,0.012953764658561835,1081,,
TE,_baseline_run,_candidate_run,2024,spearman_delta,0.0027982003173417924,-0.0018001024302470635,0.007498202108681469,1081,,
WR,_baseline_run,_candidate_run,pooled,rmse_delta,0.008301285463843122,0.004279775420332888,0.01237088827690189,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [+0.004, +0.012] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,pooled,spearman_delta,-0.0012617031144351865,-0.002106783066130738,-0.00036652531142842854,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [+0.004, +0.012] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,2021,rmse_delta,0.018669971085432557,0.00814075214589649,0.030358626437569366,2109,,
WR,_baseline_run,_candidate_run,2021,spearman_delta,-0.0027109285645710024,-0.004885524302114442,-0.00048150622991941264,2109,,
WR,_baseline_run,_candidate_run,2022,rmse_delta,0.0027143444958541707,-0.005501899367792507,0.012172093522612037,2102,,
WR,_baseline_run,_candidate_run,2022,spearman_delta,-0.0006633054547048323,-0.0023788147365553735,0.0009612748190794551,2102,,
WR,_baseline_run,_candidate_run,2023,rmse_delta,0.0062804098720672386,5.020178492407557e-05,0.012376325878723747,2201,,
WR,_baseline_run,_candidate_run,2023,spearman_delta,-0.0012853546176421204,-0.002515104943529639,-1.731158724873622e-05,2201,,
WR,_baseline_run,_candidate_run,2024,rmse_delta,0.005332422283989224,0.0005471640185655826,0.010456513257896339,2048,,
WR,_baseline_run,_candidate_run,2024,spearman_delta,-0.00038722382082234663,-0.0014903980321372661,0.0006143755975318077,2048,,
