position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
RB,_baseline_run,_candidate_run,pooled,rmse_delta,-0.01238097904149349,-0.02548924302876878,-0.000591139234669295,5273,ADOPT,"RMSE delta -0.012 (95% CI [-0.025, -0.001]); Spearman lo_95 -0.0003 > floor -0.020"
RB,_baseline_run,_candidate_run,pooled,spearman_delta,0.0020547459385615863,-0.00033068668856782446,0.004369494844299878,5273,ADOPT,"RMSE delta -0.012 (95% CI [-0.025, -0.001]); Spearman lo_95 -0.0003 > floor -0.020"
RB,_baseline_run,_candidate_run,2021,rmse_delta,-0.02764603199409077,-0.053330754217736254,-0.004928159270295019,1315,,
RB,_baseline_run,_candidate_run,2021,spearman_delta,0.0030467060954445513,-0.0016050040833624323,0.007993488739073323,1315,,
RB,_baseline_run,_candidate_run,2022,rmse_delta,-0.020967188869498443,-0.046389273510087814,0.004187189688268888,1331,,
RB,_baseline_run,_candidate_run,2022,spearman_delta,0.003935236232071704,-0.0007837715020247632,0.008426947458617209,1331,,
RB,_baseline_run,_candidate_run,2023,rmse_delta,-0.0044601993022608255,-0.02741006583978156,0.020741693029094697,1311,,
RB,_baseline_run,_candidate_run,2023,spearman_delta,-0.0006059802558605609,-0.005274556873293474,0.003751792109625729,1311,,
RB,_baseline_run,_candidate_run,2024,rmse_delta,0.004856703670839124,-0.018894996698513244,0.030044527057081338,1316,,
RB,_baseline_run,_candidate_run,2024,spearman_delta,0.0018430216825905399,-0.002912962490457935,0.0067488210895521854,1316,,
