position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
TE,_baseline_run,_candidate_run,pooled,rmse_delta,-0.00899025569377887,-0.017110234067416276,-0.001300188306093021,4257,ADOPT,"RMSE delta -0.009 (95% CI [-0.017, -0.001]); Spearman lo_95 +0.0001 > floor -0.020"
TE,_baseline_run,_candidate_run,pooled,spearman_delta,0.0028268645968115846,0.00014345126389931354,0.005517951928804501,4257,ADOPT,"RMSE delta -0.009 (95% CI [-0.017, -0.001]); Spearman lo_95 +0.0001 > floor -0.020"
TE,_baseline_run,_candidate_run,2021,rmse_delta,0.0035924405180605135,-0.0113643963953995,0.017650435311740906,1030,,
TE,_baseline_run,_candidate_run,2021,spearman_delta,-9.671013207412926e-05,-0.005597950621536838,0.005554106186268021,1030,,
TE,_baseline_run,_candidate_run,2022,rmse_delta,-0.01390426427384206,-0.03176611550726764,0.002005704627664184,1088,,
TE,_baseline_run,_candidate_run,2022,spearman_delta,0.006665628827312864,6.1713186200490575e-06,0.012698113090307477,1088,,
TE,_baseline_run,_candidate_run,2023,rmse_delta,-0.015122824289896641,-0.028864301756687194,-0.0012727546089690758,1058,,
TE,_baseline_run,_candidate_run,2023,spearman_delta,0.003018932285685727,-0.001779303590298048,0.008395639358795781,1058,,
TE,_baseline_run,_candidate_run,2024,rmse_delta,-0.010640092952208136,-0.028270353668219263,0.005311129939514277,1081,,
TE,_baseline_run,_candidate_run,2024,spearman_delta,0.0017196074063218214,-0.003300398910300986,0.0076481885770515335,1081,,
