position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
RB,_baseline_run,_candidate_run,pooled,rmse_delta,-0.007726465374488178,-0.015678529702008802,-8.94115538082181e-05,5273,ADOPT,"RMSE delta -0.008 (95% CI [-0.016, -0.000]); Spearman lo_95 -0.0008 > floor -0.020"
RB,_baseline_run,_candidate_run,pooled,spearman_delta,0.00038135957142693133,-0.000832099797403757,0.0016026741662108815,5273,ADOPT,"RMSE delta -0.008 (95% CI [-0.016, -0.000]); Spearman lo_95 -0.0008 > floor -0.020"
RB,_baseline_run,_candidate_run,2021,rmse_delta,-0.02326113072423297,-0.04363160431163493,-0.0034243353241159027,1315,,
RB,_baseline_run,_candidate_run,2021,spearman_delta,0.0016915036260277683,-0.0012399533656232004,0.004569204240713792,1315,,
RB,_baseline_run,_candidate_run,2022,rmse_delta,-0.008384226190663924,-0.02210210492862428,0.005204772904146468,1331,,
RB,_baseline_run,_candidate_run,2022,spearman_delta,-2.113320153351861e-05,-0.0024484878662784093,0.002504954234280432,1331,,
RB,_baseline_run,_candidate_run,2023,rmse_delta,0.005252516893577308,-0.00799012714755778,0.020254965264460686,1311,,
RB,_baseline_run,_candidate_run,2023,spearman_delta,0.00013056085682761065,-0.0021626600304334416,0.002282427545186399,1311,,
RB,_baseline_run,_candidate_run,2024,rmse_delta,-0.0032838853104557586,-0.013118734480600502,0.006122614169534253,1316,,
RB,_baseline_run,_candidate_run,2024,spearman_delta,-0.000275492995614246,-0.0019157362957507112,0.0014260787310852003,1316,,
