position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
WR,_baseline_run,_candidate_run,pooled,rmse_delta,0.011968887647607396,0.001294287368852687,0.022803809482485362,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [+0.001, +0.023] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,pooled,spearman_delta,-0.002523375224841473,-0.004484014222201854,-0.0004854476319206364,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [+0.001, +0.023] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,2021,rmse_delta,0.014627359503686321,-0.00941825313368001,0.03752021420979645,2109,,
WR,_baseline_run,_candidate_run,2021,spearman_delta,-0.0030539341464254077,-0.0077348501826992435,0.001702381738696413,2109,,
WR,_baseline_run,_candidate_run,2022,rmse_delta,0.013143641385957139,-0.011313748143325019,0.03675779429569998,2102,,
WR,_baseline_run,_candidate_run,2022,spearman_delta,-0.002807285117839564,-0.007392529899020184,0.0019388911631283438,2102,,
WR,_baseline_run,_candidate_run,2023,rmse_delta,0.007520259068700241,-0.014126889636863416,0.030612126493929873,2201,,
WR,_baseline_run,_candidate_run,2023,spearman_delta,-0.002093163571240342,-0.00571190021917527,0.001869060355729092,2201,,
WR,_baseline_run,_candidate_run,2024,rmse_delta,0.012680984629255043,-0.004905392836926236,0.028865019051261074,2048,,
WR,_baseline_run,_candidate_run,2024,spearman_delta,-0.002139118063860579,-0.005613540374708853,0.001217553134008905,2048,,
