position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
RB,_baseline_run,_candidate_run,pooled,rmse_delta,0.0011858969767057914,-0.006447900776902671,0.008992383769973156,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.006, +0.009] brackets / exceeds zero"
RB,_baseline_run,_candidate_run,pooled,spearman_delta,-0.00016244775766571795,-0.0015095916614822791,0.0010871914618301864,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.006, +0.009] brackets / exceeds zero"
RB,_baseline_run,_candidate_run,2021,rmse_delta,0.010898785743688855,-0.007570881316458599,0.02863377007061192,1315,,
RB,_baseline_run,_candidate_run,2021,spearman_delta,-0.0014146697132930708,-0.0045167748559231695,0.0015358286767879646,1315,,
RB,_baseline_run,_candidate_run,2022,rmse_delta,0.01320691780308092,-0.0009416465381529399,0.02632010744606412,1331,,
RB,_baseline_run,_candidate_run,2022,spearman_delta,0.0004606554453503442,-0.002030563204636254,0.0030387542701420652,1331,,
RB,_baseline_run,_candidate_run,2023,rmse_delta,-0.018814015325789413,-0.03448673470321397,-0.004287503971271823,1311,,
RB,_baseline_run,_candidate_run,2023,spearman_delta,0.0007058514558466733,-0.0016030420555576768,0.0031016928633238764,1311,,
RB,_baseline_run,_candidate_run,2024,rmse_delta,-0.0019447789772808477,-0.015499186625133388,0.010950895112509728,1316,,
RB,_baseline_run,_candidate_run,2024,spearman_delta,-0.0004016282185667075,-0.0025442770751868543,0.0015543922529293371,1316,,
