position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
WR,baseline,decomposed-baseline,pooled,rmse_delta,-0.01026424978055207,-0.014450434807128664,-0.005992336563772428,8402,ADOPT,"RMSE delta -0.010 (95% CI [-0.014, -0.006]); Spearman lo_95 -0.0006 > floor -0.020"
WR,baseline,decomposed-baseline,pooled,spearman_delta,9.033182378215265e-06,-0.000559850581864485,0.0005823403530883811,8402,ADOPT,"RMSE delta -0.010 (95% CI [-0.014, -0.006]); Spearman lo_95 -0.0006 > floor -0.020"
WR,baseline,decomposed-baseline,2021,rmse_delta,-0.015837747617158726,-0.02456633969057558,-0.007832811257657201,2099,,
WR,baseline,decomposed-baseline,2021,spearman_delta,0.0007080202442820704,-0.0003541035462426845,0.0017572189465219815,2099,,
WR,baseline,decomposed-baseline,2022,rmse_delta,-0.010331893457085073,-0.019480492770482583,-0.0009316503824332822,2085,,
WR,baseline,decomposed-baseline,2022,spearman_delta,-0.0008358497136484733,-0.002076627532958314,0.0003265919446923056,2085,,
WR,baseline,decomposed-baseline,2023,rmse_delta,-0.011525232410164676,-0.021315135123418604,-0.0020320993712173783,2193,,
WR,baseline,decomposed-baseline,2023,spearman_delta,0.0004136416781228558,-0.0007382538339881616,0.001580767891351398,2193,,
WR,baseline,decomposed-baseline,2024,rmse_delta,-0.003089399861421427,-0.011944965796214601,0.005187157782935237,2025,,
WR,baseline,decomposed-baseline,2024,spearman_delta,-0.000249679479243925,-0.0014203238076836878,0.0008734393615391911,2025,,
