position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
WR,ensemble,ensemble-decomposed,pooled,rmse_delta,-0.003816365890783935,-0.007854191819299894,-0.00019816453506460468,8460,ADOPT,"RMSE delta -0.004 (95% CI [-0.008, -0.000]); Spearman lo_95 -0.0004 > floor -0.020"
WR,ensemble,ensemble-decomposed,pooled,spearman_delta,0.00016091539229212692,-0.00041238592893212407,0.0007395140646730911,8460,ADOPT,"RMSE delta -0.004 (95% CI [-0.008, -0.000]); Spearman lo_95 -0.0004 > floor -0.020"
WR,ensemble,ensemble-decomposed,2021,rmse_delta,-0.0045174664376981255,-0.012363432269589891,0.002914257690500177,2109,,
WR,ensemble,ensemble-decomposed,2021,spearman_delta,0.0003500757906645946,-0.0008159760572427926,0.001605804337012151,2109,,
WR,ensemble,ensemble-decomposed,2022,rmse_delta,-0.005596197873972919,-0.014019670428769193,0.003807129121919448,2102,,
WR,ensemble,ensemble-decomposed,2022,spearman_delta,-0.0005765066629278559,-0.002264607926847517,0.0010632874934714952,2102,,
WR,ensemble,ensemble-decomposed,2023,rmse_delta,-0.004575272150934673,-0.014483633833707765,0.005058552415021462,2201,,
WR,ensemble,ensemble-decomposed,2023,spearman_delta,0.0007214977004079692,-0.0006212141127779014,0.001997463240470437,2201,,
WR,ensemble,ensemble-decomposed,2024,rmse_delta,-0.00048529091580729045,-0.0021163677703442073,0.001208840941817879,2048,,
WR,ensemble,ensemble-decomposed,2024,spearman_delta,0.00014859474102368875,-0.0001667675439683075,0.0004936760434118308,2048,,
