phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,0.46301138875102765,-0.1638975289824817,1.0281328419072224,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0071469543481552655,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.32675776370540177,-0.18739962247675024,0.8227463693041617,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.004168532975174277,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.10893594710839238,-0.2424127147251461,0.440749789152823,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.002064970816222589,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.20078270403296017,-0.08532356346084065,0.5225409273314063,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0015004256267093785,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.45373131899432906,0.13543058030991625,0.7550864304268606,2223,REGRESSION,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0071469543481552655,,,2223,REGRESSION,
phase1,QB,passing_tds,2021,rmse_delta,0.0011052244755407337,-0.007521873241998644,0.009330155007348911,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.0067840490882146165,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.0040884232770963536,-0.0036822647071427213,0.01167765432813453,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0010219125425896536,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.000766047198203168,-0.005265601406214537,0.0037816674443363176,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0028514120613069016,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,0.002945307849855361,-0.002559086713626274,0.008384734408049831,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0025040419182736917,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.003109609693797477,-0.0012729522919511516,0.007371771801671822,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.0067840490882146165,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,0.0029155031389945796,-0.0020887683118735816,0.008074783880814018,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.006246299318801385,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,-0.0029217272375570147,-0.007387777711407232,0.001730445798499246,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0035774248079806226,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.0019433998406235276,-0.002944342224854382,0.006478059729862495,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.004336660498389988,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.0011380515463661478,-0.004469230442550903,0.0022134579507869304,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.002781853793528466,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,0.0011656872827068288,-0.0014999480696753665,0.004151909564090216,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.006246299318801385,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.055614766262589654,-0.038547656851678005,0.14094865973205833,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,-0.0002441884854411658,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.006545518099123626,-0.07010130191943205,0.05842494278240568,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.0011735293453698503,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.009739941399047325,-0.07800757330868117,0.05302908618995551,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0011645227171844796,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.023364079226297463,-0.10771198256822805,0.06603836332412427,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.00023478683925737265,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,-0.011520917607960257,-0.05675130548700462,0.03245626469078049,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,-0.0002441884854411658,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,-0.0004383698919367962,-0.0013159939770079356,0.0005052578748666921,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.0007798070189438677,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,-2.6986201932366338e-05,-0.0015003958475930973,0.001354218796663091,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,-0.0014005052847274602,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.0007215251941281031,-0.0018107169573144705,0.0002974857321385607,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.0009172531874892531,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.0009999492595383908,-0.000476853472211923,0.002439712129841993,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.001531579074968814,,,571,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,-0.00012498930215681936,-0.0006319147290781701,0.00036497522417787274,2223,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.0007798070189438677,,,2223,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,-0.00028013777008523144,-0.0015099085020187433,0.0009449566156468619,556,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.0012711061514757427,,,556,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,-0.0003776151068577982,-0.0020123895242748794,0.0013276888094136852,544,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.0015022127001597108,,,544,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,-9.190936426101137e-05,-0.0017482626122266392,0.0014674269119299332,552,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.0016859447530516158,,,552,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,-0.0008766809662602015,-0.002063450580490142,0.0004353186243839277,571,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,0.0014542130059020941,,,571,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,-0.00043322798466988166,-0.0011018993944472478,0.00018868887754026325,2223,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,0.0012711061514757427,,,2223,NULL,
phase1,RB,rushing_yards,2021,rmse_delta,-0.059159246843556446,-0.18835403709189452,0.07166543488421133,969,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.003133268425485114,,,969,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.14980276252138225,-0.28237213520523474,-0.03486322932239957,913,SIGNAL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0029987330597295303,,,913,SIGNAL,
phase1,RB,rushing_yards,2023,rmse_delta,-0.08685296848664947,-0.23631052981116296,0.055179846334281406,900,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.004032643912490919,,,900,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.003074680504308702,-0.1421005664049197,0.14029663972825548,941,NULL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.004063047209351467,,,941,NULL,
phase1,RB,rushing_yards,pooled,rmse_delta,-0.07089550987389615,-0.13044219962607578,-0.007812715589887366,3723,SIGNAL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.003133268425485114,,,3723,SIGNAL,
phase1,RB,rushing_tds,2021,rmse_delta,0.0010075145849262057,-0.0009004402917187875,0.0027222715712087453,969,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.002744870518598286,,,969,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.001032012358315626,-0.002600495670898087,0.0004897844311936758,913,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.0009953678931808874,,,913,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,0.00046634566901926355,-0.0010276029086222383,0.0020707584327845667,900,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,0.001572601420619213,,,900,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,0.00036665712746730694,-0.0009897902298938305,0.0016468391345268452,941,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.0011316783793191565,,,941,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,0.0006742433476230048,-0.0002779702979607751,0.0016605785574889675,3723,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.002744870518598286,,,3723,NULL,
phase1,RB,receptions,2021,rmse_delta,0.004033636652124306,-0.0027373759051343705,0.011178253542824885,969,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0035738390132021847,,,969,NULL,
phase1,RB,receptions,2022,rmse_delta,0.001782018307391553,-0.0034434851790041245,0.0070186442141698556,913,NULL,
