phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.0014032396581029616,-0.00796070791541723,0.004633570241709251,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,5.429848904414669e-05,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.02581075757201745,-0.05449305973423755,0.002797500065518927,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0002994464757761772,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.15490366583129855,-0.37966686552336276,0.0873575068982315,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0021766079468089616,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.13229978255067465,-0.29883064403150145,0.549006069165511,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.002987100427462308,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.0024306085177698833,-0.005370198723938202,0.000593698424920318,2223,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,5.429848904414669e-05,,,2223,NULL,
phase1,QB,passing_tds,2021,rmse_delta,-1.532197620579545e-05,-3.742254900283015e-05,7.5055065035301e-06,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,1.9561239950949272e-05,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,3.873578244606435e-06,-0.0009231926329739098,0.0008991973210567603,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0007341073183076974,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,7.78895244639699e-05,-0.0009077637311042441,0.0010731777428349381,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0005935102062144537,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-2.6809715648168364e-05,-0.00038693467226752487,0.00036398958401563907,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.00022915208892826389,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,-4.089731620027237e-07,-1.2406950157678454e-05,1.1597563496279493e-05,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,1.9561239950949272e-05,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,4.4774218022070045e-07,-1.4852869915188416e-05,1.4301909672198576e-05,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,1.4607957405043948e-05,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,8.476983399896554e-06,-9.597324184071331e-06,2.706192995602374e-05,544,NULL,
