phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.0014032377838049115,-0.007960706005496476,0.004633570909640027,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,5.4298489044257714e-05,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.025810755927736295,-0.054493053462166686,0.0027974971597671994,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.000299446475775178,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.15490370334202908,-0.3796669429604641,0.08735757771590892,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.002176607946810294,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.13229979299757133,-0.29883047125559836,0.5490057601027857,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0029871004274539814,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.002430607618421732,-0.005370198189225661,0.0005936997729783388,2223,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,5.4298489044257714e-05,,,2223,NULL,
phase1,QB,passing_tds,2021,rmse_delta,-1.5321971717829896e-05,-3.742254591284633e-05,7.505510752653376e-06,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,1.956123995083825e-05,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,3.8734681855334685e-06,-0.0009231928295791835,0.0008991971998846768,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0007341073183075864,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,7.788966103805528e-05,-0.0009077634175163662,0.0010731774420973117,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0005935102062147868,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-2.6809718966624985e-05,-0.0003869347099750342,0.00036398964962860417,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.00022915208892870798,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,-4.0897158037900283e-07,-1.2406948967436105e-05,1.1597565251958429e-05,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,1.956123995083825e-05,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,4.477428454663368e-07,-1.4852869065967722e-05,1.430191018822191e-05,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,1.4607957405043948e-05,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,8.476983573202368e-06,-9.597326435104025e-06,2.7061931398381083e-05,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,1.4487028567211624e-05,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,2.4392000493866917e-06,-2.293221963026171e-06,7.330907974406607e-06,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,4.3350089135030245e-06,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,-6.291079214237882e-07,-2.2874890033636187e-06,1.0313646537807308e-06,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,8.863470641884419e-07,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,3.054744002306542e-06,-4.911908307742019e-06,1.1042079260456526e-05,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,1.4607957405043948e-05,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.0003986877041199932,-0.0006568254518030337,0.0012947861233483682,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,3.1751735003138215e-05,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.0002043397662419011,-0.0010293249330694642,0.0005212540841039721,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,1.9376295373407793e-05,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,0.00044914210337054783,-8.217379322763562e-05,0.0009881038336295499,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,1.9766410550903224e-05,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-1.867705275770959e-05,-0.00041152246605520305,0.000406221824528785,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,9.054960701915249e-06,,,571,NULL,
