phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.017940154196722347,-0.041533408194413826,0.005168271714700972,620,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.00023624690268819748,,,620,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.1449345794585497,-0.4127466326950916,0.11960546378601185,612,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0025274386896294576,,,612,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.056619587413138106,-0.32359796860094187,0.20947805919149748,622,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0031098522034691545,,,622,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.16172398145994293,-0.12526278971974064,0.45367148956257874,641,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.00250403979661884,,,641,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.0066524786264068325,-0.01915223103604049,0.004307935480487397,2495,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.00023624690268819748,,,2495,NULL,
phase1,QB,passing_tds,2021,rmse_delta,-0.00012048794128083351,-0.00034366836938759526,9.705347026242589e-05,620,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.0002018664251082214,,,620,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.0002885322168271198,-0.0006592964930436872,0.001238909312708619,612,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0007609854424144302,,,612,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.0007154831524487371,-0.0017642128543036539,0.00022969304999271288,622,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,-4.534891359508908e-05,,,622,NULL,
phase1,QB,passing_tds,2024,rmse_delta,2.0076799084112196e-05,-0.0002409787392603113,0.00028129836067600775,641,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0001098377995599753,,,641,NULL,
