phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.01794013988923382,-0.04153338834764,0.005168294636103704,620,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0002362469026873093,,,620,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.14493440338796404,-0.41274634907789115,0.11960605856410388,612,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.002527438689627015,,,612,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.05661920126378561,-0.3235977179824882,0.2094783157869556,622,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0031098522034639364,,,622,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.16172374163451764,-0.12526287321905513,0.4536708163482415,641,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.002504039796614399,,,641,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.0066524645152128414,-0.019152220849580813,0.004307947652427297,2495,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0002362469026873093,,,2495,NULL,
phase1,QB,passing_tds,2021,rmse_delta,-0.00012048790333429871,-0.0003436683319851641,9.705348920121531e-05,620,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.00020186642510788833,,,620,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.0002885320966818927,-0.0006592966665381117,0.0012389091121900923,612,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0007609854424139861,,,612,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.0007154833487181822,-0.0017642131217097512,0.0002296928577596556,622,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,-4.534891359497806e-05,,,622,NULL,
phase1,QB,passing_tds,2024,rmse_delta,2.007670037684761e-05,-0.00024097892614330927,0.00028129822527525605,641,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.00010983779956030837,,,641,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,8.34589497908933e-05,-3.651778708043673e-05,0.00020907830273844127,2495,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.00020186642510788833,,,2495,NULL,
phase1,QB,interceptions,2021,rmse_delta,-3.7716726897230046e-07,-1.994115668558505e-05,1.8740769931702137e-05,620,NULL,
phase1,QB,interceptions,2021,r_squared_delta,2.8749395139415768e-05,,,620,NULL,
phase1,QB,interceptions,2022,rmse_delta,2.721213493872554e-06,-2.5716071263423567e-05,3.0253621688275377e-05,612,NULL,
phase1,QB,interceptions,2022,r_squared_delta,2.3544531417174497e-05,,,612,NULL,
phase1,QB,interceptions,2023,rmse_delta,4.951450602863616e-06,-2.7139509360507573e-06,1.2906351732427934e-05,622,NULL,
phase1,QB,interceptions,2023,r_squared_delta,7.10886243382447e-06,,,622,NULL,
phase1,QB,interceptions,2024,rmse_delta,-1.622173586568465e-06,-7.679326574303037e-06,4.867221402760078e-06,641,NULL,
phase1,QB,interceptions,2024,r_squared_delta,2.995869985755739e-06,,,641,NULL,
phase1,QB,interceptions,pooled,rmse_delta,1.23273646845945e-06,-1.0699573848826915e-05,1.1852681690521781e-05,2495,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,2.8749395139415768e-05,,,2495,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.00014371430502535532,-0.0001814884571651021,0.00044825963175298955,620,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,1.2811799348755315e-05,,,620,NULL,
