phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,0.00010490190189882398,-0.0028256947998459236,0.003288930374233067,1583,NULL,
phase1,WR,receptions,2021,r_squared_delta,-0.00021141025511461908,,,1583,NULL,
phase1,WR,receptions,2022,rmse_delta,6.743056787117396e-05,-0.0019549702077542143,0.0020273832505764973,1582,NULL,
phase1,WR,receptions,2022,r_squared_delta,0.00029938045588695505,,,1582,NULL,
phase1,WR,receptions,2023,rmse_delta,-0.003916558047458718,-0.006099306178463238,-0.0016183744130216283,1574,NULL,
phase1,WR,receptions,2023,r_squared_delta,0.0003154263082424391,,,1574,NULL,
phase1,WR,receptions,2024,rmse_delta,0.0010634691161475196,-0.0024469549903617382,0.004338312455757896,1529,NULL,
phase1,WR,receptions,2024,r_squared_delta,0.0007473934831617735,,,1529,NULL,
phase1,WR,receptions,pooled,rmse_delta,-0.0002641521524964219,-0.0017393795719571003,0.0012290306684018535,6268,NULL,
phase1,WR,receptions,pooled,r_squared_delta,-0.00021141025511461908,,,6268,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,-0.03031929571130121,-0.05729394284450562,-0.0040827496680510235,1583,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.00037703767671048993,,,1583,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.025866499640116558,-0.023045606034865784,0.07048577040057413,1582,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,0.0009000164781602926,,,1582,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,-0.0009993820192946146,-0.03000907460139306,0.02784421776523427,1574,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,0.00042312523857879203,,,1574,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,0.006235192568631476,-0.030231011392261743,0.04198060456280908,1529,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,0.0005175027779602548,,,1529,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,-0.0005404961639854378,-0.014214728306654045,0.012126900304255093,6268,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.00037703767671048993,,,6268,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,-8.691980850616954e-05,-0.0006345333797697749,0.000403303297861629,1583,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.0005937659778713078,,,1583,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,-2.3320866791687322e-05,-0.0006733908268905075,0.0006368459451674162,1582,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,0.0006152249837424462,,,1582,NULL,
phase1,WR,receiving_tds,2023,rmse_delta,-4.8178086213546134e-05,-0.0005590990145211361,0.0004525504630026238,1574,NULL,
phase1,WR,receiving_tds,2023,r_squared_delta,0.0005239599728967814,,,1574,NULL,
phase1,WR,receiving_tds,2024,rmse_delta,0.0006038976793456552,9.81791729128434e-05,0.0011710661664904587,1529,NULL,
phase1,WR,receiving_tds,2024,r_squared_delta,0.0006086834441778599,,,1529,NULL,
phase1,WR,receiving_tds,pooled,rmse_delta,0.0003378676522184376,1.6316384806758235e-06,0.0006349922305861081,6268,NULL,
phase1,WR,receiving_tds,pooled,r_squared_delta,0.0005937659778713078,,,6268,NULL,
phase1,WR,rushing_yards,2021,rmse_delta,-0.002501676513225526,-0.012448727640831247,0.008719410334264663,1583,NULL,
phase1,WR,rushing_yards,2021,r_squared_delta,0.0021159053693459162,,,1583,NULL,
phase1,WR,rushing_yards,2022,rmse_delta,-0.0018191924568853324,-0.014598502906296072,0.009597128536218453,1582,NULL,
phase1,WR,rushing_yards,2022,r_squared_delta,0.0017040703239362687,,,1582,NULL,
phase1,WR,rushing_yards,2023,rmse_delta,-0.002733334202908999,-0.013661700712823244,0.0072828508739272825,1574,NULL,
phase1,WR,rushing_yards,2023,r_squared_delta,0.0015582218030151251,,,1574,NULL,
phase1,WR,rushing_yards,2024,rmse_delta,0.002928176791835657,-0.0073076496364253285,0.014003110064357865,1529,NULL,
phase1,WR,rushing_yards,2024,r_squared_delta,0.0014802413950095739,,,1529,NULL,
phase1,WR,rushing_yards,pooled,rmse_delta,-0.0002936081149806924,-0.006738998629730841,0.005379618104240836,6268,NULL,
phase1,WR,rushing_yards,pooled,r_squared_delta,0.0021159053693459162,,,6268,NULL,
phase1,WR,rushing_tds,2021,rmse_delta,6.371871848945276e-06,-3.6333979965027724e-05,4.95040044148326e-05,1583,NULL,
phase1,WR,rushing_tds,2021,r_squared_delta,0.0001703370213732569,,,1583,NULL,
phase1,WR,rushing_tds,2022,rmse_delta,9.956974566363574e-06,-3.45925110959544e-05,6.239387017167446e-05,1582,NULL,
phase1,WR,rushing_tds,2022,r_squared_delta,0.0002393350386699078,,,1582,NULL,
phase1,WR,rushing_tds,2023,rmse_delta,1.0838046641176158e-05,-0.00024002518636429375,0.00030047152017987976,1574,NULL,
phase1,WR,rushing_tds,2023,r_squared_delta,-0.0010446319203317733,,,1574,NULL,
phase1,WR,rushing_tds,2024,rmse_delta,3.8153300854840144e-05,-2.8359116632944984e-06,9.072288315565487e-05,1529,NULL,
phase1,WR,rushing_tds,2024,r_squared_delta,0.0001777901757926692,,,1529,NULL,
phase1,WR,rushing_tds,pooled,rmse_delta,-2.446302529324207e-06,-3.389877172748461e-05,2.2340367302779706e-05,6268,NULL,
phase1,WR,rushing_tds,pooled,r_squared_delta,0.0001703370213732569,,,6268,NULL,
phase1,WR,fumbles_lost,2021,rmse_delta,-9.530639634452998e-05,-0.000323852460175518,0.00013768072963254297,1583,NULL,
phase1,WR,fumbles_lost,2021,r_squared_delta,0.0013091595250677157,,,1583,NULL,
phase1,WR,fumbles_lost,2022,rmse_delta,-9.365094926250261e-05,-0.0003166599393473496,0.0001070092942557485,1582,NULL,
phase1,WR,fumbles_lost,2022,r_squared_delta,0.001260061595481643,,,1582,NULL,
phase1,WR,fumbles_lost,2023,rmse_delta,0.00018715906724148246,1.3126229347083103e-05,0.0003460697594220442,1574,NULL,
phase1,WR,fumbles_lost,2023,r_squared_delta,0.0012345218907425792,,,1574,NULL,
phase1,WR,fumbles_lost,2024,rmse_delta,0.0001816225658450299,2.237445621256322e-05,0.0003495634487558276,1529,NULL,
phase1,WR,fumbles_lost,2024,r_squared_delta,0.0006532537782449888,,,1529,NULL,
phase1,WR,fumbles_lost,pooled,rmse_delta,4.57246314545523e-05,-6.111300031933914e-05,0.00015170571402643994,6268,NULL,
phase1,WR,fumbles_lost,pooled,r_squared_delta,0.0013091595250677157,,,6268,NULL,
phase1,TE,receptions,2021,rmse_delta,0.006140872598512148,0.001284744904913615,0.010847901771798061,629,NULL,
phase1,TE,receptions,2021,r_squared_delta,-0.0006295701804968079,,,629,NULL,
phase1,TE,receptions,2022,rmse_delta,0.002510120841098251,-0.0011444983798856278,0.006042340399802786,690,NULL,
phase1,TE,receptions,2022,r_squared_delta,-0.00013690304364211148,,,690,NULL,
phase1,TE,receptions,2023,rmse_delta,-0.0015728443217588595,-0.004011359994340641,0.0010359033311237217,707,NULL,
phase1,TE,receptions,2023,r_squared_delta,-0.00032343202142837146,,,707,NULL,
phase1,TE,receptions,2024,rmse_delta,0.001494618792762914,-0.0018338241315491554,0.004738987124568916,686,NULL,
phase1,TE,receptions,2024,r_squared_delta,0.00039509966801309915,,,686,NULL,
phase1,TE,receptions,pooled,rmse_delta,0.002766906706850092,4.750858706825782e-07,0.005856377882690489,2712,NULL,
phase1,TE,receptions,pooled,r_squared_delta,-0.0006295701804968079,,,2712,NULL,
phase1,TE,receiving_yards,2021,rmse_delta,0.020947241840794106,-0.0229738902660519,0.06603106034662075,629,NULL,
phase1,TE,receiving_yards,2021,r_squared_delta,0.0006441506573606759,,,629,NULL,
phase1,TE,receiving_yards,2022,rmse_delta,0.1473785317243319,0.04785105086188812,0.2516849968776423,690,REGRESSION,
phase1,TE,receiving_yards,2022,r_squared_delta,-0.003086750660892257,,,690,REGRESSION,
phase1,TE,receiving_yards,2023,rmse_delta,0.00037496588178598245,-0.03210295207005833,0.03430771283244132,707,NULL,
phase1,TE,receiving_yards,2023,r_squared_delta,0.00015968419909362375,,,707,NULL,
phase1,TE,receiving_yards,2024,rmse_delta,0.03791057017644661,-0.009000115332964232,0.09221302211654149,686,NULL,
phase1,TE,receiving_yards,2024,r_squared_delta,0.0005974408059661318,,,686,NULL,
phase1,TE,receiving_yards,pooled,rmse_delta,0.028678013949086534,0.004370363850056159,0.053461213348342154,2712,NULL,
phase1,TE,receiving_yards,pooled,r_squared_delta,0.0006441506573606759,,,2712,NULL,
phase1,TE,receiving_tds,2021,rmse_delta,0.00017646735250520518,-0.0007946112198085164,0.001091560161794995,629,NULL,
phase1,TE,receiving_tds,2021,r_squared_delta,0.0006739241903432891,,,629,NULL,
phase1,TE,receiving_tds,2022,rmse_delta,-0.0006631109892436537,-0.0015040156411679467,0.0003327160790847849,690,NULL,
phase1,TE,receiving_tds,2022,r_squared_delta,0.0005827014292858479,,,690,NULL,
phase1,TE,receiving_tds,2023,rmse_delta,-8.85629953054079e-05,-0.0011999347617422898,0.0010440218067525693,707,NULL,
phase1,TE,receiving_tds,2023,r_squared_delta,0.0014238901886793887,,,707,NULL,
phase1,TE,receiving_tds,2024,rmse_delta,0.0005433775425330856,-0.000877399585671619,0.0018549130144058506,686,NULL,
phase1,TE,receiving_tds,2024,r_squared_delta,0.0012249558932913018,,,686,NULL,
phase1,TE,receiving_tds,pooled,rmse_delta,-0.0001455964954966693,-0.0005955099009442341,0.0003305405557346138,2712,NULL,
phase1,TE,receiving_tds,pooled,r_squared_delta,0.0006739241903432891,,,2712,NULL,
phase1,TE,rushing_yards,2021,rmse_delta,-0.00043897401161308025,-0.0027930828276676754,0.0031120182899254108,629,NULL,
phase1,TE,rushing_yards,2021,r_squared_delta,0.0003312013938249203,,,629,NULL,
phase1,TE,rushing_yards,2022,rmse_delta,0.002490794181409628,0.0003101712427376779,0.00557378021476029,690,NULL,
phase1,TE,rushing_yards,2022,r_squared_delta,0.0005034527739438133,,,690,NULL,
phase1,TE,rushing_yards,2023,rmse_delta,-0.000753907895282957,-0.002403222036019073,0.001170241093021408,707,NULL,
phase1,TE,rushing_yards,2023,r_squared_delta,0.00022991232918134763,,,707,NULL,
phase1,TE,rushing_yards,2024,rmse_delta,0.001268205213874718,-1.4690392880212213e-05,0.0027850632687651225,686,NULL,
phase1,TE,rushing_yards,2024,r_squared_delta,0.0002974710105050349,,,686,NULL,
phase1,TE,rushing_yards,pooled,rmse_delta,0.0012003755664501403,-4.996412730650102e-05,0.002646441167910102,2712,NULL,
phase1,TE,rushing_yards,pooled,r_squared_delta,0.0003312013938249203,,,2712,NULL,
phase1,TE,rushing_tds,2021,rmse_delta,-2.177038357147748e-05,-5.233914766971728e-05,1.9653175470287717e-05,629,NULL,
phase1,TE,rushing_tds,2021,r_squared_delta,0.00035428942716886347,,,629,NULL,
phase1,TE,rushing_tds,2022,rmse_delta,-2.3503682077624655e-05,-4.7324152274601934e-05,0.00015167869749599023,690,NULL,
phase1,TE,rushing_tds,2022,r_squared_delta,0.0006194243422646961,,,690,NULL,
