phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,0.00010490240111105109,-0.002825694941335588,0.003288930629714037,1583,NULL,
phase1,WR,receptions,2021,r_squared_delta,-0.00021141025511528522,,,1583,NULL,
phase1,WR,receptions,2022,rmse_delta,6.743052450852716e-05,-0.001954970053501448,0.002027383100316937,1582,NULL,
phase1,WR,receptions,2022,r_squared_delta,0.00029938045588739914,,,1582,NULL,
phase1,WR,receptions,2023,rmse_delta,-0.003916557787021713,-0.006099305951002665,-0.001618373989674571,1574,NULL,
phase1,WR,receptions,2023,r_squared_delta,0.000315426308241884,,,1574,NULL,
phase1,WR,receptions,2024,rmse_delta,0.0010634707967711599,-0.0024469537872266467,0.00433831486688526,1529,NULL,
phase1,WR,receptions,2024,r_squared_delta,0.0007473934831603302,,,1529,NULL,
phase1,WR,receptions,pooled,rmse_delta,-0.000264151389186118,-0.0017393788811427946,0.001229031094614996,6268,NULL,
phase1,WR,receptions,pooled,r_squared_delta,-0.00021141025511528522,,,6268,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,-0.030319295608357777,-0.057293942790371054,-0.004082749499365159,1583,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.00037703767671004584,,,1583,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.025866499583742097,-0.023045605959320703,0.07048577039456577,1582,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,0.0009000164781607367,,,1582,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,-0.0009993816779569897,-0.03000907417703651,0.027844217930455703,1574,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,0.00042312523857845896,,,1574,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,0.006235191964961473,-0.03023101149671863,0.04198060395065786,1529,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,0.0005175027779606989,,,1529,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,-0.0005404959221948502,-0.014214728056604464,0.012126900436333441,6268,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.00037703767671004584,,,6268,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,-8.691980843000824e-05,-0.0006345333796834163,0.0004033032979182171,1583,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.0005937659778710858,,,1583,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,-2.3320866671672213e-05,-0.000673390826984431,0.0006368459457326419,1582,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,0.0006152249837423351,,,1582,NULL,
phase1,WR,receiving_tds,2023,rmse_delta,-4.817808686391478e-05,-0.000559099014443537,0.0004525504624475345,1574,NULL,
phase1,WR,receiving_tds,2023,r_squared_delta,0.0005239599728968924,,,1574,NULL,
phase1,WR,receiving_tds,2024,rmse_delta,0.0006038976792518413,9.817917270654732e-05,0.00117106616592563,1529,NULL,
phase1,WR,receiving_tds,2024,r_squared_delta,0.0006086834441778599,,,1529,NULL,
phase1,WR,receiving_tds,pooled,rmse_delta,0.0003378676522675095,1.6316385404058222e-06,0.0006349922306429986,6268,NULL,
phase1,WR,receiving_tds,pooled,r_squared_delta,0.0005937659778710858,,,6268,NULL,
phase1,WR,rushing_yards,2021,rmse_delta,-0.002501676505610284,-0.012448727634909383,0.008719410337216302,1583,NULL,
phase1,WR,rushing_yards,2021,r_squared_delta,0.002115905369345694,,,1583,NULL,
phase1,WR,rushing_yards,2022,rmse_delta,-0.0018191924483375033,-0.014598502896168264,0.009597128544734265,1582,NULL,
phase1,WR,rushing_yards,2022,r_squared_delta,0.0017040703239368238,,,1582,NULL,
phase1,WR,rushing_yards,2023,rmse_delta,-0.0027333342045290365,-0.013661700714827862,0.007282850872757485,1574,NULL,
phase1,WR,rushing_yards,2023,r_squared_delta,0.00155822180301457,,,1574,NULL,
phase1,WR,rushing_yards,2024,rmse_delta,0.0029281767914146606,-0.007307649638786928,0.014003110063596396,1529,NULL,
phase1,WR,rushing_yards,2024,r_squared_delta,0.0014802413950089077,,,1529,NULL,
phase1,WR,rushing_yards,pooled,rmse_delta,-0.0002936081254665268,-0.006738998642855298,0.005379618097051409,6268,NULL,
phase1,WR,rushing_yards,pooled,r_squared_delta,0.002115905369345694,,,6268,NULL,
phase1,WR,rushing_tds,2021,rmse_delta,6.3718718512212336e-06,-3.633397996186012e-05,4.950400441606911e-05,1583,NULL,
phase1,WR,rushing_tds,2021,r_squared_delta,0.00017033702137292384,,,1583,NULL,
phase1,WR,rushing_tds,2022,rmse_delta,9.956974581865063e-06,-3.459251107630311e-05,6.239387019768455e-05,1582,NULL,
phase1,WR,rushing_tds,2022,r_squared_delta,0.0002393350386699078,,,1582,NULL,
phase1,WR,rushing_tds,2023,rmse_delta,1.0838046629074727e-05,-0.00024002518638446268,0.000300471520186776,1574,NULL,
phase1,WR,rushing_tds,2023,r_squared_delta,-0.0010446319203319954,,,1574,NULL,
phase1,WR,rushing_tds,2024,rmse_delta,3.815330085701896e-05,-2.8359116679300264e-06,9.072288316647747e-05,1529,NULL,
phase1,WR,rushing_tds,2024,r_squared_delta,0.00017779017579255818,,,1529,NULL,
phase1,WR,rushing_tds,pooled,rmse_delta,-2.4463025291576734e-06,-3.3898771727767715e-05,2.2340367302780746e-05,6268,NULL,
phase1,WR,rushing_tds,pooled,r_squared_delta,0.00017033702137292384,,,6268,NULL,
phase1,WR,fumbles_lost,2021,rmse_delta,-9.530639634425242e-05,-0.000323852460174949,0.0001376807296316208,1583,NULL,
phase1,WR,fumbles_lost,2021,r_squared_delta,0.0013091595250679378,,,1583,NULL,
phase1,WR,fumbles_lost,2022,rmse_delta,-9.365094926361284e-05,-0.00031665993934787835,0.00010700929425326438,1582,NULL,
phase1,WR,fumbles_lost,2022,r_squared_delta,0.001260061595481532,,,1582,NULL,
phase1,WR,fumbles_lost,2023,rmse_delta,0.0001871590672419543,1.3126229346912405e-05,0.0003460697594223606,1574,NULL,
phase1,WR,fumbles_lost,2023,r_squared_delta,0.0012345218907423572,,,1574,NULL,
phase1,WR,fumbles_lost,2024,rmse_delta,0.00018162256584869363,2.2374456217752818e-05,0.00034956344875544074,1529,NULL,
phase1,WR,fumbles_lost,2024,r_squared_delta,0.0006532537782449888,,,1529,NULL,
phase1,WR,fumbles_lost,pooled,rmse_delta,4.5724631454968634e-05,-6.111300031919759e-05,0.0001517057140268306,6268,NULL,
phase1,WR,fumbles_lost,pooled,r_squared_delta,0.0013091595250679378,,,6268,NULL,
phase1,TE,receptions,2021,rmse_delta,0.006140872599679881,0.0012847449068551342,0.010847901772224422,629,NULL,
phase1,TE,receptions,2021,r_squared_delta,-0.000629570180497363,,,629,NULL,
phase1,TE,receptions,2022,rmse_delta,0.0025101208393132346,-0.0011444983842221978,0.006042340397906313,690,NULL,
phase1,TE,receptions,2022,r_squared_delta,-0.00013690304364200045,,,690,NULL,
phase1,TE,receptions,2023,rmse_delta,-0.0015728443515992119,-0.004011360028926908,0.0010359033123668755,707,NULL,
phase1,TE,receptions,2023,r_squared_delta,-0.00032343202142781635,,,707,NULL,
phase1,TE,receptions,2024,rmse_delta,0.0014946190011806415,-0.0018338241243606723,0.004738987372434477,686,NULL,
phase1,TE,receptions,2024,r_squared_delta,0.00039509966801221097,,,686,NULL,
