phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,0.00014833464193531043,-0.0032057680186805106,0.0035860987599831357,1585,NULL,
phase1,WR,receptions,2021,r_squared_delta,-6.303967076959349e-05,,,1585,NULL,
phase1,WR,receptions,2022,rmse_delta,-0.00012264553539909073,-0.0024842869587960335,0.0023735330830620405,1590,NULL,
phase1,WR,receptions,2022,r_squared_delta,0.0004062185303992383,,,1590,NULL,
phase1,WR,receptions,2023,rmse_delta,-0.004154959466770247,-0.007093108732247555,-0.0014605443634893357,1586,NULL,
phase1,WR,receptions,2023,r_squared_delta,0.00043335939302735493,,,1586,NULL,
phase1,WR,receptions,2024,rmse_delta,-0.0002923199820328293,-0.00429271595932188,0.003772267694115326,1533,NULL,
phase1,WR,receptions,2024,r_squared_delta,0.0009364031429319741,,,1533,NULL,
phase1,WR,receptions,pooled,rmse_delta,-0.0008510910313339615,-0.0027836817231674414,0.0010524847518038392,6294,NULL,
phase1,WR,receptions,pooled,r_squared_delta,-6.303967076959349e-05,,,6294,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,-0.03400696305212847,-0.061358885513722594,-0.0057251206594616175,1585,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.0003600206797615968,,,1585,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.03162315071302402,-0.016676046713809355,0.07680902860394703,1590,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,0.0009323034739656677,,,1590,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,-0.011216400587308328,-0.04060150516554604,0.0155471161303895,1586,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,0.00043229438472058845,,,1586,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,0.006548320108727523,-0.03556927616911772,0.0487315701961541,1533,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,0.00047170436768484425,,,1533,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,-0.0001196578441664542,-0.013783481090185035,0.013041292035317826,6294,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.0003600206797615968,,,6294,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,-5.8473087009014435e-06,-0.0007124411069478143,0.0006687600186464525,1585,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.0009674280653194645,,,1585,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,-0.00015488958336767888,-0.0010391126665749261,0.0006207040909522065,1590,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,0.0003812298612718701,,,1590,NULL,
phase1,WR,receiving_tds,2023,rmse_delta,0.00021798379354004416,-0.0003643706916253847,0.0008739697854164464,1586,NULL,
phase1,WR,receiving_tds,2023,r_squared_delta,0.0005980651884620602,,,1586,NULL,
phase1,WR,receiving_tds,2024,rmse_delta,0.0005335861686991406,2.752646783911184e-05,0.0010486070706811734,1533,NULL,
phase1,WR,receiving_tds,2024,r_squared_delta,0.0005710210492795298,,,1533,NULL,
phase1,WR,receiving_tds,pooled,rmse_delta,0.0006251954918254921,0.00021317469802839827,0.0010019031061589188,6294,NULL,
phase1,WR,receiving_tds,pooled,r_squared_delta,0.0009674280653194645,,,6294,NULL,
phase1,WR,rushing_yards,2021,rmse_delta,-0.010014170740120676,-0.026411815221457368,0.006583879406500269,1585,NULL,
phase1,WR,rushing_yards,2021,r_squared_delta,0.00038624175336887667,,,1585,NULL,
phase1,WR,rushing_yards,2022,rmse_delta,-0.006359786555770519,-0.02164006859719092,0.008116424258430153,1590,NULL,
phase1,WR,rushing_yards,2022,r_squared_delta,0.002428373464163136,,,1590,NULL,
phase1,WR,rushing_yards,2023,rmse_delta,-0.0014069571656332158,-0.01659397037829975,0.011953792652345016,1586,NULL,
phase1,WR,rushing_yards,2023,r_squared_delta,0.0024589930055135545,,,1586,NULL,
phase1,WR,rushing_yards,2024,rmse_delta,0.0021578407470577154,-0.010796372642863117,0.013427393450844692,1533,NULL,
phase1,WR,rushing_yards,2024,r_squared_delta,0.0014361478915676518,,,1533,NULL,
phase1,WR,rushing_yards,pooled,rmse_delta,-0.01568942855440536,-0.02400746418484776,-0.007050722962057377,6294,NULL,
phase1,WR,rushing_yards,pooled,r_squared_delta,0.00038624175336887667,,,6294,NULL,
phase1,WR,rushing_tds,2021,rmse_delta,-3.3726772778436276e-05,-7.62701429840095e-05,1.3523569596205276e-05,1585,NULL,
phase1,WR,rushing_tds,2021,r_squared_delta,0.00018494952396297393,,,1585,NULL,
phase1,WR,rushing_tds,2022,rmse_delta,-6.317058643345863e-06,-0.00010354004556641891,9.552276087890532e-05,1590,NULL,
phase1,WR,rushing_tds,2022,r_squared_delta,0.00041351810392109556,,,1590,NULL,
phase1,WR,rushing_tds,2023,rmse_delta,7.478896752108333e-06,-0.00024176482232706847,0.00028284763436036006,1586,NULL,
phase1,WR,rushing_tds,2023,r_squared_delta,-0.0008995110998779587,,,1586,NULL,
