phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,0.00014833478293319047,-0.0032057679194083533,0.0035860988957959745,1585,NULL,
phase1,WR,receptions,2021,r_squared_delta,-6.303967076903838e-05,,,1585,NULL,
phase1,WR,receptions,2022,rmse_delta,-0.00012264563063490996,-0.0024842870719563037,0.0023735328578814107,1590,NULL,
phase1,WR,receptions,2022,r_squared_delta,0.0004062185303983501,,,1590,NULL,
phase1,WR,receptions,2023,rmse_delta,-0.004154957529131753,-0.007093106506820324,-0.0014605414481137836,1586,NULL,
phase1,WR,receptions,2023,r_squared_delta,0.0004333593930282431,,,1586,NULL,
phase1,WR,receptions,2024,rmse_delta,-0.00029231559034537113,-0.004292709570708697,0.0037722689681501703,1533,NULL,
phase1,WR,receptions,2024,r_squared_delta,0.0009364031429300868,,,1533,NULL,
phase1,WR,receptions,pooled,rmse_delta,-0.00085109080613055,-0.002783681488953771,0.0010524848833203591,6294,NULL,
phase1,WR,receptions,pooled,r_squared_delta,-6.303967076903838e-05,,,6294,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,-0.034006963106939736,-0.06135888546881416,-0.005725120925797548,1585,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.0003600206797620409,,,1585,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.031623150843010706,-0.01667604662515938,0.07680902872703807,1590,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,0.0009323034739650016,,,1590,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,-0.011216400303062812,-0.04060150489938223,0.015547116396972344,1586,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,0.00043229438472058845,,,1586,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,0.006548324210122303,-0.035569272347076894,0.04873156993524894,1533,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,0.00047170436768373403,,,1533,NULL,
