phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.28262672971499114,-0.6584078733274044,0.08880202565315709,547,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0024754402046531787,,,547,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.17546464343902812,-0.31195947917870087,0.7022235917670188,537,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.004905905959120549,,,537,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.1951460516565504,-0.1311477898671022,0.5764131896994349,536,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0018923046254676334,,,536,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.02929876123138797,-0.2654821444878799,0.3482522643933795,557,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0018469299382979365,,,557,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.013463021668030706,-0.19536775182410474,0.16930355930437385,2177,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0024754402046531787,,,2177,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.0031631853165174917,-0.002076274924256316,0.008862077740705642,547,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.00215101773622306,,,547,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.005033554817703179,0.0006245318541993617,0.009494371433551639,537,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0026893542444014207,,,537,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.000545627832806872,-0.002135651609790007,0.0034213228503990932,536,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.00034764309061896537,,,536,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0008761703360624651,-0.0023799196063718276,0.0006682113516128959,557,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0004222369534825354,,,557,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0020096473457762443,-0.0005550027893955034,0.004478556694704,2177,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.00215101773622306,,,2177,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.0004514423986062832,-0.0009582598755406513,0.00013851817888360096,547,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0005699974008364084,,,547,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.0050514327048744034,0.0018662767850434415,0.008200280147767915,537,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.003946777230774079,,,537,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.0010799887023129617,-0.0006675005160156732,0.0027534781490435893,536,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.000613233640377131,,,536,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.0011438622831677625,-0.0026249032096799492,0.0003735338621004695,557,NULL,
phase1,QB,interceptions,2024,r_squared_delta,-0.0013713209461142517,,,557,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-0.00022047660719004547,-0.00046624330155833616,3.694645246473671e-05,2177,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.0005699974008364084,,,2177,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.07507576538259642,0.016625577341785824,0.13147648729798583,547,REGRESSION,
phase1,QB,rushing_yards,2021,r_squared_delta,-0.0011201894365758802,,,547,REGRESSION,
phase1,QB,rushing_yards,2022,rmse_delta,-0.05528867754518885,-0.10492501423820304,-0.003545749528283974,537,SIGNAL,
phase1,QB,rushing_yards,2022,r_squared_delta,-0.0010649255642634081,,,537,SIGNAL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.001216180854488158,-0.040332464747441496,0.03810695067713672,536,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0006499546688897295,,,536,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.05231310303895853,-0.10413878635871043,0.0007859710539565605,557,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,-0.0004331703043598534,,,557,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.010126805358449786,-0.021706545023778823,0.04073969629410755,2177,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,-0.0011201894365758802,,,2177,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.00013953648490833137,-0.0014813868243303704,0.0018078803201288217,547,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.0021061234761807768,,,547,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,0.0005811345745193597,-0.0009041552700983696,0.002159489817120716,537,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,-0.00164311009938789,,,537,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.00022330242260937272,-0.0006898313854036192,0.0002643540499622273,536,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.000389754836460976,,,536,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.0005084801576777376,-0.00028415794869016684,0.0012744275310771365,557,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.000768731108835019,,,557,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,0.0004690750047428027,-0.0002544045190915639,0.001202789589765002,2177,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.0021061234761807768,,,2177,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,0.0007506607326663861,8.67250674437159e-05,0.001415342010214339,547,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.0004182512620751755,,,547,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,0.0004259371174951121,6.551296147654235e-05,0.000783955787633897,537,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.00014762413733349078,,,537,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,-3.5183552381912175e-05,-0.0007128829639536496,0.0007970070272036305,536,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.0006488493818062047,,,536,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,-0.00033567084775487643,-0.0011064650433325039,0.0003521822200962448,557,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,0.0005387231090737687,,,557,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,-0.00011360929789788754,-0.0004540749322296964,0.00021315477545280482,2177,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,0.0004182512620751755,,,2177,NULL,
phase1,RB,rushing_yards,2021,rmse_delta,0.0826439770176357,-0.02603148990661434,0.1923870517537348,949,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.00171098125815361,,,949,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,0.014919283331160216,-0.05522164055340593,0.08195184771430557,902,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.000760398656980743,,,902,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.0009609081087589288,-0.07314361804308449,0.07812176626333167,872,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0005418909562561192,,,872,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.0022556556695931818,-0.058526852336830616,0.05426717139308825,923,NULL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.0005066154733164296,,,923,NULL,
phase1,RB,rushing_yards,pooled,rmse_delta,0.044223717900305104,-0.011147187736746477,0.10491082682484465,3646,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.00171098125815361,,,3646,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,0.0011982395216568742,-7.583392685109878e-05,0.0025324684818298746,949,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.001621842977610033,,,949,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,0.00021332309859301013,-0.0006380916634819323,0.0010859301562840121,902,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.0006212659614683869,,,902,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,0.00041626340573597265,-0.0003217531333147561,0.0011434209368945151,872,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,0.0004340956907128435,,,872,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.0004075608523365082,-0.0011388381792353242,0.0003478124406676551,923,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,-0.00016912647828759564,,,923,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,0.0009748270154447125,0.0003143859313766762,0.0016550374458290436,3646,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.001621842977610033,,,3646,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.0005520821938536091,-0.0030747373597549534,0.002047513721565791,949,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.00023324775525879193,,,949,NULL,
phase1,RB,receptions,2022,rmse_delta,0.003552571234381352,-0.0002459028022648301,0.007279232080685915,902,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.000669216199409961,,,902,NULL,
phase1,RB,receptions,2023,rmse_delta,0.001092246076577652,-0.0006840057376862496,0.0028899389507475504,872,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0001861971021265285,,,872,NULL,
phase1,RB,receptions,2024,rmse_delta,-0.0021462161252510104,-0.004182204946676077,-0.00020694826190652016,923,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.00021494503536390042,,,923,NULL,
phase1,RB,receptions,pooled,rmse_delta,0.0010071946142780064,-0.0003317196656088872,0.002200817519862125,3646,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.00023324775525879193,,,3646,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,-0.0008194308502282865,-0.04282014109320444,0.04434697569966949,949,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,0.0005992244929217128,,,949,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,0.029502916083369968,-0.029163809248241534,0.08417915566912136,902,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.0011085946130170443,,,902,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,0.06326345122080212,0.023883811960272984,0.10330062240852803,872,REGRESSION,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0006288036551334031,,,872,REGRESSION,
phase1,RB,receiving_yards,2024,rmse_delta,0.013970934706431848,0.0010746616361657414,0.028066196214082944,923,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.0001166656129671928,,,923,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,0.021022205876057853,-0.00021564511949661016,0.04004407701450629,3646,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,0.0005992244929217128,,,3646,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,-0.00034823594051441864,-0.0010080106024589809,0.0002933812459183865,949,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,0.001375245316804996,,,949,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,4.9647644640271604e-05,-0.0011985847530503497,0.0015033742335294068,902,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,-0.00014978742792681743,,,902,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,0.0004006993906222056,-0.0011618009486576153,0.0020281706126128976,872,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,-0.003340865834218776,,,872,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,-0.0005320124570190599,-0.0016635918246363179,0.0005600119135669545,923,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,-0.0016627670081432733,,,923,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,2.4089306211283468e-05,-0.00026187309364454484,0.0003285816754696524,3646,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,0.001375245316804996,,,3646,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,3.386340185182468e-05,-0.00018998961541699804,0.0002328858878090603,949,NULL,
phase1,RB,fumbles_lost,2021,r_squared_delta,0.0005948812657200486,,,949,NULL,
phase1,RB,fumbles_lost,2022,rmse_delta,-0.00010277649785248033,-0.0003336851708808285,8.511697150857047e-05,902,NULL,
phase1,RB,fumbles_lost,2022,r_squared_delta,0.0006448319842953243,,,902,NULL,
phase1,RB,fumbles_lost,2023,rmse_delta,-0.00010412778920779187,-0.0003135618943475256,8.792578765598599e-05,872,NULL,
phase1,RB,fumbles_lost,2023,r_squared_delta,0.0008833048045225889,,,872,NULL,
phase1,RB,fumbles_lost,2024,rmse_delta,-7.208259535368411e-05,-0.0002898503002861902,0.00013407568730255457,923,NULL,
phase1,RB,fumbles_lost,2024,r_squared_delta,0.0010101748463258176,,,923,NULL,
phase1,RB,fumbles_lost,pooled,rmse_delta,-1.4800054465302637e-06,-9.679284655022408e-05,9.438354643389808e-05,3646,NULL,
phase1,RB,fumbles_lost,pooled,r_squared_delta,0.0005948812657200486,,,3646,NULL,
phase1,WR,receptions,2021,rmse_delta,0.0030939650403549734,-0.0020175858826367967,0.008716105289229557,1602,NULL,
phase1,WR,receptions,2021,r_squared_delta,0.0009061065215766329,,,1602,NULL,
phase1,WR,receptions,2022,rmse_delta,0.001653935236002546,-0.00123509276188547,0.004447343872141472,1598,NULL,
phase1,WR,receptions,2022,r_squared_delta,0.0004556270038127419,,,1598,NULL,
phase1,WR,receptions,2023,rmse_delta,0.001556088907472386,-0.0010454860859172908,0.004077988440574997,1571,NULL,
phase1,WR,receptions,2023,r_squared_delta,0.0003244679909655268,,,1571,NULL,
phase1,WR,receptions,2024,rmse_delta,0.0004176721249522508,-0.0012762275866710082,0.0020591723472708433,1528,NULL,
phase1,WR,receptions,2024,r_squared_delta,0.0001554110243893181,,,1528,NULL,
phase1,WR,receptions,pooled,rmse_delta,0.0025141579435130623,0.0003799274288938226,0.004851573069296544,6299,NULL,
phase1,WR,receptions,pooled,r_squared_delta,0.0009061065215766329,,,6299,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,-0.00903345326118199,-0.05500820315919617,0.03794555294610431,1602,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.000407292751017585,,,1602,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.013701692546952415,-0.026086795754785543,0.05463037197879677,1598,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,0.00045717291000446636,,,1598,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,0.012911508877557765,-0.02014224584473805,0.044914644996090304,1571,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,0.00030617167833013603,,,1571,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,0.0032613060431074814,-0.02632424227351411,0.03182536516325224,1528,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,0.0002458438365714466,,,1528,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,0.005891778649257162,-0.014379542776621434,0.027732392926628078,6299,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.000407292751017585,,,6299,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,0.0010342538987828664,-0.00026397915275424286,0.0024045155781633686,1602,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.0012799072207486661,,,1602,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,0.0006674703430431528,3.622213591365778e-06,0.0013429510580696036,1598,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,0.0008936199408763335,,,1598,NULL,
phase1,WR,receiving_tds,2023,rmse_delta,9.602823892185253e-05,-0.00023706930844072106,0.00046054594276821715,1571,NULL,
phase1,WR,receiving_tds,2023,r_squared_delta,0.00026839020103430755,,,1571,NULL,
phase1,WR,receiving_tds,2024,rmse_delta,-2.7140737247299818e-05,-0.000316910735709805,0.00027021499621924085,1528,NULL,
phase1,WR,receiving_tds,2024,r_squared_delta,0.00019694410173864974,,,1528,NULL,
phase1,WR,receiving_tds,pooled,rmse_delta,0.0007305572885056844,0.00016081096538525104,0.001297372855109946,6299,NULL,
phase1,WR,receiving_tds,pooled,r_squared_delta,0.0012799072207486661,,,6299,NULL,
phase1,WR,rushing_yards,2021,rmse_delta,-0.0025175354904902747,-0.01348937043754812,0.010292760570975605,1602,NULL,
phase1,WR,rushing_yards,2021,r_squared_delta,-0.0006019932919738569,,,1602,NULL,
phase1,WR,rushing_yards,2022,rmse_delta,0.004024232104431924,-0.002923414967522353,0.011421675659194807,1598,NULL,
phase1,WR,rushing_yards,2022,r_squared_delta,0.0009535006791759892,,,1598,NULL,
phase1,WR,rushing_yards,2023,rmse_delta,-0.000775386656624022,-0.006809321074807273,0.005570900036135184,1571,NULL,
phase1,WR,rushing_yards,2023,r_squared_delta,0.0005129347945571627,,,1571,NULL,
phase1,WR,rushing_yards,2024,rmse_delta,0.00973344522544295,0.002935541825017896,0.016445098718943583,1528,NULL,
phase1,WR,rushing_yards,2024,r_squared_delta,0.0005746059383813229,,,1528,NULL,
phase1,WR,rushing_yards,pooled,rmse_delta,-0.00753547327329418,-0.015137858861975561,-0.0005485406528284558,6299,NULL,
phase1,WR,rushing_yards,pooled,r_squared_delta,-0.0006019932919738569,,,6299,NULL,
phase1,WR,rushing_tds,2021,rmse_delta,-2.2967298353493426e-05,-6.66195285041523e-05,1.7520109721002454e-05,1602,NULL,
phase1,WR,rushing_tds,2021,r_squared_delta,0.00041038786200542354,,,1602,NULL,
