phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.2826267320315594,-0.6584078751405024,0.08880202405589327,547,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.002475440204653623,,,547,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.17546463461397366,-0.3119595045871527,0.7022235905550638,537,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.004905905959121437,,,537,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.19514603852151424,-0.13114778071895863,0.5764132115368212,536,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0018923046254676334,,,536,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.029298768245340057,-0.2654821217449914,0.3482522314524136,557,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.001846929938300046,,,557,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.013463022844973693,-0.1953677529979707,0.16930355780853004,2177,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.002475440204653623,,,2177,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.0031631853068398996,-0.0020762749339786665,0.008862077732665596,547,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.002151017736223282,,,547,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.005033555220507191,0.0006245321077726907,0.009494372459976188,537,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.002689354244402087,,,537,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0005456276615918298,-0.0021356516438217565,0.003421322751694793,536,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.00034764309061940946,,,536,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0008761703353183936,-0.0023799196085397658,0.0006682113535918184,557,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0004222369534824244,,,557,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0020096473425259553,-0.0005550027931926771,0.0044785566910451316,2177,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.002151017736223282,,,2177,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.0004514423991424099,-0.000958259876272724,0.00013851817838723133,547,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0005699974008362974,,,547,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.005051432704671122,0.0018662767738596292,0.008200280151055775,537,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.003946777230773968,,,537,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.001079988702090362,-0.000667500516245692,0.0027534781486943326,536,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.000613233640377242,,,536,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.0011438622845658664,-0.002624903211125215,0.0003735338601933728,557,NULL,
phase1,QB,interceptions,2024,r_squared_delta,-0.0013713209461140297,,,557,NULL,
