phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.2373812870208667,-0.8238304860736438,0.38849235944117366,609,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.004773054169491475,,,609,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.24482114215524575,-0.2716087839818595,0.7800818077759043,603,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.004591601088225539,,,603,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.24131253635700034,-0.2231992086446443,0.6603439977606008,603,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0022630385717751222,,,603,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.13742640285001073,-0.21189093287618022,0.45068970106989703,627,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0016087134953666204,,,627,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.10890086256108589,-0.15681698474008135,0.3811373793051906,2442,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.004773054169491475,,,2442,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.003650654630584338,-0.003594371854702183,0.011001511132658742,609,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.002509755783831169,,,609,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.0023616785782984984,-0.0021775619776627617,0.006433890812852262,603,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0019471621064880429,,,603,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0013889246137963607,-0.0027337566400727708,0.005442275656264016,603,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0010967330822567734,,,603,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0012679150238503745,-0.003889526604796345,0.001216756773313593,627,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0009036195162341887,,,627,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0018083777144815016,-0.0015514564268212293,0.0049704969604765555,2442,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.002509755783831169,,,2442,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.0008602642226415158,-0.0017705692512910514,7.072396819451835e-06,609,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0004975209696094218,,,609,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.00448028207447182,0.0017288506494491651,0.0073192232283868655,603,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.003462837604188529,,,603,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.00033178106566722487,-0.001151575134333463,0.0017827739899384575,603,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.0005693634211111354,,,603,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.00012802602210371106,-0.0011776340518681399,0.0008700682046985068,627,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.0005029660307129813,,,627,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-0.0003236585329384756,-0.0007102230046144963,6.434884457322535e-05,2442,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.0004975209696094218,,,2442,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.0661952855021859,0.02271205639233571,0.11127036028251065,609,REGRESSION,
phase1,QB,rushing_yards,2021,r_squared_delta,-0.002027233439731879,,,609,REGRESSION,
phase1,QB,rushing_yards,2022,rmse_delta,-0.022574287188948716,-0.047754221253497334,0.0030364502659882206,603,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.0003474107350993627,,,603,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.01801789213980065,-0.07696182808648859,0.04065308277041124,603,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,-0.0001375505508607322,,,603,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.03609570010928209,-0.07333723722267313,0.0007133686069824502,627,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0006000007471694824,,,627,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.016820393595750716,-0.00798523382440921,0.038239553401527536,2442,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,-0.002027233439731879,,,2442,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.00011087192801900736,-0.0014194419790262993,0.0016640300572852288,609,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.0021989228914464087,,,609,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,0.0006298076009070286,-0.00027500954838416273,0.0015920865829456535,603,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.0011170290081294887,,,603,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.0001059593030339756,-0.0006142957320687065,0.00044007203527555847,603,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.00039939471021421813,,,603,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.00040969297913706626,-0.00012953843670340524,0.0009088791062206738,627,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.0004456582485308225,,,627,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,0.0006384928784879396,-4.003134555225773e-05,0.0013361955348412322,2442,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.0021989228914464087,,,2442,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,0.0010804051692119288,0.00022663251062038232,0.0019801734714618127,609,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.0006374360164439485,,,609,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,0.00022686050479425734,-1.0010801327429985e-05,0.000463725280456155,603,NULL,
