phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.2373812922098466,-0.8238304911015529,0.388492356583849,609,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.004773054169491697,,,609,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.2448211533404958,-0.2716087737768412,0.7800818487898133,603,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0045916010882244285,,,603,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.241312537715757,-0.2231992115463395,0.6603440075413931,603,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0022630385717754553,,,603,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.13742639704891246,-0.2118909348697773,0.4506896809378243,627,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0016087134953653992,,,627,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.108900860015126,-0.15681698727864166,0.38113737676090725,2442,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.004773054169491697,,,2442,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.003650654450076729,-0.0035943720547888915,0.011001510946102409,609,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.002509755783831613,,,609,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.0023616785771833904,-0.002177561977781531,0.006433890808344943,603,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0019471621064875988,,,603,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0013889248022176393,-0.0027337563823065457,0.005442275895029773,603,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0010967330822564403,,,603,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0012679148372642945,-0.003889526483750033,0.0012167570065688413,627,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0009036195162336336,,,627,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0018083776103809956,-0.001551456519296912,0.004970496825384374,2442,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.002509755783831613,,,2442,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.0008602642232631297,-0.0017705692517599625,7.072396206639256e-06,609,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0004975209696094218,,,609,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.004480282074181607,0.0017288506484872486,0.0073192232284550445,603,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.003462837604188307,,,603,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.00033178106561426723,-0.0011515751343589536,0.0017827739898759354,603,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.0005693634211112464,,,603,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.00012802602101835703,-0.001177634049832152,0.0008700682056321877,627,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.0005029660307129813,,,627,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-0.00032365853340132755,-0.0007102230050094443,6.434884399897082e-05,2442,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.0004975209696094218,,,2442,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.06619528548645803,0.022712056375483458,0.11127036024295198,609,REGRESSION,
phase1,QB,rushing_yards,2021,r_squared_delta,-0.002027233439730547,,,609,REGRESSION,
phase1,QB,rushing_yards,2022,rmse_delta,-0.022574287167280715,-0.04775422120260764,0.0030364502660892956,603,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.00034741073510047293,,,603,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.018017892095778976,-0.07696182804374171,0.040653082720142654,603,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,-0.00013755055086195345,,,603,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.03609570009999885,-0.07333723722519628,0.0007133686031501379,627,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0006000007471668178,,,627,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.016820393572068326,-0.007985233821729665,0.038239553401364194,2442,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,-0.002027233439730547,,,2442,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.00011087192802755608,-0.0014194419790244718,0.001664030057298045,609,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.002198922891446742,,,609,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,0.0006298076009295106,-0.00027500954838245717,0.0015920865829744764,603,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.0011170290081297107,,,603,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.0001059593030145467,-0.000614295732041735,0.00044007203528086396,603,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.00039939471021377404,,,603,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.0004096929791461701,-0.0001295384367135971,0.0009088791061803477,627,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.0004456582485308225,,,627,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,0.0006384928784509136,-4.003134557551551e-05,0.0013361955348373796,2442,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.002198922891446742,,,2442,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,0.0010804051692375194,0.00022663251064840436,0.001980173471479825,609,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.0006374360164439485,,,609,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,0.0002268605048731942,-1.0010801191506767e-05,0.00046372528054792464,603,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.00011170317434305854,,,603,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,-0.00011720440871820781,-0.0007759109304154438,0.0005854635674960029,603,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.0005205872526545807,,,603,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,-0.0003157733942675822,-0.0010140243119370882,0.00039552833883316343,627,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,0.0005096771651648124,,,627,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,-4.4449105480626194e-05,-0.0004869630562341062,0.0004247775656176455,2442,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,0.0006374360164439485,,,2442,NULL,
phase1,RB,rushing_yards,2021,rmse_delta,0.10497339981543874,0.002547768883790893,0.21119197647547183,1068,REGRESSION,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0015003028429853016,,,1068,REGRESSION,
phase1,RB,rushing_yards,2022,rmse_delta,-0.03803905012938458,-0.10405990807514236,0.0251228410362545,1019,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.00042093950398203184,,,1019,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,-0.02309950390322868,-0.0996612863748628,0.06158695171672166,982,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0008693240099798549,,,982,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.029930758633291532,-0.09790813585856961,0.040808688678241695,1050,NULL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.0009073713256410043,,,1050,NULL,
phase1,RB,rushing_yards,pooled,rmse_delta,0.005254891441776266,-0.04555606545917357,0.05978500514046806,4119,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0015003028429853016,,,4119,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,0.0008268147187185937,7.309349118830855e-05,0.0016525750863345648,1068,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.001431111344178615,,,1068,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-9.170692493098986e-05,-0.0009779812228893237,0.0009362696972003839,1019,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.000701316668183849,,,1019,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,-0.0009914107138732087,-0.0021746113621498807,0.00011815946684291761,982,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,3.150198458279352e-05,,,982,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.0004657853189041772,-0.001218239677305427,0.0002546086586385998,1050,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.00017811214058993663,,,1050,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,0.0003534727370165802,-6.142316987639007e-05,0.0007860751128495407,4119,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.001431111344178615,,,4119,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.0015810214437099734,-0.003160417222766848,-0.00016536733756412073,1068,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.000185810474112591,,,1068,NULL,
phase1,RB,receptions,2022,rmse_delta,0.0029228782871182357,-0.00171340265854244,0.007028438578569213,1019,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0008374642019197687,,,1019,NULL,
phase1,RB,receptions,2023,rmse_delta,0.0005415502920578241,-0.0020501012018010354,0.003057028182055515,982,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0003677307887999248,,,982,NULL,
phase1,RB,receptions,2024,rmse_delta,-0.0012126883164527147,-0.003684218049886345,0.0013190815448725743,1050,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.00041311434336477326,,,1050,NULL,
phase1,RB,receptions,pooled,rmse_delta,0.00013707043194188806,-0.0007307610533018538,0.0010207273251486625,4119,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.000185810474112591,,,4119,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,-0.023797820965040017,-0.06347139911063024,0.017869401739868958,1068,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,0.0006565539564846734,,,1068,NULL,
