phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.014203716424532331,-0.03783674328539455,0.00918042644394496,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,4.0577106886319214e-05,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.05048712002054856,-0.13899456981935215,0.23879015809655613,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,-0.0005739639463674395,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.008406123315211289,-0.025388478023212358,0.007791206421095252,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,6.4366288133888006e-06,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.028166107220940262,-0.022672655720061028,0.0810716411430135,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,5.642728564136945e-05,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.0013018014058445715,-0.010918307522821635,0.013897997189674171,2223,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,4.0577106886319214e-05,,,2223,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.0001549349226110941,-0.0006374476887016755,0.0010448810123708685,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.00027020372582886587,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,-3.672367028317858e-05,-0.001923548260431221,0.001905193607920702,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,-0.00027277751543230977,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0012410942389562418,-0.0003238744334655624,0.002942069123715454,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0003173696775841117,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-8.662882480048317e-05,-0.0009818675139572131,0.0007924911713317045,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,-0.00011554054107398848,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.00013325820247866993,-0.00029773721269619747,0.0005176037431863622,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.00027020372582886587,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.0004163159596726196,-0.0009218627443666749,0.00010653242420613212,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0005050845925100855,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.000693442340528927,-9.614731509393624e-05,0.0014804976141975512,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0008812021142494686,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,-3.321397539202131e-05,-0.00021810983311772725,0.00014583499279319784,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.000114653458694991,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,2.442689871817727e-06,-6.416970808620915e-05,7.344319076966475e-05,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,4.053709250328996e-05,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-7.901177964897421e-06,-0.00026879855796264337,0.00024870449215100006,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.0005050845925100855,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.000676647348704762,-0.009031692373665034,0.009989903510165998,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.00012942063140441995,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,0.0014937989285783715,-0.0061937703937301695,0.008594310739304766,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,6.375424532889529e-05,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,1.761203810346501e-05,-0.0020566841159218364,0.0019246934226414317,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,1.0107093277977874e-05,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,0.0017275786137282978,-0.00014067604231104977,0.0035255182178688393,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,6.5807258625705245e-06,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.0022498847915066733,-0.0024041058943709004,0.007273807430179068,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.00012942063140441995,,,2223,NULL,
