phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,RB,rushing_yards,2021,rmse_delta,0.05345219166113324,-0.026079320212940526,0.1378162337066559,969,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0011209589837760658,,,969,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.03580467529567244,-0.10001081762638062,0.02946908221747568,913,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.000715992747480243,,,913,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.024540340008826433,-0.040051908579345416,0.0910194776033334,900,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0009196506007513872,,,900,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.08418977614142165,-0.14136620295294583,-0.023237994471071083,941,SIGNAL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.0006342386595212801,,,941,SIGNAL,
phase1,RB,rushing_yards,pooled,rmse_delta,-0.019299056949851234,-0.06198801718746738,0.022685826180972226,3723,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0011209589837760658,,,3723,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,3.6712609563505083e-06,-6.8552734877797e-06,1.4690440707301744e-05,969,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,3.7714806655486655e-07,,,969,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.00026052895645733987,-0.0007691378187288905,0.0002451315295292048,913,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,-0.000274085971945226,,,913,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,-0.00045030074033280965,-0.0008108078963721371,-4.7938913882070274e-05,900,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,-0.0002243172554460271,,,900,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,2.497165839365767e-05,-1.2669946408633281e-05,6.203120184583855e-05,941,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,9.948190728970019e-07,,,941,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,-2.6232988835639404e-06,-8.139593690936752e-06,2.3731487045791646e-06,3723,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,3.7714806655486655e-07,,,3723,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.0021754395386111014,-0.003770541703550662,-0.0005813786066351024,969,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.00016605848823392222,,,969,NULL,
phase1,RB,receptions,2022,rmse_delta,-0.0003164589366950743,-0.0038213919517908032,0.0035749660058272785,913,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0008698099794367531,,,913,NULL,
phase1,RB,receptions,2023,rmse_delta,-0.00014094298770417346,-0.0036105550711289015,0.0029998811567613693,900,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0007472613669660122,,,900,NULL,
phase1,RB,receptions,2024,rmse_delta,-0.002548094912618648,-0.005861466936099219,0.0006622540358832634,941,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.0006706586727832642,,,941,NULL,
phase1,RB,receptions,pooled,rmse_delta,-0.001233212797534744,-0.002070517866596766,-0.00044133121791555273,3723,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.00016605848823392222,,,3723,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,-0.007936098788665191,-0.016295851578407385,-0.00013606591179176142,969,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,4.794604109470413e-05,,,969,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,-0.008307626655714273,-0.02994385318391184,0.01630166560031005,913,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.00037477136330632543,,,913,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,0.00046848340240401853,-0.026654441547102524,0.023845354023078785,900,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0004553164576923674,,,900,NULL,
phase1,RB,receiving_yards,2024,rmse_delta,0.00570371048055307,-0.01945891746416768,0.030661055834759976,941,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.00039810297135856043,,,941,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,-0.003960864100367445,-0.008530289932022761,0.00022870420998177555,3723,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,4.794604109470413e-05,,,3723,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,-1.3471467169012818e-06,-3.2172671956390285e-06,5.578219119992116e-07,969,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,8.283389860697099e-07,,,969,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,-6.254334178890097e-07,-0.00013529853002590547,0.0001482877598044399,913,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,0.000179404224296853,,,913,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,0.0001851513585957587,-5.184715487888125e-05,0.00040515964967872406,900,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,0.0001645782790762329,,,900,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,-0.0007442681921908667,-0.0018659227933958355,0.0003551138401796854,941,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,-0.0034380574602895786,,,941,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,-2.567352581639426e-07,-1.1695035077072258e-06,6.653260850392195e-07,3723,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,8.283389860697099e-07,,,3723,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,2.4235553031104473e-07,6.163014128271471e-08,4.145326364370094e-07,969,NULL,
phase1,RB,fumbles_lost,2021,r_squared_delta,8.394414163781505e-09,,,969,NULL,
phase1,RB,fumbles_lost,2022,rmse_delta,2.490195020771191e-06,-7.583861962033589e-06,1.27743679673789e-05,913,NULL,
phase1,RB,fumbles_lost,2022,r_squared_delta,2.7373063779090323e-05,,,913,NULL,
phase1,RB,fumbles_lost,2023,rmse_delta,2.9273588858513833e-08,-7.92710482001302e-06,7.8756529837333e-06,900,NULL,
phase1,RB,fumbles_lost,2023,r_squared_delta,1.2765523681568247e-05,,,900,NULL,
phase1,RB,fumbles_lost,2024,rmse_delta,-8.970343776948386e-07,-1.0704652865870662e-05,7.89600621501768e-06,941,NULL,
phase1,RB,fumbles_lost,2024,r_squared_delta,1.0281237445286528e-05,,,941,NULL,
phase1,RB,fumbles_lost,pooled,rmse_delta,5.814673992299291e-08,-4.192484941295538e-08,1.6195779671962503e-07,3723,NULL,
phase1,RB,fumbles_lost,pooled,r_squared_delta,8.394414163781505e-09,,,3723,NULL,
