phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,TE,receptions,2021,rmse_delta,0.00014445316133149255,-0.0035899130948326805,0.0036753501121157208,633,NULL,
phase1,TE,receptions,2021,r_squared_delta,0.0006078980324427663,,,633,NULL,
phase1,TE,receptions,2022,rmse_delta,0.00028591853603088246,-0.002635551064182956,0.003201428334473957,704,NULL,
phase1,TE,receptions,2022,r_squared_delta,-2.7748028584850815e-06,,,704,NULL,
phase1,TE,receptions,2023,rmse_delta,0.0015688171190446631,-0.0012744213880586052,0.00448428437815,719,NULL,
phase1,TE,receptions,2023,r_squared_delta,0.00034905722284339635,,,719,NULL,
phase1,TE,receptions,2024,rmse_delta,0.00045307565992969145,-0.0013464531742881757,0.0023133986443861216,691,NULL,
phase1,TE,receptions,2024,r_squared_delta,9.811934738990225e-05,,,691,NULL,
phase1,TE,receptions,pooled,rmse_delta,0.00102355480741112,-0.0007149435308157314,0.0026550533248625606,2747,NULL,
phase1,TE,receptions,pooled,r_squared_delta,0.0006078980324427663,,,2747,NULL,
phase1,TE,receiving_yards,2021,rmse_delta,0.0037946473256234015,-0.008914037927023078,0.016364225761531515,633,NULL,
phase1,TE,receiving_yards,2021,r_squared_delta,3.2495743885530004e-05,,,633,NULL,
phase1,TE,receiving_yards,2022,rmse_delta,-0.0007462696462141594,-0.002364136299995234,0.0008517838608985245,704,NULL,
phase1,TE,receiving_yards,2022,r_squared_delta,1.1431427517916148e-06,,,704,NULL,
phase1,TE,receiving_yards,2023,rmse_delta,-0.0033207642331269938,-0.014257333531154881,0.006828628230209332,719,NULL,
phase1,TE,receiving_yards,2023,r_squared_delta,2.8221723844090718e-05,,,719,NULL,
phase1,TE,receiving_yards,2024,rmse_delta,0.001246248484068957,-0.01873481936666721,0.02014114082514932,691,NULL,
phase1,TE,receiving_yards,2024,r_squared_delta,7.769717107786178e-05,,,691,NULL,
phase1,TE,receiving_yards,pooled,rmse_delta,0.0045000806750508104,-0.0021303984592308646,0.010475655416535277,2747,NULL,
phase1,TE,receiving_yards,pooled,r_squared_delta,3.2495743885530004e-05,,,2747,NULL,
phase1,TE,receiving_tds,2021,rmse_delta,1.6711773706712396e-05,-6.779119986909248e-05,9.500996799563926e-05,633,NULL,
phase1,TE,receiving_tds,2021,r_squared_delta,0.00023749386832461195,,,633,NULL,
phase1,TE,receiving_tds,2022,rmse_delta,1.9178232819605512e-05,-4.466448853275295e-05,8.183398750620516e-05,704,NULL,
phase1,TE,receiving_tds,2022,r_squared_delta,0.00014727571824102448,,,704,NULL,
phase1,TE,receiving_tds,2023,rmse_delta,-2.3341219612171837e-05,-8.492994112705709e-05,4.888284237342248e-05,719,NULL,
phase1,TE,receiving_tds,2023,r_squared_delta,7.857690248425087e-05,,,719,NULL,
phase1,TE,receiving_tds,2024,rmse_delta,3.805571328885371e-05,-3.534584668133667e-05,0.00011285124799300934,691,NULL,
phase1,TE,receiving_tds,2024,r_squared_delta,9.887047621104372e-05,,,691,NULL,
phase1,TE,receiving_tds,pooled,rmse_delta,8.645786666594546e-06,-3.133076592642808e-05,4.8338839206148174e-05,2747,NULL,
phase1,TE,receiving_tds,pooled,r_squared_delta,0.00023749386832461195,,,2747,NULL,
phase1,TE,rushing_yards,2021,rmse_delta,3.915547049404555e-05,-0.00016842217104779956,0.00020466183582604764,633,NULL,
phase1,TE,rushing_yards,2021,r_squared_delta,4.200336423354489e-05,,,633,NULL,
phase1,TE,rushing_yards,2022,rmse_delta,6.745013776265907e-05,-2.3789879122176893e-05,0.0001573886760178278,704,NULL,
phase1,TE,rushing_yards,2022,r_squared_delta,2.7049715137339447e-05,,,704,NULL,
phase1,TE,rushing_yards,2023,rmse_delta,-1.4944952163309377e-05,-8.180455360699696e-05,5.388840454023102e-05,719,NULL,
phase1,TE,rushing_yards,2023,r_squared_delta,9.028219280504679e-06,,,719,NULL,
phase1,TE,rushing_yards,2024,rmse_delta,-1.0453508398566846e-05,-5.778340099769075e-05,5.832860115933254e-05,691,NULL,
phase1,TE,rushing_yards,2024,r_squared_delta,1.1339259345821695e-05,,,691,NULL,
phase1,TE,rushing_yards,pooled,rmse_delta,2.6591482818583145e-05,-4.2627669137496047e-05,9.473706855562812e-05,2747,NULL,
phase1,TE,rushing_yards,pooled,r_squared_delta,4.200336423354489e-05,,,2747,NULL,
phase1,TE,rushing_tds,2021,rmse_delta,2.2071617231667062e-06,-3.0992789560133073e-06,8.427961215641891e-06,633,NULL,
phase1,TE,rushing_tds,2021,r_squared_delta,5.428357624281954e-05,,,633,NULL,
phase1,TE,rushing_tds,2022,rmse_delta,-3.365155653578533e-07,-1.2606079700161476e-06,9.307623906653184e-07,704,NULL,
phase1,TE,rushing_tds,2022,r_squared_delta,8.243904734084317e-06,,,704,NULL,
phase1,TE,rushing_tds,2023,rmse_delta,1.082231130085029e-07,-2.539260831801451e-06,2.772733394777043e-06,719,NULL,
phase1,TE,rushing_tds,2023,r_squared_delta,1.1034126363274055e-05,,,719,NULL,
phase1,TE,rushing_tds,2024,rmse_delta,5.205522220705361e-07,-5.58917112649769e-06,1.4283003513072123e-06,691,NULL,
phase1,TE,rushing_tds,2024,r_squared_delta,1.0519013646126396e-05,,,691,NULL,
phase1,TE,rushing_tds,pooled,rmse_delta,6.005859384539125e-07,-1.3645265285138971e-06,2.9573893978304326e-06,2747,NULL,
phase1,TE,rushing_tds,pooled,r_squared_delta,5.428357624281954e-05,,,2747,NULL,
phase1,TE,fumbles_lost,2021,rmse_delta,4.9485827852135955e-08,-3.4858496241602086e-08,1.5044693601057312e-07,633,NULL,
phase1,TE,fumbles_lost,2021,r_squared_delta,1.8937834633803163e-08,,,633,NULL,
phase1,TE,fumbles_lost,2022,rmse_delta,6.797955798415467e-07,-1.2073098931690562e-06,2.5766783264897364e-06,704,NULL,
phase1,TE,fumbles_lost,2022,r_squared_delta,3.7550600383573496e-06,,,704,NULL,
phase1,TE,fumbles_lost,2023,rmse_delta,1.5821329268916884e-07,-1.6737367052623714e-06,1.776101459526405e-06,719,NULL,
phase1,TE,fumbles_lost,2023,r_squared_delta,7.059077498094979e-07,,,719,NULL,
phase1,TE,fumbles_lost,2024,rmse_delta,1.287082309342491e-07,-5.81820435264363e-07,7.173898591374128e-07,691,NULL,
phase1,TE,fumbles_lost,2024,r_squared_delta,1.0575976761018069e-07,,,691,NULL,
