phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,-5.516574917319161e-06,-0.00017624387013772668,0.0001908033369721673,1633,NULL,
phase1,WR,receptions,2021,r_squared_delta,2.135749967657752e-06,,,1633,NULL,
phase1,WR,receptions,2022,rmse_delta,3.80230154037875e-05,-5.475581998505285e-05,0.00012781694254959672,1616,NULL,
phase1,WR,receptions,2022,r_squared_delta,8.116158864979184e-07,,,1616,NULL,
phase1,WR,receptions,2023,rmse_delta,-0.000145502051407842,-0.0004683043195337189,0.00015204518517607493,1616,NULL,
phase1,WR,receptions,2023,r_squared_delta,7.0097634300436695e-06,,,1616,NULL,
phase1,WR,receptions,2024,rmse_delta,0.00034186944235470307,-0.0003888272744134613,0.0011188896626579846,1563,NULL,
phase1,WR,receptions,2024,r_squared_delta,3.083116631374949e-05,,,1563,NULL,
phase1,WR,receptions,pooled,rmse_delta,9.12198587998958e-06,-7.31175600565459e-05,9.637968118262338e-05,6428,NULL,
phase1,WR,receptions,pooled,r_squared_delta,2.135749967657752e-06,,,6428,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,0.0173357268335792,-0.016521412610476106,0.05482301555970767,1633,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.0004377600267665427,,,1633,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.01470174364519039,-0.0038731463676697333,0.032658682953260146,1616,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,0.00016221089638956965,,,1616,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,0.001883993238493531,-0.006224828668471005,0.010603776377209327,1616,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,2.7491205463636703e-05,,,1616,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,-0.0003511131384499322,-0.0052523194666799,0.004876322800963439,1563,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,9.343740958178692e-06,,,1563,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,0.014015369908015884,-0.0033025417605015753,0.030958494081936645,6428,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.0004377600267665427,,,6428,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,0.00039717954010753953,1.3548227649651258e-06,0.0008389981761867102,1633,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.0003936131112998176,,,1633,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,3.903819394784902e-05,-5.3015596794972476e-05,0.0001337098873745557,1616,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,2.443922085082484e-05,,,1616,NULL,
phase1,WR,receiving_tds,2023,rmse_delta,-4.8867565740629004e-06,-1.5077196484780675e-05,5.664872511970674e-06,1616,NULL,
phase1,WR,receiving_tds,2023,r_squared_delta,3.7631840121843396e-07,,,1616,NULL,
