phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.014203715573515296,-0.03783674232179912,0.009180426896740451,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,4.0577106886319214e-05,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.05048712265914901,-0.1389945774849995,0.2387901738479062,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,-0.0005739639463675505,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.008406124292477557,-0.025388484046724356,0.007791206309839536,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,6.436628813277778e-06,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.02816610826121746,-0.02267264626099745,0.08107166471356239,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,5.642728564192456e-05,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.0013018018734669567,-0.010918307060212839,0.013897997647269022,2223,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,4.0577106886319214e-05,,,2223,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.00015493493705376338,-0.0006374476751110969,0.0010448810248479545,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.00027020372582886587,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,-3.672392757181342e-05,-0.0019235482462461428,0.0019051932899198263,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,-0.00027277751543275386,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0012410941905818262,-0.0003238745091329237,0.0029420691128043265,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0003173696775835566,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-8.662884543642058e-05,-0.0009818676605029997,0.0007924910534607637,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,-0.00011554054107365541,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0001332582073778621,-0.0002977372066978845,0.0005176037465902505,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.00027020372582886587,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.00041631595924473963,-0.0009218627439424004,0.0001065324245876686,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0005050845925103076,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.0006934423407785051,-9.614731506488449e-05,0.001480497614945986,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0008812021142494686,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,-3.3213975538792795e-05,-0.00021810983327744392,0.00014583499269989748,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.000114653458694991,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,2.4426897295981576e-06,-6.416970818817202e-05,7.344319057115965e-05,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,4.053709250328996e-05,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-7.901177567437578e-06,-0.0002687985575008933,0.00024870449254918154,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.0005050845925103076,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.0006766473350161561,-0.009031692271005554,0.009989903611111383,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.00012942063140686244,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,0.001493798932617807,-0.006193770208622151,0.008594310653336823,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,6.375424532722995e-05,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,1.7612070401185065e-05,-0.002056684086928673,0.0019246934332067581,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,1.0107093277422763e-05,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,0.0017275786977712926,-0.00014067591876685268,0.003525518283944873,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,6.580725863014614e-06,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.0022498848380223535,-0.0024041058456735877,0.0072738075100347455,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.00012942063140686244,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,4.35552583655241e-06,-7.953253457813892e-06,1.6980577972337813e-05,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,1.7547845329035638e-06,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,9.152921739380426e-05,-0.0009561658009511323,0.0012508616017248826,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,-0.0022849126808393017,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,1.0914441823495213e-05,1.6543417468026237e-06,1.9630905394370235e-05,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,4.6941733161665056e-06,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,-1.8122648096696725e-05,-5.368583184954812e-05,1.4845961753681686e-05,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,1.569194101780358e-05,,,571,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,-2.661546944060511e-06,-8.017206933719212e-06,2.794309012692228e-06,2223,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,1.7547845329035638e-06,,,2223,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,-6.7366727901641e-07,-1.1557617468023473e-05,1.0497174599786993e-05,556,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,9.166168601915103e-06,,,556,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,-1.2775268189657574e-05,-2.432262294563281e-05,-8.895999650829229e-07,544,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,1.0180109214941169e-05,,,544,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,-2.1415310832773038e-05,-5.813269060730014e-05,1.414288615321085e-05,552,NULL,
