phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,RB,rushing_yards,2021,rmse_delta,0.05345219141772972,-0.026079320782239714,0.13781623355560554,969,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0011209589837761769,,,969,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.03580467137319232,-0.1000108227255561,0.029469078925747988,913,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0007159927474809091,,,913,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.024540340529227933,-0.04005190766966802,0.09101947815530538,900,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0009196506007510541,,,900,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.08418974560173353,-0.14136616299962323,-0.02323796038230967,941,SIGNAL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.0006342386595198368,,,941,SIGNAL,
phase1,RB,rushing_yards,pooled,rmse_delta,-0.019299057173537193,-0.06198801721093696,0.022685826020894143,3723,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0011209589837761769,,,3723,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,3.6712611471978462e-06,-6.855273767480963e-06,1.4690441809322996e-05,969,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,3.7714806633282194e-07,,,969,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.00026052895727823877,-0.0007691378188379117,0.00024513152819702046,913,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,-0.00027408597194511497,,,913,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,-0.000450300713483065,-0.0008108078662488305,-4.7938898397059776e-05,900,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,-0.00022431725544613812,,,900,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,2.4971671131912565e-05,-1.2669935637607544e-05,6.203121635752485e-05,941,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,9.948190724529127e-07,,,941,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,-2.62329936429051e-06,-8.139594380898729e-06,2.3731479838057234e-06,3723,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,3.7714806633282194e-07,,,3723,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.0021754394884079264,-0.003770541653359294,-0.0005813785633587977,969,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.00016605848823414426,,,969,NULL,
phase1,RB,receptions,2022,rmse_delta,-0.00031645894548049114,-0.003821391963669901,0.0035749660331346016,913,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0008698099794377523,,,913,NULL,
phase1,RB,receptions,2023,rmse_delta,-0.00014094298579614417,-0.0036105551127101677,0.002999881069161936,900,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0007472613669662342,,,900,NULL,
phase1,RB,receptions,2024,rmse_delta,-0.002548094837963255,-0.005861466879947125,0.0006622542069378006,941,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.000670658672782598,,,941,NULL,
phase1,RB,receptions,pooled,rmse_delta,-0.0012332127808030169,-0.0020705178411567883,-0.00044133119541954767,3723,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.00016605848823414426,,,3723,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,-0.007936094395631699,-0.016295849597706535,-0.00013606375416666061,969,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,4.794604109470413e-05,,,969,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,-0.008307626329511208,-0.02994385149969858,0.016301665948485762,913,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.0003747713633071026,,,913,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,0.0004684843526803206,-0.02665444104584198,0.02384535540277896,900,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0004553164576928115,,,900,NULL,
phase1,RB,receiving_yards,2024,rmse_delta,0.0057037300452531525,-0.019458910512230077,0.030661071233007896,941,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.0003981029713620021,,,941,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,-0.003960863221941224,-0.00853028718700779,0.00022870430071257622,3723,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,4.794604109470413e-05,,,3723,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,-1.3471467175119045e-06,-3.2172671973945687e-06,5.578219095858643e-07,969,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,8.283389862917545e-07,,,969,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,-6.254335574440439e-07,-0.00013529853022382492,0.00014828775963805494,913,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,0.000179404224296964,,,913,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,0.0001851513662693982,-5.184714114326028e-05,0.0004051596601858609,900,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,0.0001645782790762329,,,900,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,-0.0007442681875521884,-0.0018659228186003163,0.00035511385645343926,941,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,-0.0034380574602895786,,,941,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,-2.567352586080318e-07,-1.1695035065234505e-06,6.653260847436226e-07,3723,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,8.283389862917545e-07,,,3723,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,2.4235553122697873e-07,6.163014092605557e-08,4.145326392077097e-07,969,NULL,
phase1,RB,fumbles_lost,2021,r_squared_delta,8.394414163781505e-09,,,969,NULL,
phase1,RB,fumbles_lost,2022,rmse_delta,2.490195020493635e-06,-7.5838619614146395e-06,1.277436796513139e-05,913,NULL,
