phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,TE,receptions,2021,rmse_delta,0.00014445315220035226,-0.0035899130860158335,0.0036753500766399483,633,NULL,
phase1,TE,receptions,2021,r_squared_delta,0.0006078980324415451,,,633,NULL,
phase1,TE,receptions,2022,rmse_delta,0.0002859185307788614,-0.0026355510719469786,0.0032014283314087256,704,NULL,
phase1,TE,receptions,2022,r_squared_delta,-2.7748028584850815e-06,,,704,NULL,
phase1,TE,receptions,2023,rmse_delta,0.0015688171539287588,-0.0012744213425403771,0.004484284410509326,719,NULL,
phase1,TE,receptions,2023,r_squared_delta,0.0003490572228430633,,,719,NULL,
phase1,TE,receptions,2024,rmse_delta,0.00045307567387853354,-0.0013464531624615029,0.0023133986454207385,691,NULL,
phase1,TE,receptions,2024,r_squared_delta,9.811934739001327e-05,,,691,NULL,
phase1,TE,receptions,pooled,rmse_delta,0.0010235548124770677,-0.0007149435273264392,0.0026550533217187975,2747,NULL,
phase1,TE,receptions,pooled,r_squared_delta,0.0006078980324415451,,,2747,NULL,
phase1,TE,receiving_yards,2021,rmse_delta,0.003794647118152028,-0.008914036832050698,0.016364225954818234,633,NULL,
phase1,TE,receiving_yards,2021,r_squared_delta,3.249574388575205e-05,,,633,NULL,
phase1,TE,receiving_yards,2022,rmse_delta,-0.0007462718136643787,-0.0023641372386693504,0.0008517809023373951,704,NULL,
phase1,TE,receiving_yards,2022,r_squared_delta,1.1431427515695702e-06,,,704,NULL,
phase1,TE,receiving_yards,2023,rmse_delta,-0.003320762733441285,-0.01425732885580384,0.006828628764412503,719,NULL,
phase1,TE,receiving_yards,2023,r_squared_delta,2.822172384364663e-05,,,719,NULL,
phase1,TE,receiving_yards,2024,rmse_delta,0.0012462477768231395,-0.01873482346919735,0.020141140655773517,691,NULL,
phase1,TE,receiving_yards,2024,r_squared_delta,7.769717107808383e-05,,,691,NULL,
phase1,TE,receiving_yards,pooled,rmse_delta,0.004500080881200574,-0.002130398193424732,0.010475655809002404,2747,NULL,
phase1,TE,receiving_yards,pooled,r_squared_delta,3.249574388575205e-05,,,2747,NULL,
phase1,TE,receiving_tds,2021,rmse_delta,1.6711773704380928e-05,-6.779119987345705e-05,9.500996799110123e-05,633,NULL,
phase1,TE,receiving_tds,2021,r_squared_delta,0.00023749386832461195,,,633,NULL,
phase1,TE,receiving_tds,2022,rmse_delta,1.917823282426845e-05,-4.466448853045341e-05,8.183398751115397e-05,704,NULL,
phase1,TE,receiving_tds,2022,r_squared_delta,0.00014727571824102448,,,704,NULL,
phase1,TE,receiving_tds,2023,rmse_delta,-2.3341219611505704e-05,-8.492994112530155e-05,4.888284237070521e-05,719,NULL,
phase1,TE,receiving_tds,2023,r_squared_delta,7.857690248436189e-05,,,719,NULL,
phase1,TE,receiving_tds,2024,rmse_delta,3.805571328896473e-05,-3.534584667443108e-05,0.00011285124798644515,691,NULL,
phase1,TE,receiving_tds,2024,r_squared_delta,9.887047621137679e-05,,,691,NULL,
phase1,TE,receiving_tds,pooled,rmse_delta,8.645786666705568e-06,-3.1330765926031176e-05,4.8338839206954475e-05,2747,NULL,
phase1,TE,receiving_tds,pooled,r_squared_delta,0.00023749386832461195,,,2747,NULL,
phase1,TE,rushing_yards,2021,rmse_delta,3.915547049437862e-05,-0.0001684221710405165,0.00020466183582077132,633,NULL,
phase1,TE,rushing_yards,2021,r_squared_delta,4.200336423376694e-05,,,633,NULL,
phase1,TE,rushing_yards,2022,rmse_delta,6.7450137767322e-05,-2.378987912720898e-05,0.00015738867603434513,704,NULL,
phase1,TE,rushing_yards,2022,r_squared_delta,2.704971513745047e-05,,,704,NULL,
phase1,TE,rushing_yards,2023,rmse_delta,-1.4944952159812175e-05,-8.18045536017109e-05,5.388840454331883e-05,719,NULL,
phase1,TE,rushing_yards,2023,r_squared_delta,9.028219280726724e-06,,,719,NULL,
phase1,TE,rushing_yards,2024,rmse_delta,-1.0453508398455824e-05,-5.778340099723556e-05,5.8328601159099396e-05,691,NULL,
phase1,TE,rushing_yards,2024,r_squared_delta,1.133925934604374e-05,,,691,NULL,
phase1,TE,rushing_yards,pooled,rmse_delta,2.6591482820026435e-05,-4.262766913553373e-05,9.473706856118201e-05,2747,NULL,
phase1,TE,rushing_yards,pooled,r_squared_delta,4.200336423376694e-05,,,2747,NULL,
phase1,TE,rushing_tds,2021,rmse_delta,2.2071617231667062e-06,-3.099278956110452e-06,8.427961215766791e-06,633,NULL,
phase1,TE,rushing_tds,2021,r_squared_delta,5.4283576242930565e-05,,,633,NULL,
phase1,TE,rushing_tds,2022,rmse_delta,-3.365155653994867e-07,-1.2606079700855365e-06,9.307623905330891e-07,704,NULL,
phase1,TE,rushing_tds,2022,r_squared_delta,8.243904734084317e-06,,,704,NULL,
phase1,TE,rushing_tds,2023,rmse_delta,1.0822311302411541e-07,-2.5392608317872586e-06,2.7727333947764687e-06,719,NULL,
phase1,TE,rushing_tds,2023,r_squared_delta,1.103412636305201e-05,,,719,NULL,
phase1,TE,rushing_tds,2024,rmse_delta,5.205522219386971e-07,-5.5891711267244074e-06,1.428300351070943e-06,691,NULL,
phase1,TE,rushing_tds,2024,r_squared_delta,1.0519013646015374e-05,,,691,NULL,
phase1,TE,rushing_tds,pooled,rmse_delta,6.005859384539125e-07,-1.3645265285558776e-06,2.957389397845525e-06,2747,NULL,
phase1,TE,rushing_tds,pooled,r_squared_delta,5.4283576242930565e-05,,,2747,NULL,
phase1,TE,fumbles_lost,2021,rmse_delta,4.948582713049099e-08,-3.4858497128739674e-08,1.5044693547419662e-07,633,NULL,
phase1,TE,fumbles_lost,2021,r_squared_delta,1.8937834633803163e-08,,,633,NULL,
phase1,TE,fumbles_lost,2022,rmse_delta,6.797955803966582e-07,-1.207309891940178e-06,2.5766783260142486e-06,704,NULL,
phase1,TE,fumbles_lost,2022,r_squared_delta,3.755060038135305e-06,,,704,NULL,
phase1,TE,fumbles_lost,2023,rmse_delta,1.5821329268916884e-07,-1.6737367052245544e-06,1.7761014592766049e-06,719,NULL,
phase1,TE,fumbles_lost,2023,r_squared_delta,7.059077498094979e-07,,,719,NULL,
phase1,TE,fumbles_lost,2024,rmse_delta,1.287082308232268e-07,-5.818204353996714e-07,7.173898589445116e-07,691,NULL,
phase1,TE,fumbles_lost,2024,r_squared_delta,1.0575976761018069e-07,,,691,NULL,
phase1,TE,fumbles_lost,pooled,rmse_delta,2.0131671885081914e-09,-5.800189463930905e-08,6.766059117771503e-08,2747,NULL,
phase1,TE,fumbles_lost,pooled,r_squared_delta,1.8937834633803163e-08,,,2747,NULL,
phase2,TE,composite,pooled,rmse_delta,0.0036047595271417876,-0.001961924363041967,0.009161299632463394,4257,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.002, +0.009] brackets / exceeds zero"
phase2,TE,composite,pooled,spearman_delta,-0.0009878380982494273,-0.0029710692038237368,0.0011669772957448585,4257,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.002, +0.009] brackets / exceeds zero"
