phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,-5.516611789602166e-06,-0.0001762439172976915,0.0001908033071942316,1633,NULL,
phase1,WR,receptions,2021,r_squared_delta,2.1357499682128633e-06,,,1633,NULL,
phase1,WR,receptions,2022,rmse_delta,3.802295965371627e-05,-5.475572637523296e-05,0.00012781697436650138,1616,NULL,
phase1,WR,receptions,2022,r_squared_delta,8.116158870530299e-07,,,1616,NULL,
phase1,WR,receptions,2023,rmse_delta,-0.00014550180981220961,-0.0004683039735235317,0.0001520453341110615,1616,NULL,
phase1,WR,receptions,2023,r_squared_delta,7.009763429821625e-06,,,1616,NULL,
phase1,WR,receptions,2024,rmse_delta,0.0003418711767637639,-0.00038882490127131183,0.0011188919089800018,1563,NULL,
phase1,WR,receptions,2024,r_squared_delta,3.0831166313971536e-05,,,1563,NULL,
phase1,WR,receptions,pooled,rmse_delta,9.121925766741867e-06,-7.311762279769151e-05,9.63796320913479e-05,6428,NULL,
phase1,WR,receptions,pooled,r_squared_delta,2.1357499682128633e-06,,,6428,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,0.017335726797178097,-0.01652141265453668,0.05482301551112858,1633,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.0004377600267666537,,,1633,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.014701743583451332,-0.0038731463640594654,0.03265868296433502,1616,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,0.00016221089638945863,,,1616,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,0.0018839929457428184,-0.006224828837070894,0.01060377629916118,1616,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,2.7491205464080792e-05,,,1616,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,-0.00035111340221050114,-0.005252319649509296,0.004876322662864573,1563,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,9.343740958622782e-06,,,1563,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,0.014015369826296364,-0.0033025418280688604,0.030958494030602773,6428,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.0004377600267666537,,,6428,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,0.00039717953986917465,1.3548225327536536e-06,0.0008389981758574305,1633,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.0003936131113000396,,,1633,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,3.9038193908602636e-05,-5.301559681916423e-05,0.00013370988759539988,1616,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,2.4439220851046883e-05,,,1616,NULL,
