phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.11665193524362394,-0.27088360689065993,0.017525206408598126,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0009395327421217736,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.0006614320258364614,-0.25671100969627114,0.2536930456601215,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0015168203788125112,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.28735922485451226,-0.5318226522775802,-0.05368602305754316,552,SIGNAL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0012633428533332935,,,552,SIGNAL,
phase1,QB,passing_yards,2024,rmse_delta,0.19776123208761476,-0.1267290696175312,0.49124868640994024,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0020303202955439525,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.06894428360365623,-0.13958403594639854,0.006618472756638015,2223,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0009395327421217736,,,2223,NULL,
phase1,QB,passing_tds,2021,rmse_delta,-2.944228995716003e-06,-1.2362110415892192e-05,5.750259362913289e-06,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,-3.7421316045893604e-09,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,4.4756610839913336e-05,-0.0003058004839300049,0.0004048690963528889,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,1.1743813491893462e-05,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.00011299346389415099,-0.00027321296645577695,2.9748345968838542e-05,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,1.943115968683351e-06,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,8.899606088075274e-05,-0.0011830069668431365,0.0012451398560831216,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,-3.740323768675058e-05,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,-2.4718544673341114e-06,-6.818829982319085e-06,2.054325611311469e-06,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,-3.7421316045893604e-09,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.0002577578254950863,-0.0006124373454965498,0.0001080382162183478,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.00016294798835281288,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.00036212083984055177,-0.0003551460427219488,0.0010037988042588069,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0004482997412327272,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,-3.1531294564235424e-07,-0.00016398841035245303,0.00017914720766289689,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,7.068423345424346e-05,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,4.203388327739255e-06,-4.8959394012004775e-05,5.768546747214881e-05,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,1.9140965067276916e-05,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-2.4598642905493406e-05,-0.0002039414086921848,0.00014764887591940944,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.00016294798835281288,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.006971978590538441,-0.012005878742735999,0.025104643893459583,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.00031082978585406096,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,0.0018064850011043632,-0.004743771719715184,0.007893435821771,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,4.3781822870014864e-05,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.00012530261282606148,-0.0009529140467949837,0.0006953197413509747,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,1.8925984840434396e-06,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,0.0012186797425322027,-0.0004668471391101825,0.0027167218751952046,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,4.71157882142581e-06,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.004402497682161055,-0.003764292713306272,0.012988809040646742,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.00031082978585406096,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,-8.924107105345858e-06,-2.368165524224697e-05,6.905783888902505e-06,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,5.869953751957979e-06,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,6.75294468437393e-05,-0.0010066088294484147,0.001213526725459704,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,-0.002235380807346976,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,4.6775886720418214e-05,1.0266481737265799e-05,8.312469619233681e-05,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,3.7844119437413504e-05,,,552,NULL,
