phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,RB,rushing_yards,2021,rmse_delta,0.037293307121515795,-0.07573023182250198,0.15925904531162663,969,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.003322350446138045,,,969,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.07338729973564284,-0.18705200769838637,0.038851605167155634,913,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.002154288033578089,,,913,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.0005013962861220023,-0.10579017188145094,0.11750229148760041,900,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.002426275065873007,,,900,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.16992044622447722,-0.2704565897677128,-0.06467970804096769,941,SIGNAL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.002071446336963323,,,941,SIGNAL,
phase1,RB,rushing_yards,pooled,rmse_delta,-0.05431823681958292,-0.12496639149343274,0.010062611050799562,3723,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.003322350446138045,,,3723,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,3.1020035130668866e-05,-0.0005540024918294833,0.0006151957080087858,969,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.00041280153022160704,,,969,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.0003828237044543048,-0.001108324126751928,0.00037749931251510326,913,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,-3.885082361998471e-05,,,913,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,-0.0005056763201327641,-0.0010598938334863196,0.0001096260960492337,900,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,1.2610079364150373e-05,,,900,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.00027965650141226206,-0.0007869951955996296,0.00024387544340858928,941,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.00021298709920891667,,,941,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,-9.855113377099656e-05,-0.0004048786317759595,0.00019272619781790789,3723,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.00041280153022160704,,,3723,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.0016343456318193006,-0.0033321175903070046,1.9878512387039134e-05,969,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0001882719500995167,,,969,NULL,
phase1,RB,receptions,2022,rmse_delta,-0.00016288494107019602,-0.003453817797211606,0.0033617770346912428,913,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0006198676587830798,,,913,NULL,
phase1,RB,receptions,2023,rmse_delta,0.00033480923350626135,-0.0026359761965556007,0.0032947893150204292,900,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0005261428051480666,,,900,NULL,
phase1,RB,receptions,2024,rmse_delta,-0.0021533733265137744,-0.004758012030474795,0.0005054255111586958,941,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.00041287826543412454,,,941,NULL,
phase1,RB,receptions,pooled,rmse_delta,-0.0009422657799837975,-0.0018054041665880316,-0.0001268944883402179,3723,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.0001882719500995167,,,3723,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,0.0031140874548007957,-0.0007433225625438132,0.007323039754051484,969,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,1.1287378108959523e-05,,,969,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,-0.004202961925400928,-0.01343947093533302,0.005595299691682597,913,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,5.9273096281398097e-05,,,913,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,-6.267888457500703e-05,-0.014773482236133973,0.01425478812937477,900,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0001441198006396638,,,900,NULL,
phase1,RB,receiving_yards,2024,rmse_delta,0.0005583058919711448,-0.014544017946967358,0.01466821801555909,941,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.0001305705348577657,,,941,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,0.001898814205883781,-0.00020062927901713933,0.004070292632027428,3723,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,1.1287378108959523e-05,,,3723,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,-3.3830267697765315e-06,-8.122731626705736e-06,1.4452764375061377e-06,969,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,4.872808012534868e-06,,,969,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,-3.893039134950094e-05,-0.000253317212611788,0.0001885070814081374,913,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,0.0003026560232621822,,,913,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,0.00017849527230356932,-0.00017341776537026094,0.0005027854288670974,900,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,0.000353378535763893,,,900,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,-0.00016414996423180783,-0.00039717408984405177,3.1401706353462076e-05,941,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,0.00015244490814136924,,,941,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,-1.7047684555127063e-06,-4.089678717662804e-06,7.47638754027002e-07,3723,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,4.872808012534868e-06,,,3723,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,-1.6012210987681463e-06,-4.125749621793767e-06,9.6871640551735e-07,969,NULL,
phase1,RB,fumbles_lost,2021,r_squared_delta,2.3854895413455424e-06,,,969,NULL,
phase1,RB,fumbles_lost,2022,rmse_delta,1.557133619850548e-06,-6.63659970002034e-06,9.254688649807524e-06,913,NULL,
phase1,RB,fumbles_lost,2022,r_squared_delta,1.4597773964175609e-05,,,913,NULL,
phase1,RB,fumbles_lost,2023,rmse_delta,-9.035234844745332e-07,-6.961338732429379e-06,5.240721231249828e-06,900,NULL,
phase1,RB,fumbles_lost,2023,r_squared_delta,6.3087719865961844e-06,,,900,NULL,
phase1,RB,fumbles_lost,2024,rmse_delta,6.404841729479305e-07,-8.574444512131352e-06,8.977335663698514e-06,941,NULL,
phase1,RB,fumbles_lost,2024,r_squared_delta,7.799953362974676e-06,,,941,NULL,
phase1,RB,fumbles_lost,pooled,rmse_delta,-3.258554025498128e-07,-1.8292073226115757e-06,1.1972284369735074e-06,3723,NULL,
phase1,RB,fumbles_lost,pooled,r_squared_delta,2.3854895413455424e-06,,,3723,NULL,
phase2,RB,composite,pooled,rmse_delta,0.0074457295553038705,-1.742432056275329e-05,0.0155203876118281,5273,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.000, +0.016] brackets / exceeds zero"
