phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,TE,receptions,2021,rmse_delta,0.0006289646956072481,-0.001940735485946765,0.0033197505672856393,635,NULL,
phase1,TE,receptions,2021,r_squared_delta,0.000299428797435386,,,635,NULL,
phase1,TE,receptions,2022,rmse_delta,-0.0001898145324521483,-0.0015200366157704093,0.0010915754791858412,705,NULL,
phase1,TE,receptions,2022,r_squared_delta,8.314041071766365e-05,,,705,NULL,
phase1,TE,receptions,2023,rmse_delta,0.0008662362419302738,-0.0013290966551061155,0.002974817099633303,727,NULL,
phase1,TE,receptions,2023,r_squared_delta,-0.0001578949722021994,,,727,NULL,
phase1,TE,receptions,2024,rmse_delta,0.0001430316725672398,-0.0005860112572170339,0.0009130101122407862,694,NULL,
phase1,TE,receptions,2024,r_squared_delta,1.4458035847875195e-05,,,694,NULL,
phase1,TE,receptions,pooled,rmse_delta,0.0006749279605027247,-0.00044695477238440026,0.0019149378096774247,2761,NULL,
phase1,TE,receptions,pooled,r_squared_delta,0.000299428797435386,,,2761,NULL,
phase1,TE,receiving_yards,2021,rmse_delta,-0.0006933716472552476,-0.0019777075732054783,0.0006938525684770269,635,NULL,
phase1,TE,receiving_yards,2021,r_squared_delta,6.589308259030702e-07,,,635,NULL,
phase1,TE,receiving_yards,2022,rmse_delta,0.0034201925502514996,-0.029862809012920176,0.036281366562730434,705,NULL,
phase1,TE,receiving_yards,2022,r_squared_delta,-0.00015650212639284344,,,705,NULL,
phase1,TE,receiving_yards,2023,rmse_delta,-0.007944516842453453,-0.03401993576388555,0.019779485055040784,727,NULL,
phase1,TE,receiving_yards,2023,r_squared_delta,0.0001626762009264704,,,727,NULL,
phase1,TE,receiving_yards,2024,rmse_delta,0.002047105427319451,-0.03191626434570631,0.03357456696185226,694,NULL,
phase1,TE,receiving_yards,2024,r_squared_delta,0.0002376959212269103,,,694,NULL,
phase1,TE,receiving_yards,pooled,rmse_delta,-0.0004741095862392797,-0.001123448777001368,0.00012241391284009137,2761,NULL,
phase1,TE,receiving_yards,pooled,r_squared_delta,6.589308259030702e-07,,,2761,NULL,
phase1,TE,receiving_tds,2021,rmse_delta,2.3189920591304425e-05,-4.535103980015942e-05,8.908671233213148e-05,635,NULL,
phase1,TE,receiving_tds,2021,r_squared_delta,0.00014116054461044136,,,635,NULL,
