phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,7.299773693647538e-05,-0.0005916557121095511,0.0007765695228233227,1633,NULL,
phase1,WR,receptions,2021,r_squared_delta,2.9117263057765186e-05,,,1633,NULL,
phase1,WR,receptions,2022,rmse_delta,3.033395718921028e-05,-0.0002895802686371907,0.0003310978580304713,1616,NULL,
phase1,WR,receptions,2022,r_squared_delta,8.23198133359515e-06,,,1616,NULL,
phase1,WR,receptions,2023,rmse_delta,2.6600781674712692e-05,-0.00015320122350764853,0.00020987316726335243,1616,NULL,
phase1,WR,receptions,2023,r_squared_delta,2.4870419306211033e-06,,,1616,NULL,
phase1,WR,receptions,2024,rmse_delta,-1.7305699899328175e-05,-7.012794841216863e-05,3.4939661297173067e-05,1563,NULL,
phase1,WR,receptions,2024,r_squared_delta,1.4695452166257894e-07,,,1563,NULL,
phase1,WR,receptions,pooled,rmse_delta,-2.1221285393835387e-05,-0.0003304482859533997,0.0003186733995832802,6428,NULL,
phase1,WR,receptions,pooled,r_squared_delta,2.9117263057765186e-05,,,6428,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,0.00959249899565151,-0.013716083344436036,0.03539284604982651,1633,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.00019840343721777565,,,1633,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.00122796043054052,-0.010260697999265034,0.012747080586930703,1616,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,6.440028596443881e-05,,,1616,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,0.0004557759630614555,-0.009845828452687578,0.010878593095792508,1616,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,3.721868391792782e-05,,,1616,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,-0.000624510074814566,-0.009384179677506932,0.008789957876249055,1563,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,2.6325453010067612e-05,,,1563,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,0.003241768799206568,-0.008461559544560692,0.01512690908127805,6428,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.00019840343721777565,,,6428,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,0.0004529491576771294,4.0550326886737435e-05,0.0009322490793186477,1633,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.00040414496511465003,,,1633,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,6.947982596594571e-06,-6.408841457570258e-05,7.909828315493667e-05,1616,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,1.580846022419813e-05,,,1616,NULL,
phase1,WR,receiving_tds,2023,rmse_delta,-1.8461438492711757e-05,-6.634504818127523e-05,3.055139905187715e-05,1616,NULL,
phase1,WR,receiving_tds,2023,r_squared_delta,5.481033269361113e-06,,,1616,NULL,
phase1,WR,receiving_tds,2024,rmse_delta,5.017605586243867e-05,-5.6457942971077645e-05,0.00015901082167230906,1563,NULL,
phase1,WR,receiving_tds,2024,r_squared_delta,2.4769418471848326e-05,,,1563,NULL,
phase1,WR,receiving_tds,pooled,rmse_delta,0.0001558651513575704,-4.7794801628781025e-05,0.0003578802090240446,6428,NULL,
phase1,WR,receiving_tds,pooled,r_squared_delta,0.00040414496511465003,,,6428,NULL,
phase1,WR,rushing_yards,2021,rmse_delta,0.00025914309213348474,-0.0029549139063378194,0.003950882868604855,1633,NULL,
phase1,WR,rushing_yards,2021,r_squared_delta,0.0005024072632239251,,,1633,NULL,
phase1,WR,rushing_yards,2022,rmse_delta,0.0027387102285487686,-0.000974040650288388,0.006456912981182694,1616,NULL,
phase1,WR,rushing_yards,2022,r_squared_delta,0.0002697344448349126,,,1616,NULL,
phase1,WR,rushing_yards,2023,rmse_delta,-0.002813246653912138,-0.014233856027288194,0.00875544438838422,1616,NULL,
phase1,WR,rushing_yards,2023,r_squared_delta,-0.0007575115467178817,,,1616,NULL,
phase1,WR,rushing_yards,2024,rmse_delta,0.0004058606735708459,-0.0015729170207724797,0.0026204567738348002,1563,NULL,
phase1,WR,rushing_yards,2024,r_squared_delta,9.313330136606623e-05,,,1563,NULL,
phase1,WR,rushing_yards,pooled,rmse_delta,0.0008881209164197656,-0.0012224169638171522,0.0029490638855178774,6428,NULL,
phase1,WR,rushing_yards,pooled,r_squared_delta,0.0005024072632239251,,,6428,NULL,
phase1,WR,rushing_tds,2021,rmse_delta,-1.2929258372262886e-08,-2.714195112257095e-07,2.1963472762037687e-07,1633,NULL,
phase1,WR,rushing_tds,2021,r_squared_delta,1.0759179103203564e-08,,,1633,NULL,
phase1,WR,rushing_tds,2022,rmse_delta,-9.328109312201072e-07,-2.9375318032230645e-06,9.262366616889088e-07,1616,NULL,
phase1,WR,rushing_tds,2022,r_squared_delta,2.536961108967617e-07,,,1616,NULL,
phase1,WR,rushing_tds,2023,rmse_delta,3.260730243315191e-07,-1.1135481056987958e-05,1.047365514864409e-05,1616,NULL,
phase1,WR,rushing_tds,2023,r_squared_delta,2.476355692615506e-05,,,1616,NULL,
phase1,WR,rushing_tds,2024,rmse_delta,-1.47578539799742e-06,-9.259914526394894e-06,5.462930088964528e-06,1563,NULL,
phase1,WR,rushing_tds,2024,r_squared_delta,1.6851802424278084e-05,,,1563,NULL,
phase1,WR,rushing_tds,pooled,rmse_delta,-7.642856575396095e-08,-2.1295588670776355e-07,5.671122511388681e-08,6428,NULL,
phase1,WR,rushing_tds,pooled,r_squared_delta,1.0759179103203564e-08,,,6428,NULL,
phase1,WR,fumbles_lost,2021,rmse_delta,-1.287950309475372e-05,-4.096054075049538e-05,1.5679592526530286e-05,1633,NULL,
phase1,WR,fumbles_lost,2021,r_squared_delta,0.000300883774287275,,,1633,NULL,
phase1,WR,fumbles_lost,2022,rmse_delta,2.9653329388840133e-05,1.5234025413347905e-06,5.5842528313856244e-05,1616,NULL,
phase1,WR,fumbles_lost,2022,r_squared_delta,0.0003189312050798643,,,1616,NULL,
phase1,WR,fumbles_lost,2023,rmse_delta,-3.2791385353447833e-06,-2.1379179959207102e-05,1.4836373373901253e-05,1616,NULL,
phase1,WR,fumbles_lost,2023,r_squared_delta,9.465079266524068e-05,,,1616,NULL,
phase1,WR,fumbles_lost,2024,rmse_delta,6.407664287999548e-06,-1.692325769607761e-05,2.8625238293047276e-05,1563,NULL,
phase1,WR,fumbles_lost,2024,r_squared_delta,9.009688267791471e-05,,,1563,NULL,
phase1,WR,fumbles_lost,pooled,rmse_delta,4.814904311395418e-06,-7.855398850630663e-06,1.7368893149812684e-05,6428,NULL,
phase1,WR,fumbles_lost,pooled,r_squared_delta,0.000300883774287275,,,6428,NULL,
phase2,WR,composite,pooled,rmse_delta,0.0011168849556524307,-0.0038545244851307726,0.005945752128996549,8470,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.004, +0.006] brackets / exceeds zero"
phase2,WR,composite,pooled,spearman_delta,-0.00043743533722073735,-0.0015128659043722376,0.0007401297949539667,8470,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.004, +0.006] brackets / exceeds zero"
