phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.11665192994405515,-0.27088360283539326,0.017525211703332023,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0009395327421209965,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.0006614345023336909,-0.25671101691583686,0.2536930454349594,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0015168203788128443,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.28735922529558877,-0.5318226617990198,-0.05368604106454563,552,SIGNAL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0012633428533322943,,,552,SIGNAL,
phase1,QB,passing_yards,2024,rmse_delta,0.1977612338177437,-0.12672906971141948,0.4912486921446596,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0020303202955442856,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.06894428045649192,-0.13958403251741772,0.006618474806009532,2223,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0009395327421209965,,,2223,NULL,
phase1,QB,passing_tds,2021,rmse_delta,-2.944209857247415e-06,-1.2362086644279734e-05,5.750281149397017e-06,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,-3.742131826633965e-09,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,4.47566765278129e-05,-0.00030580045681102006,0.00040486910822724875,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,1.1743813491893462e-05,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.00011299356251881498,-0.00027321282122595437,2.974819728331354e-05,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,1.9431159684613064e-06,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,8.899607154932987e-05,-0.0011830068052458731,0.0012451394790438607,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,-3.740323768630649e-05,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,-2.4718473750073855e-06,-6.818817968184954e-06,2.054329214423722e-06,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,-3.742131826633965e-09,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.00025775782371262324,-0.0006124373434576169,0.00010803821762602457,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.00016294798835281288,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.00036212083993347743,-0.0003551460428339675,0.0010037988041303237,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0004482997412327272,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,-3.153118539600541e-07,-0.00016398840915727854,0.00017914720808067105,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,7.068423345413244e-05,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,4.203387728440866e-06,-4.895939424976181e-05,5.768546658923284e-05,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,1.9140965067276916e-05,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-2.4598641014228484e-05,-0.00020394140722296283,0.00014764887759674826,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.00016294798835281288,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.006971978602102524,-0.01200587871297576,0.02510464386948241,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.00031082978585361687,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,0.001806485150389392,-0.004743771407996622,0.007893436137121056,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,4.378182286879362e-05,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.00012530261046350688,-0.0009529140850347062,0.0006953197356171613,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,1.8925984833773057e-06,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,0.0012186797116129355,-0.00046684719092171534,0.002716721818114731,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,4.711578821314788e-06,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.004402497694051988,-0.0037642926959458476,0.012988809059249195,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.00031082978585361687,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,-8.92410707847846e-06,-2.3681655209217833e-05,6.9057838934502555e-06,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,5.869953751735935e-06,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,6.752944694887741e-05,-0.0010066088292412679,0.0012135267254371692,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,-0.002235380807346976,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,4.677588674611988e-05,1.0266481776315117e-05,8.312469623207446e-05,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,3.784411943774657e-05,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,-4.599811225858286e-06,-1.6560542327402615e-05,6.401228211438958e-06,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,3.714695566703341e-07,,,571,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,2.680643523489401e-06,-4.822347528665727e-06,1.0287734850665525e-05,2223,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,5.869953751735935e-06,,,2223,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,-4.695185852554573e-06,-1.3920700689956656e-05,4.2654187742005575e-06,556,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,2.7358454410819633e-06,,,556,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,1.2137434087511334e-05,-1.2120120824388181e-05,3.307207603568119e-05,544,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,1.9066355128494195e-05,,,544,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,1.1971832125090565e-06,-5.494625834503997e-06,7.461271081075915e-06,552,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,1.0341254024215374e-06,,,552,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,-1.7091243853517568e-07,-6.951718505815441e-07,3.4862732531532014e-07,571,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,-1.7903105664629493e-09,,,571,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,8.610879150272588e-07,-3.412186007627216e-06,4.987311969531503e-06,2223,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,2.7358454410819633e-06,,,2223,NULL,
