phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,RB,rushing_yards,2021,rmse_delta,0.0372933054439315,-0.07573023172352009,0.1592590425082151,969,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0033223504461373787,,,969,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.07338730473613708,-0.18705202489041114,0.03885158989131247,913,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.002154288033577312,,,913,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.000501398629179306,-0.10579016740622445,0.11750229355621157,900,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.002426275065872008,,,900,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.1699204787633981,-0.2704566064553788,-0.0646797344345979,941,SIGNAL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.0020714463369648772,,,941,SIGNAL,
phase1,RB,rushing_yards,pooled,rmse_delta,-0.05431823572801875,-0.12496639109023491,0.010062611992165835,3723,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0033223504461373787,,,3723,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,3.102003484789506e-05,-0.0005540024922364827,0.0006151957080659262,969,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.000412801530221496,,,969,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.00038282370701270274,-0.0011083241292840524,0.00037749930925485284,913,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,-3.885082361998471e-05,,,913,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,-0.0005056763343779247,-0.0010598938522187796,0.00010962608113620455,900,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,1.2610079363817306e-05,,,900,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.00027965650784322893,-0.000786995202239979,0.00024387543378313884,941,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.00021298709920913872,,,941,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,-9.855113312973174e-05,-0.00040487863133083224,0.00019272619835773442,3723,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.000412801530221496,,,3723,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.001634345600016296,-0.00333211759284448,1.9878496774616667e-05,969,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0001882719501005159,,,969,NULL,
