phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,TE,receptions,2021,rmse_delta,0.0006289646932389203,-0.0019407354876532167,0.0033197505650627342,635,NULL,
phase1,TE,receptions,2021,r_squared_delta,0.00029942879743483086,,,635,NULL,
phase1,TE,receptions,2022,rmse_delta,-0.00018981453111743818,-0.0015200366178159176,0.0010915754643673668,705,NULL,
phase1,TE,receptions,2022,r_squared_delta,8.31404107178857e-05,,,705,NULL,
phase1,TE,receptions,2023,rmse_delta,0.0008662355753721318,-0.001329097367808052,0.002974816171662331,727,NULL,
phase1,TE,receptions,2023,r_squared_delta,-0.00015789497220086712,,,727,NULL,
phase1,TE,receptions,2024,rmse_delta,0.0001430317785175994,-0.0005860111215028052,0.000913010295715999,694,NULL,
phase1,TE,receptions,2024,r_squared_delta,1.4458035847320083e-05,,,694,NULL,
phase1,TE,receptions,pooled,rmse_delta,0.0006749279616700132,-0.0004469547707800614,0.0019149378133205327,2761,NULL,
phase1,TE,receptions,pooled,r_squared_delta,0.00029942879743483086,,,2761,NULL,
phase1,TE,receiving_yards,2021,rmse_delta,-0.0006933702749769566,-0.0019777054656354488,0.0006938516914220649,635,NULL,
phase1,TE,receiving_yards,2021,r_squared_delta,6.589308247928471e-07,,,635,NULL,
phase1,TE,receiving_yards,2022,rmse_delta,0.0034201966202225265,-0.029862804124168994,0.03628136797982967,705,NULL,
phase1,TE,receiving_yards,2022,r_squared_delta,-0.00015650212639350958,,,705,NULL,
phase1,TE,receiving_yards,2023,rmse_delta,-0.007944517119142347,-0.03401993534604823,0.019779485756264484,727,NULL,
phase1,TE,receiving_yards,2023,r_squared_delta,0.0001626762009270255,,,727,NULL,
phase1,TE,receiving_yards,2024,rmse_delta,0.002047104118709342,-0.03191626991359584,0.03357456158725105,694,NULL,
phase1,TE,receiving_yards,2024,r_squared_delta,0.0002376959212273544,,,694,NULL,
phase1,TE,receiving_yards,pooled,rmse_delta,-0.00047411006456243854,-0.0011234503661468054,0.0001224157226056732,2761,NULL,
phase1,TE,receiving_yards,pooled,r_squared_delta,6.589308247928471e-07,,,2761,NULL,
phase1,TE,receiving_tds,2021,rmse_delta,2.3189920592692204e-05,-4.5351039800173296e-05,8.908671233304741e-05,635,NULL,
phase1,TE,receiving_tds,2021,r_squared_delta,0.00014116054461055239,,,635,NULL,
phase1,TE,receiving_tds,2022,rmse_delta,9.602187009960517e-06,-3.064600402304801e-05,4.7722080836851144e-05,705,NULL,
phase1,TE,receiving_tds,2022,r_squared_delta,6.405026309774797e-05,,,705,NULL,
phase1,TE,receiving_tds,2023,rmse_delta,-1.6191035171086998e-05,-5.837193928417694e-05,2.9186825892234242e-05,727,NULL,
phase1,TE,receiving_tds,2023,r_squared_delta,3.1216735554839836e-05,,,727,NULL,
phase1,TE,receiving_tds,2024,rmse_delta,2.199530724589227e-05,-3.097432671339273e-05,7.859172671368097e-05,694,NULL,
phase1,TE,receiving_tds,2024,r_squared_delta,5.233390508563307e-05,,,694,NULL,
phase1,TE,receiving_tds,pooled,rmse_delta,5.874003190409205e-06,-2.7478516153946197e-05,3.6164495635325474e-05,2761,NULL,
phase1,TE,receiving_tds,pooled,r_squared_delta,0.00014116054461055239,,,2761,NULL,
