phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,WR,receptions,2021,rmse_delta,7.299775702929168e-05,-0.0005916556892355262,0.0007765695492410795,1633,NULL,
phase1,WR,receptions,2021,r_squared_delta,2.9117263057765186e-05,,,1633,NULL,
phase1,WR,receptions,2022,rmse_delta,3.0333890824074672e-05,-0.0002895802660879632,0.00033109760738747607,1616,NULL,
phase1,WR,receptions,2022,r_squared_delta,8.231981334372307e-06,,,1616,NULL,
phase1,WR,receptions,2023,rmse_delta,2.6600606146232053e-05,-0.00015320139444585656,0.00020987294051936218,1616,NULL,
phase1,WR,receptions,2023,r_squared_delta,2.487041931176215e-06,,,1616,NULL,
phase1,WR,receptions,2024,rmse_delta,-1.7307264029042813e-05,-7.013020859624186e-05,3.493876296976061e-05,1563,NULL,
phase1,WR,receptions,2024,r_squared_delta,1.4695452210666815e-07,,,1563,NULL,
phase1,WR,receptions,pooled,rmse_delta,-2.1221248591718478e-05,-0.0003304482367684658,0.00031867347885965457,6428,NULL,
phase1,WR,receptions,pooled,r_squared_delta,2.9117263057765186e-05,,,6428,NULL,
phase1,WR,receiving_yards,2021,rmse_delta,0.009592499033352908,-0.01371608331427634,0.035392846137734676,1633,NULL,
phase1,WR,receiving_yards,2021,r_squared_delta,0.00019840343721777565,,,1633,NULL,
phase1,WR,receiving_yards,2022,rmse_delta,0.001227960584401444,-0.010260697835381371,0.012747080863854964,1616,NULL,
phase1,WR,receiving_yards,2022,r_squared_delta,6.440028596399472e-05,,,1616,NULL,
phase1,WR,receiving_yards,2023,rmse_delta,0.0004557762074810512,-0.00984582825721816,0.010878593409453073,1616,NULL,
phase1,WR,receiving_yards,2023,r_squared_delta,3.721868391792782e-05,,,1616,NULL,
phase1,WR,receiving_yards,2024,rmse_delta,-0.0006245101316579849,-0.009384179798905734,0.00878995785254295,1563,NULL,
phase1,WR,receiving_yards,2024,r_squared_delta,2.6325453009845567e-05,,,1563,NULL,
phase1,WR,receiving_yards,pooled,rmse_delta,0.003241768886958596,-0.008461559434201505,0.015126909158695056,6428,NULL,
phase1,WR,receiving_yards,pooled,r_squared_delta,0.00019840343721777565,,,6428,NULL,
phase1,WR,receiving_tds,2021,rmse_delta,0.00045294915720095474,4.055032649200319e-05,0.0009322490790953013,1633,NULL,
phase1,WR,receiving_tds,2021,r_squared_delta,0.000404144965114539,,,1633,NULL,
phase1,WR,receiving_tds,2022,rmse_delta,6.947982398253227e-06,-6.408841493308614e-05,7.90982825365702e-05,1616,NULL,
phase1,WR,receiving_tds,2022,r_squared_delta,1.5808460224420173e-05,,,1616,NULL,
phase1,WR,receiving_tds,2023,rmse_delta,-1.846143936939937e-05,-6.634504836852268e-05,3.055139824607034e-05,1616,NULL,
phase1,WR,receiving_tds,2023,r_squared_delta,5.481033269472135e-06,,,1616,NULL,
phase1,WR,receiving_tds,2024,rmse_delta,5.017605595292185e-05,-5.645794285518146e-05,0.00015901082198822858,1563,NULL,
phase1,WR,receiving_tds,2024,r_squared_delta,2.476941847162628e-05,,,1563,NULL,
phase1,WR,receiving_tds,pooled,rmse_delta,0.00015586515100030063,-4.779480193723845e-05,0.00035788020858469605,6428,NULL,
phase1,WR,receiving_tds,pooled,r_squared_delta,0.000404144965114539,,,6428,NULL,
phase1,WR,rushing_yards,2021,rmse_delta,0.0002591430932170624,-0.002954913905214451,0.003950882868061533,1633,NULL,
phase1,WR,rushing_yards,2021,r_squared_delta,0.0005024072632237031,,,1633,NULL,
phase1,WR,rushing_yards,2022,rmse_delta,0.002738710229760244,-0.0009740406537045886,0.006456912982522644,1616,NULL,
phase1,WR,rushing_yards,2022,r_squared_delta,0.0002697344448338024,,,1616,NULL,
phase1,WR,rushing_yards,2023,rmse_delta,-0.0028132466765145026,-0.014233856048875237,0.008755444350346557,1616,NULL,
phase1,WR,rushing_yards,2023,r_squared_delta,-0.0007575115467175486,,,1616,NULL,
phase1,WR,rushing_yards,2024,rmse_delta,0.00040586067203340903,-0.0015729170243219738,0.0026204567738818845,1563,NULL,
phase1,WR,rushing_yards,2024,r_squared_delta,9.313330136595521e-05,,,1563,NULL,
phase1,WR,rushing_yards,pooled,rmse_delta,0.0008881209158149161,-0.0012224169644510009,0.002949063884838088,6428,NULL,
phase1,WR,rushing_yards,pooled,r_squared_delta,0.0005024072632237031,,,6428,NULL,
phase1,WR,rushing_tds,2021,rmse_delta,-1.2929256179572413e-08,-2.71419511586532e-07,2.1963473082753363e-07,1633,NULL,
phase1,WR,rushing_tds,2021,r_squared_delta,1.0759178992181262e-08,,,1633,NULL,
phase1,WR,rushing_tds,2022,rmse_delta,-9.328109252526584e-07,-2.9375317884692414e-06,9.262366872913456e-07,1616,NULL,
phase1,WR,rushing_tds,2022,r_squared_delta,2.536961106747171e-07,,,1616,NULL,
phase1,WR,rushing_tds,2023,rmse_delta,3.2607302390130766e-07,-1.1135481057928526e-05,1.0473655148987566e-05,1616,NULL,
phase1,WR,rushing_tds,2023,r_squared_delta,2.476355692615506e-05,,,1616,NULL,
phase1,WR,rushing_tds,2024,rmse_delta,-1.4757853983998759e-06,-9.259914526425424e-06,5.46293009120423e-06,1563,NULL,
phase1,WR,rushing_tds,2024,r_squared_delta,1.685180242416706e-05,,,1563,NULL,
phase1,WR,rushing_tds,pooled,rmse_delta,-7.642856565681644e-08,-2.1295588752689997e-07,5.6711225044150924e-08,6428,NULL,
phase1,WR,rushing_tds,pooled,r_squared_delta,1.0759178992181262e-08,,,6428,NULL,
phase1,WR,fumbles_lost,2021,rmse_delta,-1.2879503094781475e-05,-4.096054075053666e-05,1.5679592526528897e-05,1633,NULL,
phase1,WR,fumbles_lost,2021,r_squared_delta,0.000300883774287386,,,1633,NULL,
phase1,WR,fumbles_lost,2022,rmse_delta,2.965332938922871e-05,1.5234025411876859e-06,5.584252831516492e-05,1616,NULL,
phase1,WR,fumbles_lost,2022,r_squared_delta,0.0003189312050798643,,,1616,NULL,
phase1,WR,fumbles_lost,2023,rmse_delta,-3.2791385331798484e-06,-2.1379179961353995e-05,1.4836373377428986e-05,1616,NULL,
phase1,WR,fumbles_lost,2023,r_squared_delta,9.465079266524068e-05,,,1616,NULL,
phase1,WR,fumbles_lost,2024,rmse_delta,6.407664286472992e-06,-1.6923257697928908e-05,2.862523829221322e-05,1563,NULL,
phase1,WR,fumbles_lost,2024,r_squared_delta,9.009688267780369e-05,,,1563,NULL,
phase1,WR,fumbles_lost,pooled,rmse_delta,4.814904311450929e-06,-7.855398850629275e-06,1.736889314989387e-05,6428,NULL,
phase1,WR,fumbles_lost,pooled,r_squared_delta,0.000300883774287386,,,6428,NULL,
