phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,RB,rushing_yards,2021,rmse_delta,0.09210112552936778,-0.017380089235110672,0.2109878571275204,933,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0028022532107309095,,,933,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.10831523755653194,-0.2390569458592883,0.0036495039704474374,635,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0014176621970484193,,,635,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,-0.027141027782803917,-0.12727373410524737,0.07592171197684833,796,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0019469163817796842,,,796,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,0.10076186161804657,0.0051031691100550175,0.18688866137017596,927,REGRESSION,
phase1,RB,rushing_yards,2024,r_squared_delta,0.0018306639253772294,,,927,REGRESSION,
phase1,RB,rushing_yards,pooled,rmse_delta,0.031911750455005716,-0.02692989388370215,0.09389169224199279,3291,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0028022532107309095,,,3291,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,0.0008099782780369713,-0.00042720841760949814,0.0020382653102975403,933,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.0012539307332426475,,,933,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.00024176312171819703,-0.0010885478560748647,0.0005548124656805345,635,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.0004754200317405033,,,635,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,0.0007703767484774637,-0.00018120490564718647,0.0017668075377617136,796,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,0.0005394309668139696,,,796,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.0003379702037957788,-0.0008438652831498055,0.0001884682587401265,927,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.00019959082810727669,,,927,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,0.00041877607416440643,-0.0002308543487794773,0.0010050875868306856,3291,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.0012539307332426475,,,3291,NULL,
phase1,RB,receptions,2021,rmse_delta,-6.737805228396176e-05,-0.003914433063420608,0.00428728159931534,933,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0013582357753966212,,,933,NULL,
phase1,RB,receptions,2022,rmse_delta,0.004880080085653438,-0.000518673235191941,0.009738203871579592,635,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0010004668101959435,,,635,NULL,
phase1,RB,receptions,2023,rmse_delta,-0.002313418704490422,-0.00481402996118131,0.0001595995130845287,796,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0003653679671821175,,,796,NULL,
phase1,RB,receptions,2024,rmse_delta,-0.0007830633633594264,-0.003687603917771959,0.0022422768882597362,927,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.0006939289939976723,,,927,NULL,
phase1,RB,receptions,pooled,rmse_delta,-0.00031483023127565346,-0.0026096968002974562,0.0019846648450943744,3291,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.0013582357753966212,,,3291,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,0.016769904200227614,-0.03631634465426936,0.06892267458232464,933,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,0.002385442746279831,,,933,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,0.031160938977581765,-0.024046729371637855,0.08775238897781416,635,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.0013052291349715528,,,635,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,-0.04230930661423571,-0.07513099078202794,-0.009255241920806873,796,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0007608437309249982,,,796,NULL,
phase1,RB,receiving_yards,2024,rmse_delta,0.03267057497777337,-0.010886558265368685,0.07899679021714656,927,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.0013684244978037219,,,927,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,0.009878036582922078,-0.01924970483524042,0.03918560803549312,3291,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,0.002385442746279831,,,3291,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,-1.1497207314026259e-05,-9.685167947964257e-05,8.05712667144395e-05,933,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,0.0002983208180098451,,,933,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,-6.823819608314796e-06,-0.001852611065696641,0.0017177128156982769,635,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,-0.007298769848383069,,,635,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,-5.264448806008293e-05,-0.00030033778338887094,0.00020160522982380343,796,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,0.00023846697533214112,,,796,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,0.0001274346443214669,-0.00011401424655126669,0.0003855098805900639,927,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,0.0003278652856251174,,,927,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,-9.275352856996655e-06,-6.165586896650366e-05,4.476586871877129e-05,3291,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,0.0002983208180098451,,,3291,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,2.520275834000385e-05,-0.0002683007130745062,0.0003340460670510574,933,NULL,
phase1,RB,fumbles_lost,2021,r_squared_delta,0.0008720811663037731,,,933,NULL,
phase1,RB,fumbles_lost,2022,rmse_delta,0.00028802167985819693,-0.00012449747484361007,0.0006603409757507337,635,NULL,
phase1,RB,fumbles_lost,2022,r_squared_delta,0.0006158777713173302,,,635,NULL,
phase1,RB,fumbles_lost,2023,rmse_delta,6.580188308005774e-05,-9.879515617434164e-05,0.0002370220871461444,796,NULL,
phase1,RB,fumbles_lost,2023,r_squared_delta,0.000212177401527347,,,796,NULL,
phase1,RB,fumbles_lost,2024,rmse_delta,5.1570316244781145e-05,-9.213834253662747e-05,0.0001956720651922289,927,NULL,
phase1,RB,fumbles_lost,2024,r_squared_delta,0.00011905119568544897,,,927,NULL,
phase1,RB,fumbles_lost,pooled,rmse_delta,0.0001376018544084756,-3.0093953549521767e-05,0.00031293133524225785,3291,NULL,
phase1,RB,fumbles_lost,pooled,r_squared_delta,0.0008720811663037731,,,3291,NULL,
