phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,RB,rushing_yards,2021,rmse_delta,0.06726877835959044,-0.015875211370388605,0.15617410851863545,933,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0008356589742747333,,,933,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,0.0029625293937201036,-0.06356967936869129,0.06561128177486193,635,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0004883138690774391,,,635,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.04102137343790346,-0.02375015833375933,0.10237182248798468,796,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0005152280652999108,,,796,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.015278618946183542,-0.05870187224876835,0.030496694127458566,927,NULL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.00038582584213386895,,,927,NULL,
phase1,RB,rushing_yards,pooled,rmse_delta,0.045697650324250105,0.0016230834578995444,0.08807997464207121,3291,NULL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0008356589742747333,,,3291,NULL,
phase1,RB,rushing_tds,2021,rmse_delta,-0.0002546375684809865,-0.0013667670828577006,0.0009283481744208283,933,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.00045942750731786663,,,933,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.00017922317232399454,-0.0016338044129806217,0.0015152548075295755,635,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.0007870631224006219,,,635,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,-0.00010652168932290262,-0.0016696264627506757,0.0013082473601648045,796,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,0.000758366648247244,,,796,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.000947335636278912,-0.0023111682778667207,0.0006560313456794253,927,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.001063427868421285,,,927,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,-0.0002685789577220321,-0.0008512121830619695,0.0003216489980272574,3291,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.00045942750731786663,,,3291,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.0016851886086464152,-0.006153129310730065,0.0030039037546977895,933,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0008720329973798124,,,933,NULL,
phase1,RB,receptions,2022,rmse_delta,0.002521504731768154,-0.0034781084500770778,0.00857327852772073,635,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0011838494520226561,,,635,NULL,
phase1,RB,receptions,2023,rmse_delta,-0.0030026308957975534,-0.00719033847872948,0.001333692592621798,796,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.0008116862643317013,,,796,NULL,
phase1,RB,receptions,2024,rmse_delta,0.004639034181558088,0.00030973074985008467,0.00879060021386952,927,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.0011510931143156045,,,927,NULL,
phase1,RB,receptions,pooled,rmse_delta,0.0009808681522134322,-0.0015176073806927482,0.0035299679005162173,3291,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.0008720329973798124,,,3291,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,-0.030276531498024895,-0.08395682863776477,0.025456048097865017,933,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,0.0018612073205318547,,,933,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,0.06596633698478627,-0.009551477530567797,0.13999348518079557,635,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.0018412247473846843,,,635,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,-0.009751497116905483,-0.05365480618092198,0.03597664614625406,796,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0010419036698299244,,,796,NULL,
phase1,RB,receiving_yards,2024,rmse_delta,0.015755780594151503,-0.02009240608904399,0.05200310420171132,927,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.0010822038940310197,,,927,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,0.022449872091645062,-0.007702145489498946,0.053404616201857186,3291,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,0.0018612073205318547,,,3291,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,-1.382552504758383e-06,-0.0006158524262024582,0.0006209441242786827,933,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,0.001322903349811999,,,933,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,0.0002034901213052165,-0.0017044207943683754,0.002001202648251658,635,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,-0.0060651704288989805,,,635,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,0.0005736479347651646,4.082012502241856e-05,0.0010956512702412532,796,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,0.0008236706874213962,,,796,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,8.444721669381705e-05,-0.00016967058804933237,0.0003155937572699059,927,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,0.00025951549590230716,,,927,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,0.0001985365948823925,-0.0001314030941071423,0.0005299016908749662,3291,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,0.001322903349811999,,,3291,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,-6.854996032146232e-05,-0.0006252559307779535,0.00046963461018542505,933,NULL,
