phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.2416608350745264,-0.6024908564634245,0.1133168809961084,493,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,-0.0011540977053198231,,,493,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.13866722305411372,-0.44310692511051075,0.16178489292606987,499,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,-7.252348607700299e-05,,,499,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.15743162367124341,-0.08935688711749208,0.4079640228621556,489,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,-9.290996079436287e-05,,,489,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.026009535947792983,-0.1521396602634507,0.20089903002771825,529,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,-1.4349251440060051e-05,,,529,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.08427484370027116,-0.2761806851741038,0.10725399719483088,2010,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,-0.0011540977053198231,,,2010,NULL,
phase1,QB,passing_tds,2021,rmse_delta,-0.002099152643697977,-0.008199364102704026,0.004156215425187675,493,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.0037398052834852757,,,493,NULL,
phase1,QB,passing_tds,2022,rmse_delta,-0.00035098004331279853,-0.006828016557673192,0.006661482321450329,499,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0021729562665222524,,,499,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.007126902345808039,-0.014097905265406756,-0.0009206435527026933,489,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0021570181189386473,,,489,NULL,
phase1,QB,passing_tds,2024,rmse_delta,0.006237734111742332,0.0006027601867679034,0.012077252584109983,529,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.003674584934426406,,,529,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,4.047070870716318e-05,-0.003023842962709644,0.0029821955158870926,2010,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.0037398052834852757,,,2010,NULL,
phase1,QB,interceptions,2021,rmse_delta,0.0013566869190859698,-0.0022045551757930576,0.004870151714477391,493,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0022867916583675374,,,493,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.0007660191479519352,-0.0019197826605365537,0.0037140864830250996,499,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0018976849937050178,,,499,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.0007203474705637092,-0.0006085552775027924,0.002022686843712887,489,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.0005762829232871525,,,489,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.00022226591501295356,-0.0009699119026451042,0.0005369560079635738,529,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.0003943300212243539,,,529,NULL,
phase1,QB,interceptions,pooled,rmse_delta,0.0016822410095468365,4.356872004604444e-05,0.0032188778621750676,2010,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.0022867916583675374,,,2010,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,-0.07329273793675384,-0.1980318239361635,0.0655998663197768,493,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.006972259608661657,,,493,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,0.023724663408508206,-0.10657731916444568,0.14936263971041797,499,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.006119816814414314,,,499,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.10394029357235013,-0.22724272158553854,0.031038183550520543,489,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0028407307884416033,,,489,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.1269536662868873,-0.24924312563852186,-0.01704110486898536,529,SIGNAL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.004562924502239163,,,529,SIGNAL,
phase1,QB,rushing_yards,pooled,rmse_delta,-0.04504451503011708,-0.1142255957363961,0.024265554931735867,2010,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.006972259608661657,,,2010,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,-0.00028445910693836174,-0.0013187736766642698,0.0007278628790707133,493,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.0005080137005853969,,,493,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,0.0005565093445122349,-0.0008180633867761022,0.0018907120020531464,499,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.0011601575194083447,,,499,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,0.00020323755018769596,-0.0006248182054554421,0.0010461545842275766,489,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.0005868610020873799,,,489,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,-4.672630767799113e-05,-0.000543994073439548,0.00041339226440835063,529,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.00044670008305636166,,,529,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,7.37376646413046e-05,-0.00035852597418949974,0.0005021755895378368,2010,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.0005080137005853969,,,2010,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,0.004545699810480086,0.0008456556113884434,0.008173812437987812,493,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.01128900100246033,,,493,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,0.0008015680172509532,-0.001576441799740949,0.0037604965721375347,499,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.00415750367175749,,,499,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,-3.381673592761647e-05,-0.0015149584388798652,0.0016422398927103327,489,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.002118474354180555,,,489,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,0.00011540219795369566,-0.0012030014879501213,0.0014249111550400874,529,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,0.0017201416497419908,,,529,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,0.002087070795727397,0.00024017375566635362,0.003931584554780657,2010,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,0.01128900100246033,,,2010,NULL,
phase1,RB,rushing_yards,2021,rmse_delta,0.12260627713584071,-0.09426235766228963,0.34701217427070596,892,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0050971615835930795,,,892,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.3624849916730106,-0.5860209109853842,-0.12208212584980042,840,SIGNAL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0036532913239725184,,,840,SIGNAL,
phase1,RB,rushing_yards,2023,rmse_delta,-0.11713580667846912,-0.312121454105278,0.08993914930285087,864,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.0068619125994018315,,,864,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.223669755640735,-0.42044956101621145,-0.03736212364434065,897,SIGNAL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.00639298343647432,,,897,SIGNAL,
phase1,RB,rushing_yards,pooled,rmse_delta,-0.13232242908519964,-0.23758400264556742,-0.015351826639176424,3493,SIGNAL,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0050971615835930795,,,3493,SIGNAL,
phase1,RB,rushing_tds,2021,rmse_delta,-0.0008117948319847912,-0.0038341880447622045,0.001900328954572635,892,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.0021919374716712348,,,892,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-0.0011714004389986599,-0.003980021931110076,0.0016070522848997124,840,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.003859530090548624,,,840,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,-0.0006896491634583723,-0.003549175654223044,0.001938163773086437,864,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,0.004141017459443397,,,864,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.0021603458485794924,-0.004495451817325688,0.00031417644828177205,897,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.00349568038356296,,,897,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,-0.0019688900219160255,-0.0033257594260713507,-0.000560110785166415,3493,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.0021919374716712348,,,3493,NULL,
phase1,RB,receptions,2021,rmse_delta,0.0031502902122308996,-0.004684015473849429,0.011238556299660118,892,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0028626498622122964,,,892,NULL,
phase1,RB,receptions,2022,rmse_delta,0.0027615104200400253,-0.003026636652775494,0.008348722642453224,840,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.0016903764998358328,,,840,NULL,
phase1,RB,receptions,2023,rmse_delta,-0.001473520806087425,-0.00582527763344406,0.0022680324694752335,864,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.001088506573582948,,,864,NULL,
phase1,RB,receptions,2024,rmse_delta,-0.0020208851483021206,-0.006330415706389703,0.0021989296843905157,897,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.001211311600478493,,,897,NULL,
phase1,RB,receptions,pooled,rmse_delta,0.0007459167266381517,-0.003096622175721192,0.004379860994645762,3493,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.0028626498622122964,,,3493,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,0.02495745441092012,-0.03858996577053002,0.09231502750673214,892,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,0.0029853698678734553,,,892,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,0.020554188054063616,-0.033142416132997975,0.06886668850675316,840,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.001656212597789919,,,840,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,-0.038961852783948814,-0.0727913623957626,-0.0049561953512701614,864,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0010576157524867513,,,864,NULL,
phase1,RB,receiving_yards,2024,rmse_delta,0.046859231673696655,0.0018523278890386417,0.09587128055600463,897,NULL,
phase1,RB,receiving_yards,2024,r_squared_delta,0.001627971757856228,,,897,NULL,
phase1,RB,receiving_yards,pooled,rmse_delta,0.02072600259359092,-0.014122716048860973,0.054004792206679655,3493,NULL,
phase1,RB,receiving_yards,pooled,r_squared_delta,0.0029853698678734553,,,3493,NULL,
phase1,RB,receiving_tds,2021,rmse_delta,0.0007519521261413198,8.973180795796981e-05,0.001362471456584442,892,NULL,
phase1,RB,receiving_tds,2021,r_squared_delta,0.001238070049137785,,,892,NULL,
phase1,RB,receiving_tds,2022,rmse_delta,0.00018700367613516677,4.4732670140741616e-05,0.00031926684896300684,840,NULL,
phase1,RB,receiving_tds,2022,r_squared_delta,5.596153497477996e-05,,,840,NULL,
phase1,RB,receiving_tds,2023,rmse_delta,1.0643970877577402e-05,-0.00030512332778738634,0.0003070094567706099,864,NULL,
phase1,RB,receiving_tds,2023,r_squared_delta,0.0003844381594568791,,,864,NULL,
phase1,RB,receiving_tds,2024,rmse_delta,-0.0005816378659831978,-0.0017353275746685292,0.0006601202107764822,897,NULL,
phase1,RB,receiving_tds,2024,r_squared_delta,-0.0036456806873415015,,,897,NULL,
phase1,RB,receiving_tds,pooled,rmse_delta,0.00017269848919249098,-0.00010984007315698873,0.00045520091266167817,3493,NULL,
phase1,RB,receiving_tds,pooled,r_squared_delta,0.001238070049137785,,,3493,NULL,
phase1,RB,fumbles_lost,2021,rmse_delta,-9.14580946720367e-06,-0.00042369363213071024,0.0004326146627268719,892,NULL,
phase1,RB,fumbles_lost,2021,r_squared_delta,0.0013801217025242174,,,892,NULL,
phase1,RB,fumbles_lost,2022,rmse_delta,0.000681373548955283,0.00015985488143232875,0.001186695614315394,840,NULL,
phase1,RB,fumbles_lost,2022,r_squared_delta,0.0010586898184208327,,,840,NULL,
phase1,RB,fumbles_lost,2023,rmse_delta,2.622122030587759e-05,-0.00024983356725473416,0.000281429745639361,864,NULL,
phase1,RB,fumbles_lost,2023,r_squared_delta,0.0004565030981334983,,,864,NULL,
phase1,RB,fumbles_lost,2024,rmse_delta,-2.407299206586e-06,-0.00023266159413781116,0.0002496634790777052,897,NULL,
phase1,RB,fumbles_lost,2024,r_squared_delta,0.0003494001038526484,,,897,NULL,
