phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.0671792929585564,-0.17539610786221402,0.03079700443909628,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.00013888371332670957,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.28641017864178764,-0.5366767113539787,-0.026068483529515896,544,SIGNAL,
phase1,QB,passing_yards,2022,r_squared_delta,-0.0003776201456384687,,,544,SIGNAL,
phase1,QB,passing_yards,2023,rmse_delta,-0.2526919929351408,-0.623716214486306,0.1803741054765453,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0015767565062472233,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,-0.16659091926851488,-0.5159613114996958,0.17669297922607824,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0019756979932350482,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.10298134817209359,-0.15405134900026524,-0.04863909986659538,2223,SIGNAL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.00013888371332670957,,,2223,SIGNAL,
phase1,QB,passing_tds,2021,rmse_delta,-0.0017174962031996088,-0.004757036740750819,0.0012945773868169297,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.001483561322879745,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,-0.0015205593909988213,-0.004714894770005274,0.0018875940589053587,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0012697456944423813,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.002321929371839726,-0.005121647723708461,0.0007590875078128274,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.001466450100257921,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0007496258588239879,-0.0033872846722651727,0.0020194698352480997,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.001671728874814482,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,-0.0017818854650015759,-0.003072909517646505,-0.00046812701026521244,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.001483561322879745,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,-0.00044980884829182166,-0.0026069675537294472,0.0016589406635009762,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.0021142484134945017,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,0.0011600942962061156,-0.0010540903891284148,0.00313846946394464,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.002021533593254188,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,-0.000537481571787124,-0.0015445096034722133,0.0004183941886847864,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.0006667799023150067,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,0.0011784597416074627,-0.00036489899457581017,0.0026824956491661553,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.0021429157099961404,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,0.000313219419497357,-0.000721173961095703,0.0013537958309480925,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.0021142484134945017,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.02546928770057022,-0.020230082861130195,0.07521179544365264,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.0005653152359070823,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.0015053195451706358,-0.0063057070997659895,0.003705287604302487,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,8.883670061909932e-06,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,-0.0017684605766490336,-0.012917176097597238,0.00999949304557041,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,5.4717077533905645e-05,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.005026445776262989,-0.012260631378288523,0.002037098127061564,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,6.880055548985631e-05,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,-0.0004062090465737356,-0.017598081336272654,0.0194522642202239,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.0005653152359070823,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,3.100813824041815e-07,-2.5015397662306316e-05,2.752689324524021e-05,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,1.675915272669748e-06,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,8.825067252798968e-05,-0.0009632092549059348,0.0012547294400576127,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,-0.0022856171269414194,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-4.3391377945734e-06,-3.891964114027674e-05,3.338441305021643e-05,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,2.2121261598506692e-05,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,-1.9860353788037077e-05,-9.130655869524634e-05,5.6835482323945554e-05,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,5.294913806352941e-05,,,571,NULL,
