phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,0.40134833328760067,-0.09483573987739503,0.8763019413635887,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.002896756824064206,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.22860138392353235,-0.0770092543692332,0.519867039151433,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.00030130891347246447,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.04892441214579435,-0.09896092524351126,0.20263121631535091,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0003752818057967122,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.08437531814767851,-0.10201034985747448,0.2632273271006165,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.00045552531055526035,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.336789357160427,0.10816705019443873,0.5515693781135602,2223,REGRESSION,
phase1,QB,passing_yards,pooled,r_squared_delta,0.002896756824064206,,,2223,REGRESSION,
phase1,QB,passing_tds,2021,rmse_delta,0.007250876830670716,0.0014271409481983746,0.01318715209692946,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.002870913426985977,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.0028881341150766016,-5.235858384032286e-05,0.005657986723510764,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0008312844839378775,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0008619647092908966,-0.0009240527875281623,0.002707229059191529,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0003726558074074182,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0008854881412776461,-0.002350655882919417,0.000452303092882389,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.00030355756535427325,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.006704667584927826,0.003923305356275103,0.009530920876244063,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.002870913426985977,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,0.0034321989322140256,-0.0021410615031629662,0.008945921119464646,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.001442310481695519,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,-0.0006549243230821178,-0.004463027639563064,0.003398569701466586,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0025944157159089043,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.00024542570374452843,-0.0030280889678021756,0.003328970518275784,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.0026975780497490165,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,0.0006539935044551637,-0.0019343316229208235,0.003233825156799352,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.002179454419704352,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,0.0004917739252617848,-0.0022665856319044136,0.0032597987487578937,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.001442310481695519,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.07909382950864341,-0.02008795197986219,0.17157184542534681,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.002204351168501817,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.02608625706098522,-0.08712719232343931,0.041385911874095516,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.0009881068329129494,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,0.0957923116640167,0.023791706947888527,0.17210320513593752,552,REGRESSION,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0016561413136735315,,,552,REGRESSION,
phase1,QB,rushing_yards,2024,rmse_delta,0.0035178956423074226,-0.039140609196106936,0.04789814565048615,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0006525210841663576,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.026845434436875593,-0.016202377463146077,0.069975547423312,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.002204351168501817,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.000543490346511577,-0.003450747000222959,0.003968105468652911,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.006594076259765713,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,-0.0006389027878536679,-0.00290208855784362,0.0015591554932216512,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.0014589387960587397,,,544,NULL,
