phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,0.38767786436896756,-0.018096975610832896,0.8265335330342684,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0019668467383952004,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.012080187490369099,-0.2198982093866501,0.1669983799681926,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0005787269882525647,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.2690704314092187,-0.03374254429811252,0.5345318797394029,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0008928792969907784,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.08343721553104899,-0.08402341564007258,0.24375436625783092,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0004094125233019552,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.22315814403162904,0.03686107406686859,0.4034029694487167,2223,REGRESSION,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0019668467383952004,,,2223,REGRESSION,
phase1,QB,passing_tds,2021,rmse_delta,-0.001031532647133293,-0.010675259656080138,0.009850535985308254,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.0069783169861378225,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,-0.00832694906226017,-0.016001476784922915,-0.0004875092013699796,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.006985216472278122,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0028914335524381496,-0.006385749852455336,0.011988333721153726,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.007670256377110607,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.00142920276809555,-0.008589177355157535,0.005726397892362022,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.006366738344762535,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0015711812644947365,-0.0028461498646278225,0.006093456642887434,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.0069783169861378225,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,0.0014589142867391658,-0.007722879631070931,0.010635894374672217,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.005843035820847331,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,-0.006374535776568768,-0.01352059238170282,0.0008748159799431426,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.007278039158525207,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,-0.0016993084387993962,-0.008362910197300701,0.005024571144663369,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.008018342390841093,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.0016348097341585266,-0.007453532571156515,0.003616788630260178,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.008883694070934145,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-0.0024519141851298,-0.00677657263961638,0.001907903054557769,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.005843035820847331,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.07169072736806825,-0.022219593270544014,0.16192798398497626,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.0019707947828417893,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.0031957443388854756,-0.061802673244743825,0.0574035604038907,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.0009014738992557669,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,0.03273640234839448,-0.021877114706767828,0.0934362750375531,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0008184987489266993,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.009130227312102335,-0.047635924035241035,0.028454031797261765,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0005254297665401308,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.029262291266373808,-0.013728070832042505,0.06791214288469119,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.0019707947828417893,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.000995893015593552,-0.0030633492658267538,0.004591287078283728,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.007217769021817921,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,-0.00042792937382690743,-0.0024993412708672405,0.0014807796431568782,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.003967904022541213,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.0020512807583035753,-0.0038357970170983984,0.00011926240151893159,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.0037273809927029777,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.0031580545243421465,0.000984672483254219,0.005062006169294724,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.005086829502773282,,,571,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,0.0005299449307743509,-0.0011301602375722295,0.001958532717537959,2223,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.007217769021817921,,,2223,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,-0.00017894248621841413,-0.002463921175574378,0.002209841019065323,556,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.0054344375232570075,,,556,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,-0.001257807304079095,-0.0035063068730349146,0.0013068180044965008,544,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.004684619950983904,,,544,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,0.0004649843678001808,-0.0017851650238188646,0.0025581160716686186,552,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.005036766012087579,,,552,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,-0.00045839245007495144,-0.002362709265373049,0.001449893174228582,571,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,0.004057527221012713,,,571,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,-0.0003967183217026271,-0.00152029399553687,0.0007784110847973867,2223,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,0.0054344375232570075,,,2223,NULL,
phase1,RB,rushing_yards,2021,rmse_delta,0.058792322964364985,-0.052446390844017275,0.17209833045587838,933,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0015199793989001398,,,933,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,0.02198944353571619,-0.06629606301847621,0.11250586113069062,635,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0011194297492840288,,,635,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.08844755768284429,-0.0012504591033772874,0.1741344307022591,796,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.000862230260237351,,,796,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.06398665409660964,-0.10785520948077973,-0.016700498238181722,927,SIGNAL,
