phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,0.4013483349416447,-0.09483573702448957,0.8763019434182645,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.002896756824064206,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.2286013838218679,-0.0770092600803757,0.5198670464432421,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0003013089134711322,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.04892441477356613,-0.09896092622167033,0.20263121574072684,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0003752818057971563,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.08437531984992575,-0.10201034427519637,0.26322732363433715,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0004555253105545942,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.33678935815953537,0.10816705044673186,0.5515693788171677,2223,REGRESSION,
phase1,QB,passing_yards,pooled,r_squared_delta,0.002896756824064206,,,2223,REGRESSION,
phase1,QB,passing_tds,2021,rmse_delta,0.007250876860957156,0.0014271409694763483,0.01318715211587046,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.002870913426985977,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,0.002888133738078613,-5.2359053547287845e-05,0.0056579864895217324,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0008312844839374334,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0008619647232592786,-0.000924052761070665,0.0027072290666512898,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.0003726558074073072,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0008854881575424134,-0.002350656043699767,0.0004523031384295439,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0003035575653544953,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.006704667595672786,0.003923305362658081,0.009530920889229109,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.002870913426985977,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,0.0034321989313230716,-0.0021410615031894702,0.008945921117875896,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.001442310481695519,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,-0.000654924322247119,-0.004463027637915925,0.00339856970149302,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.0025944157159089043,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,0.00024542570286090193,-0.0030280889690596975,0.0033289705166801185,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.0026975780497490165,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,0.0006539935043283762,-0.0019343316230374275,0.0032338251565034166,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.002179454419704019,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,0.000491773924292449,-0.0022665856327489216,0.003259798747433184,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.001442310481695519,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.07909382944670895,-0.02008795200615902,0.1715718454601809,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.002204351168501484,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.026086256997153612,-0.08712719224877237,0.04138591198284595,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.000988106832910618,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,0.09579231166838298,0.023791706944652713,0.17210320515828217,552,REGRESSION,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0016561413136728653,,,552,REGRESSION,
phase1,QB,rushing_yards,2024,rmse_delta,0.0035178957766852648,-0.0391406091022406,0.04789814578723401,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0006525210841638041,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.0268454344614959,-0.01620237744857631,0.0699755474908005,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.002204351168501484,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.0005434903464234253,-0.0034507470003186267,0.003968105468585906,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.006594076259765824,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,-0.0006389027878309084,-0.002902088557822505,0.00155915549323622,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.0014589387960582956,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.0017944068080925635,-0.00360834281381914,0.00030864136278510856,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.003788949982078682,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.0032822991629063436,0.0010201891299346179,0.005414428877174684,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.005115653089437844,,,571,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,0.0004597248125113862,-0.0010331191775038982,0.0017929451500411846,2223,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.006594076259765824,,,2223,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,0.0008838803870160894,-0.00099908083811176,0.0028816921662122978,556,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.003218925449895549,,,556,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,-6.628245446899106e-05,-0.0014433541832723524,0.0014152744005291994,544,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.002145697649941436,,,544,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,0.00014135328601289077,-0.001069465877824971,0.001361250926079932,552,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.0017582715607847854,,,552,NULL,
phase1,QB,fumbles_lost,2024,rmse_delta,-1.5066998559742917e-05,-0.0012771958757049646,0.0012283459295826702,571,NULL,
phase1,QB,fumbles_lost,2024,r_squared_delta,0.0015836060804296226,,,571,NULL,
phase1,QB,fumbles_lost,pooled,rmse_delta,0.00012298133243748843,-0.00076197542258159,0.0010139510799840304,2223,NULL,
phase1,QB,fumbles_lost,pooled,r_squared_delta,0.003218925449895549,,,2223,NULL,
phase1,RB,rushing_yards,2021,rmse_delta,0.08374905572580715,-0.016338090672342973,0.18930607980744643,933,NULL,
phase1,RB,rushing_yards,2021,r_squared_delta,0.0012453584732764478,,,933,NULL,
phase1,RB,rushing_yards,2022,rmse_delta,-0.009601084675242788,-0.08039128454736862,0.0583447241738901,635,NULL,
phase1,RB,rushing_yards,2022,r_squared_delta,0.0005896745728060093,,,635,NULL,
phase1,RB,rushing_yards,2023,rmse_delta,0.03781193214130596,-0.030570947521731194,0.10374233987492842,796,NULL,
phase1,RB,rushing_yards,2023,r_squared_delta,0.000635957590743419,,,796,NULL,
phase1,RB,rushing_yards,2024,rmse_delta,-0.026435188183846492,-0.07283456354385934,0.019725425747880096,927,NULL,
phase1,RB,rushing_yards,2024,r_squared_delta,0.000575731557553194,,,927,NULL,
phase1,RB,rushing_yards,pooled,rmse_delta,0.052111905885382726,0.0008547422000568803,0.10250699792197286,3291,REGRESSION,
phase1,RB,rushing_yards,pooled,r_squared_delta,0.0012453584732764478,,,3291,REGRESSION,
phase1,RB,rushing_tds,2021,rmse_delta,-9.400053960662014e-06,-0.0010159751186463977,0.0010507251979719522,933,NULL,
phase1,RB,rushing_tds,2021,r_squared_delta,0.0003651439007966717,,,933,NULL,
phase1,RB,rushing_tds,2022,rmse_delta,-8.694709328971317e-05,-0.0012292940720693478,0.001140279754149451,635,NULL,
phase1,RB,rushing_tds,2022,r_squared_delta,0.0004377982740786379,,,635,NULL,
phase1,RB,rushing_tds,2023,rmse_delta,3.82197048067745e-05,-0.0012460182291959138,0.0011901241464983975,796,NULL,
phase1,RB,rushing_tds,2023,r_squared_delta,0.00044114007831796975,,,796,NULL,
phase1,RB,rushing_tds,2024,rmse_delta,-0.001087105208290473,-0.0024667743474088956,0.0005488619476156333,927,NULL,
phase1,RB,rushing_tds,2024,r_squared_delta,0.00018364724724095893,,,927,NULL,
phase1,RB,rushing_tds,pooled,rmse_delta,2.2613821062278383e-05,-0.0005337455873061364,0.000559975718765715,3291,NULL,
phase1,RB,rushing_tds,pooled,r_squared_delta,0.0003651439007966717,,,3291,NULL,
phase1,RB,receptions,2021,rmse_delta,-0.0015595816197946366,-0.006036379909471945,0.0028463210135214576,933,NULL,
phase1,RB,receptions,2021,r_squared_delta,0.0007838307759824303,,,933,NULL,
phase1,RB,receptions,2022,rmse_delta,0.002623262712795782,-0.00318192996558167,0.008476173193397643,635,NULL,
phase1,RB,receptions,2022,r_squared_delta,0.001117275420669972,,,635,NULL,
phase1,RB,receptions,2023,rmse_delta,-0.0031738555635838495,-0.007434331916141823,0.0013117932025971653,796,NULL,
phase1,RB,receptions,2023,r_squared_delta,0.000762879431870811,,,796,NULL,
phase1,RB,receptions,2024,rmse_delta,0.004624767982071676,0.0002627624375667492,0.008899522722489398,927,NULL,
phase1,RB,receptions,2024,r_squared_delta,0.001110886676719769,,,927,NULL,
phase1,RB,receptions,pooled,rmse_delta,0.0008893475997857614,-0.0016145040297608603,0.003395559449138007,3291,NULL,
phase1,RB,receptions,pooled,r_squared_delta,0.0007838307759824303,,,3291,NULL,
phase1,RB,receiving_yards,2021,rmse_delta,-0.039403571645571844,-0.09569913205612153,0.02033444793331086,933,NULL,
phase1,RB,receiving_yards,2021,r_squared_delta,0.001773341070930301,,,933,NULL,
phase1,RB,receiving_yards,2022,rmse_delta,0.07304406429443233,-0.0030312010143042287,0.15035476793790803,635,NULL,
phase1,RB,receiving_yards,2022,r_squared_delta,0.002054104850294114,,,635,NULL,
phase1,RB,receiving_yards,2023,rmse_delta,-0.009297706196353062,-0.059779713180647585,0.04351310511658672,796,NULL,
phase1,RB,receiving_yards,2023,r_squared_delta,0.0011372649745562402,,,796,NULL,
