phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,0.38767786255691306,-0.018096973600435714,0.8265335303035354,556,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.0019668467383956445,,,556,NULL,
phase1,QB,passing_yards,2022,rmse_delta,-0.012080187457712555,-0.2198982067944364,0.16699837868309012,544,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.0005787269882518986,,,544,NULL,
phase1,QB,passing_yards,2023,rmse_delta,0.2690704217217501,-0.03374254349033166,0.5345318672761908,552,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.0008928792969898902,,,552,NULL,
phase1,QB,passing_yards,2024,rmse_delta,0.08343721459758058,-0.08402341513736573,0.24375436426319821,571,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.0004094125233022883,,,571,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,0.2231581427062821,0.036861072185947565,0.40340296791550045,2223,REGRESSION,
phase1,QB,passing_yards,pooled,r_squared_delta,0.0019668467383956445,,,2223,REGRESSION,
phase1,QB,passing_tds,2021,rmse_delta,-0.001031532614078623,-0.010675259612070175,0.009850536043259991,556,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.0069783169861376,,,556,NULL,
phase1,QB,passing_tds,2022,rmse_delta,-0.00832694923364663,-0.016001476875986943,-0.00048750935730856664,544,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0069852164722779,,,544,NULL,
phase1,QB,passing_tds,2023,rmse_delta,0.0028914330450018344,-0.0063857498292958555,0.0119883327550511,552,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.007670256377110718,,,552,NULL,
phase1,QB,passing_tds,2024,rmse_delta,-0.0014292028572284732,-0.00858917708143112,0.005726397086768553,571,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.006366738344762979,,,571,NULL,
phase1,QB,passing_tds,pooled,rmse_delta,0.0015711812704040096,-0.0028461498497576896,0.006093456646722644,2223,NULL,
phase1,QB,passing_tds,pooled,r_squared_delta,0.0069783169861376,,,2223,NULL,
phase1,QB,interceptions,2021,rmse_delta,0.0014589142847557524,-0.007722879632104931,0.010635894370527078,556,NULL,
phase1,QB,interceptions,2021,r_squared_delta,0.00584303582084722,,,556,NULL,
phase1,QB,interceptions,2022,rmse_delta,-0.006374535776312751,-0.013520592381187038,0.0008748159803333194,544,NULL,
phase1,QB,interceptions,2022,r_squared_delta,0.007278039158525429,,,544,NULL,
phase1,QB,interceptions,2023,rmse_delta,-0.0016993084395018343,-0.00836291019801616,0.005024571144389153,552,NULL,
phase1,QB,interceptions,2023,r_squared_delta,0.008018342390840982,,,552,NULL,
phase1,QB,interceptions,2024,rmse_delta,-0.0016348097334530909,-0.007453532570753018,0.003616788630678874,571,NULL,
phase1,QB,interceptions,2024,r_squared_delta,0.008883694070934256,,,571,NULL,
phase1,QB,interceptions,pooled,rmse_delta,-0.0024519141870443795,-0.006776572641609077,0.0019079030525195049,2223,NULL,
phase1,QB,interceptions,pooled,r_squared_delta,0.00584303582084722,,,2223,NULL,
phase1,QB,rushing_yards,2021,rmse_delta,0.07169072726603076,-0.022219593421792402,0.16192798394586363,556,NULL,
phase1,QB,rushing_yards,2021,r_squared_delta,0.0019707947828424555,,,556,NULL,
phase1,QB,rushing_yards,2022,rmse_delta,-0.0031957443653425344,-0.061802673003617234,0.05740356034450203,544,NULL,
phase1,QB,rushing_yards,2022,r_squared_delta,0.0009014738992544347,,,544,NULL,
phase1,QB,rushing_yards,2023,rmse_delta,0.03273640248810139,-0.021877114557909926,0.09343627521480788,552,NULL,
phase1,QB,rushing_yards,2023,r_squared_delta,0.0008184987489266993,,,552,NULL,
phase1,QB,rushing_yards,2024,rmse_delta,-0.00913022728605739,-0.04763592399068077,0.028454031866145684,571,NULL,
phase1,QB,rushing_yards,2024,r_squared_delta,0.0005254297665403529,,,571,NULL,
phase1,QB,rushing_yards,pooled,rmse_delta,0.029262291312122102,-0.01372807078901328,0.06791214299389789,2223,NULL,
phase1,QB,rushing_yards,pooled,r_squared_delta,0.0019707947828424555,,,2223,NULL,
phase1,QB,rushing_tds,2021,rmse_delta,0.0009958930153586842,-0.003063349265978001,0.00459128707797807,556,NULL,
phase1,QB,rushing_tds,2021,r_squared_delta,0.007217769021817921,,,556,NULL,
phase1,QB,rushing_tds,2022,rmse_delta,-0.00042792937383939744,-0.002499341270753938,0.0014807796429830214,544,NULL,
phase1,QB,rushing_tds,2022,r_squared_delta,0.003967904022541102,,,544,NULL,
phase1,QB,rushing_tds,2023,rmse_delta,-0.002051280757973173,-0.003835797017125725,0.00011926240187328146,552,NULL,
phase1,QB,rushing_tds,2023,r_squared_delta,0.0037273809927027557,,,552,NULL,
phase1,QB,rushing_tds,2024,rmse_delta,0.003158054524286802,0.0009846724830312986,0.005062006169432859,571,NULL,
phase1,QB,rushing_tds,2024,r_squared_delta,0.005086829502773393,,,571,NULL,
phase1,QB,rushing_tds,pooled,rmse_delta,0.0005299449306893078,-0.001130160237718579,0.0019585327174650104,2223,NULL,
phase1,QB,rushing_tds,pooled,r_squared_delta,0.007217769021817921,,,2223,NULL,
phase1,QB,fumbles_lost,2021,rmse_delta,-0.0001789424862043143,-0.0024639211755570767,0.0022098410190971862,556,NULL,
phase1,QB,fumbles_lost,2021,r_squared_delta,0.005434437523256674,,,556,NULL,
phase1,QB,fumbles_lost,2022,rmse_delta,-0.0012578073040829807,-0.0035063068730417425,0.001306818004496831,544,NULL,
phase1,QB,fumbles_lost,2022,r_squared_delta,0.004684619950983904,,,544,NULL,
phase1,QB,fumbles_lost,2023,rmse_delta,0.0004649843677860255,-0.0017851650238097428,0.0025581160716649713,552,NULL,
phase1,QB,fumbles_lost,2023,r_squared_delta,0.00503676601208769,,,552,NULL,
