phase,position,stat_or_composite,year_or_pooled,metric_name,point,lo_95,hi_95,n_paired,verdict,reason
phase1,QB,passing_yards,2021,rmse_delta,-0.631504642443744,-1.442819930361111,0.14850768574757608,535,NULL,
phase1,QB,passing_yards,2021,r_squared_delta,0.007996899968888305,,,535,NULL,
phase1,QB,passing_yards,2022,rmse_delta,0.03489189975442741,-0.8659427012091744,0.8763134952805995,370,NULL,
phase1,QB,passing_yards,2022,r_squared_delta,0.008752415069922193,,,370,NULL,
phase1,QB,passing_yards,2023,rmse_delta,-0.14315198921812566,-0.8486661118481553,0.6415794492198666,487,NULL,
phase1,QB,passing_yards,2023,r_squared_delta,0.007498701296816734,,,487,NULL,
phase1,QB,passing_yards,2024,rmse_delta,-0.21203854671583144,-0.7633450818087251,0.36810310759767034,562,NULL,
phase1,QB,passing_yards,2024,r_squared_delta,0.006513322298576818,,,562,NULL,
phase1,QB,passing_yards,pooled,rmse_delta,-0.26706755106906144,-0.6524544715952683,0.09502042650607508,1954,NULL,
phase1,QB,passing_yards,pooled,r_squared_delta,0.007996899968888305,,,1954,NULL,
phase1,QB,passing_tds,2021,rmse_delta,0.002559042910439402,-0.0062429201587608394,0.011054820562165344,535,NULL,
phase1,QB,passing_tds,2021,r_squared_delta,0.004997204503649377,,,535,NULL,
phase1,QB,passing_tds,2022,rmse_delta,-0.004382853432004952,-0.010665048694151798,0.001787087929881686,370,NULL,
phase1,QB,passing_tds,2022,r_squared_delta,0.0036755692844751,,,370,NULL,
phase1,QB,passing_tds,2023,rmse_delta,-0.0008570723900624966,-0.008431595950779247,0.008108724742266859,487,NULL,
phase1,QB,passing_tds,2023,r_squared_delta,0.00421853914717174,,,487,NULL,
phase1,QB,passing_tds,2024,rmse_delta,0.0027132330169774566,-0.0021170763245676794,0.007722862825752961,562,NULL,
phase1,QB,passing_tds,2024,r_squared_delta,0.0038451198516323837,,,562,NULL,
