position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
WR,_baseline_run,_candidate_run,pooled,rmse_delta,0.0003823181653750396,-0.006016964412491488,0.007335563260170796,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.006, +0.007] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,pooled,spearman_delta,0.00020213656695455828,-0.0009558498229923801,0.0012330880336393118,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.006, +0.007] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,2021,rmse_delta,0.0006922514336835661,-0.010061635094626742,0.011821753358429209,2109,,
WR,_baseline_run,_candidate_run,2021,spearman_delta,6.301123652907581e-05,-0.002134263647750287,0.002389942221014734,2109,,
WR,_baseline_run,_candidate_run,2022,rmse_delta,-0.0018357902516763502,-0.015471754523834624,0.011032847605039352,2102,,
WR,_baseline_run,_candidate_run,2022,spearman_delta,0.0012870970426730466,-0.0006895208976097383,0.0033594905259172994,2102,,
WR,_baseline_run,_candidate_run,2023,rmse_delta,-0.002840725278353773,-0.014739783040769705,0.008599062040641243,2201,,
WR,_baseline_run,_candidate_run,2023,spearman_delta,-0.00018819417645454806,-0.002051687088885798,0.0018177220637685617,2201,,
WR,_baseline_run,_candidate_run,2024,rmse_delta,0.00569571994279805,-0.009206703245369052,0.02122839929682873,2048,,
WR,_baseline_run,_candidate_run,2024,spearman_delta,-0.0003533678349292302,-0.0028809252563867125,0.00189297848395803,2048,,
