position,incumbent,candidate,year,metric,point,lo_95,hi_95,n_paired,verdict,reason
WR,_baseline_run,_candidate_run,pooled,rmse_delta,0.00681870327688916,-0.0030779571119563085,0.016967643986740732,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.003, +0.017] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,pooled,spearman_delta,-0.001402737449566538,-0.0032560994263040295,0.00024988301253806245,8460,DO_NOT_ADOPT,"RMSE inconclusive: 95% CI [-0.003, +0.017] brackets / exceeds zero"
WR,_baseline_run,_candidate_run,2021,rmse_delta,0.010768543073361947,-0.006078980979265313,0.027737425513069236,2109,,
WR,_baseline_run,_candidate_run,2021,spearman_delta,-0.0011892763048864108,-0.004985499196471279,0.002503153119280076,2109,,
WR,_baseline_run,_candidate_run,2022,rmse_delta,0.0016449161061800055,-0.023244179806148235,0.02520074334280866,2102,,
WR,_baseline_run,_candidate_run,2022,spearman_delta,0.0002990274022768302,-0.003308871677831296,0.004183929966222452,2102,,
WR,_baseline_run,_candidate_run,2023,rmse_delta,0.0018223585849934665,-0.016666475573563,0.019489767311411985,2201,,
WR,_baseline_run,_candidate_run,2023,spearman_delta,-0.002172023367675413,-0.004838106494920066,0.0009588488710067036,2201,,
WR,_baseline_run,_candidate_run,2024,rmse_delta,0.01326889431981293,-0.00810548716472299,0.034698565960387756,2048,,
WR,_baseline_run,_candidate_run,2024,spearman_delta,-0.002548677527980936,-0.005969340106685444,0.0007166485573745907,2048,,
