rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
1,00-0034796,QB,419.61525490552555,19,Lamar Jackson,BAL
2,00-0039910,QB,396.8651267722971,20,Jayden Daniels,WAS
3,00-0036389,QB,393.0463564678359,21,Jalen Hurts,PHI
4,00-0034857,QB,382.97097791472066,20,Josh Allen,BUF
5,00-0034844,RB,361.2573631453689,21,Saquon Barkley,PHI
6,00-0033873,QB,349.3414196981189,20,Patrick Mahomes,KC
7,00-0033106,QB,333.0034769439475,18,Jared Goff,DET
8,00-0032950,QB,323.00346609408734,20,Carson Wentz,MIN
9,00-0034855,QB,322.1361067630436,18,Baker Mayfield,TB
10,00-0036442,QB,300.49329903557333,17,Joe Burrow,CIN
11,00-0039337,WR,296.90230951007453,17,Malik Nabers,NYG
12,00-0034869,QB,293.893720863676,18,Sam Darnold,SEA
13,00-0037834,QB,291.63231187069886,17,Brock Purdy,SF
14,00-0039163,QB,288.7020892680791,19,C.J. Stroud,HOU
15,00-0035228,QB,288.5399633242144,17,Kyler Murray,MIN
16,00-0037840,RB,287.8907634642075,19,Kyren Williams,LAR
17,00-0033897,RB,286.41982955468563,19,Joe Mixon,
18,00-0026498,QB,286.3782933181064,19,Matthew Stafford,LAR
19,00-0036963,WR,285.36233167141563,18,Amon-Ra St. Brown,DET
20,00-0036264,QB,284.87977664857743,18,Jordan Love,GB
21,00-0036358,WR,281.7868304840346,16,CeeDee Lamb,DAL
22,00-0038542,RB,279.4311399155575,17,Bijan Robinson,ATL
23,00-0038120,RB,276.81115316528917,17,Breece Hall,NYJ
24,00-0035676,WR,276.4419637754888,21,A.J. Brown,PHI
25,00-0032764,RB,275.6375425024138,19,Derrick Henry,BAL
26,00-0036322,WR,273.2819745471708,18,Justin Jefferson,MIN
27,00-0030565,QB,271.6436346812662,17,Geno Smith,NYJ
28,00-0039732,QB,270.90292763549036,18,Bo Nix,DEN
29,00-0033906,RB,269.43749452244685,17,Alvin Kamara,NO
30,00-0036355,QB,268.35411051035896,18,Justin Herbert,LAC
31,00-0037248,RB,264.27339343789055,20,James Cook,BUF
32,00-0039164,QB,261.06253648845365,17,Anthony Richardson,IND
33,00-0039064,WR,261.0476194075309,19,Zay Flowers,BAL
34,00-0036900,WR,260.10590279174966,17,Ja'Marr Chase,CIN
35,00-0033293,RB,259.79277772177073,18,Aaron Jones,MIN
36,00-0039139,RB,258.7478564567813,18,Jahmyr Gibbs,DET
37,00-0039918,QB,255.86448221254355,17,Caleb Williams,CHI
38,00-0036223,RB,255.15922043953955,17,Jonathan Taylor,IND
39,00-0037740,WR,253.52141989785508,17,Garrett Wilson,NYJ
40,00-0029604,QB,251.93431734666828,17,Kirk Cousins,LV
41,00-0033908,WR,251.73291694731356,16,Cooper Kupp,SEA
42,00-0030506,TE,250.51752221573554,20,Travis Kelce,KC
43,00-0035700,RB,248.00262982300353,18,Josh Jacobs,GB
44,00-0035659,WR,245.97841123188965,20,Terry McLaurin,WAS
45,00-0036555,RB,243.919308284375,16,Chuba Hubbard,CAR
46,00-0038134,RB,242.37812040365398,16,Kenneth Walker III,KC
