rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
1,00-0034796,QB,418.99870332670514,19,Lamar Jackson,BAL
2,00-0036389,QB,390.12151918816147,21,Jalen Hurts,PHI
3,00-0034857,QB,386.899135812846,20,Josh Allen,BUF
4,00-0039910,QB,378.2585075105295,20,Jayden Daniels,WAS
5,00-0034844,RB,360.8717447590824,21,Saquon Barkley,PHI
6,00-0033873,QB,356.0865505332676,20,Patrick Mahomes,KC
7,00-0033106,QB,320.9834309205392,18,Jared Goff,DET
8,00-0034855,QB,317.02731892460974,18,Baker Mayfield,TB
9,00-0037834,QB,303.08683682733783,17,Brock Purdy,SF
10,00-0036442,QB,296.31203571065146,17,Joe Burrow,CIN
11,00-0034869,QB,294.91189773163154,18,Sam Darnold,SEA
12,00-0039163,QB,292.75732837359135,19,C.J. Stroud,HOU
13,00-0026498,QB,292.18828556831403,19,Matthew Stafford,LAR
14,00-0036264,QB,288.8122410696306,18,Jordan Love,GB
15,00-0036963,WR,288.44409694661937,18,Amon-Ra St. Brown,DET
16,00-0037840,RB,287.8944926757162,19,Kyren Williams,LAR
17,00-0033897,RB,286.0316527148595,19,Joe Mixon,
18,00-0035228,QB,284.5719342737865,17,Kyler Murray,MIN
19,00-0035676,WR,281.89127321081065,21,A.J. Brown,PHI
20,00-0039732,QB,281.12000971737575,18,Bo Nix,DEN
21,00-0038542,RB,280.29765957589336,17,Bijan Robinson,ATL
22,00-0030565,QB,278.553390799955,17,Geno Smith,NYJ
23,00-0038120,RB,276.9620205230453,17,Breece Hall,NYJ
24,00-0032764,RB,275.8582586609375,19,Derrick Henry,BAL
25,00-0036322,WR,274.32607553405614,18,Justin Jefferson,MIN
26,00-0036355,QB,273.03824067420277,18,Justin Herbert,LAC
27,00-0039064,WR,268.8518606513952,19,Zay Flowers,BAL
28,00-0033906,RB,268.3000571965965,17,Alvin Kamara,NO
29,00-0037248,RB,266.24574605519285,20,James Cook,BUF
30,00-0039164,QB,265.53008627132925,17,Anthony Richardson,IND
31,00-0039337,WR,261.1001153859546,17,Malik Nabers,NYG
32,00-0033293,RB,260.27503071459,18,Aaron Jones,MIN
33,00-0039139,RB,259.6965262686949,18,Jahmyr Gibbs,DET
34,00-0037740,WR,256.59862922017834,17,Garrett Wilson,NYJ
35,00-0039918,QB,256.5632780119258,17,Caleb Williams,CHI
36,00-0029604,QB,255.8622688678653,17,Kirk Cousins,LV
37,00-0035659,WR,255.23042522443632,20,Terry McLaurin,WAS
38,00-0036223,RB,255.22023402071687,17,Jonathan Taylor,IND
39,00-0036358,WR,253.7895945233285,16,CeeDee Lamb,DAL
40,00-0030506,TE,250.56068771898572,20,Travis Kelce,KC
41,00-0036912,WR,250.47251940679075,19,DeVonta Smith,PHI
42,00-0036900,WR,249.32511439960774,17,Ja'Marr Chase,CIN
43,00-0035700,RB,248.1247015459441,18,Josh Jacobs,GB
44,00-0038134,RB,243.2946625227957,16,Kenneth Walker III,KC
45,00-0036555,RB,242.13420731955938,16,Chuba Hubbard,CAR
46,00-0032950,QB,241.38774957521815,20,Carson Wentz,MIN
47,00-0035261,RB,239.98888413555522,17,Tony Pollard,TEN
48,00-0033553,RB,237.84022031060692,17,James Conner,ARI
49,00-0023459,QB,237.05494695634133,17,Aaron Rodgers,PIT
50,00-0029263,QB,236.8815028331191,16,Russell Wilson,NYG
51,00-0037238,WR,236.17675901639373,17,Drake London,ATL
52,00-0039040,RB,235.78657512452907,17,De'Von Achane,MIA
53,00-0033908,WR,233.8412061423816,16,Cooper Kupp,SEA
54,00-0036410,WR,230.5771628826397,17,Tee Higgins,CIN
55,00-0034827,WR,230.14879415759867,17,D.J. Moore,BUF
56,00-0031280,QB,229.8786721739248,17,Derek Carr,
57,00-0037744,TE,229.74872602216507,17,Trey McBride,ARI
58,00-0035640,WR,228.40978127322134,17,DK Metcalf,PIT
59,00-0038597,RB,227.81496114984964,17,Chase Brown,CIN
60,00-0034348,WR,226.992889799377,18,Courtland Sutton,DEN
61,00-0037247,WR,226.49929343257247,18,George Pickens,DAL
62,00-0031381,WR,224.42690262028083,16,Davante Adams,LAR
63,00-0038543,WR,223.68716126856373,17,Jaxon Smith-Njigba,SEA
64,00-0037746,RB,223.61931426228884,20,Brian Robinson,ATL
65,00-0033040,WR,223.46737756341582,17,Tyreek Hill,
66,00-0035685,RB,223.4583351227924,18,David Montgomery,HOU
