rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
1,00-0034796,QB,427.02809233166556,19,Lamar Jackson,BAL
2,00-0036389,QB,399.8344954590695,21,Jalen Hurts,PHI
3,00-0034857,QB,386.24926776419727,20,Josh Allen,BUF
4,00-0039910,QB,379.2101930800475,20,Jayden Daniels,WAS
5,00-0034844,RB,361.2573631453689,21,Saquon Barkley,PHI
6,00-0033873,QB,356.0238734568355,20,Patrick Mahomes,KC
7,00-0033106,QB,318.01486927208094,18,Jared Goff,DET
8,00-0034855,QB,317.1756214680465,18,Baker Mayfield,TB
9,00-0037834,QB,305.41936780794316,17,Brock Purdy,SF
10,00-0036442,QB,297.29759271870194,17,Joe Burrow,CIN
11,00-0039163,QB,295.58816089937386,19,C.J. Stroud,HOU
12,00-0034869,QB,295.1867605724653,18,Sam Darnold,SEA
13,00-0026498,QB,291.12518840836174,19,Matthew Stafford,LAR
14,00-0036264,QB,288.94092306156864,18,Jordan Love,GB
15,00-0037840,RB,287.8907634642075,19,Kyren Williams,LAR
16,00-0035228,QB,286.7253784112078,17,Kyler Murray,MIN
17,00-0036963,WR,286.45432816337836,18,Amon-Ra St. Brown,DET
18,00-0033897,RB,286.41982955468563,19,Joe Mixon,
19,00-0039732,QB,283.9365465207754,18,Bo Nix,DEN
20,00-0035676,WR,281.10929468164335,21,A.J. Brown,PHI
21,00-0030565,QB,280.4193739528635,17,Geno Smith,NYJ
22,00-0038542,RB,279.4311399155575,17,Bijan Robinson,ATL
23,00-0038120,RB,276.81115316528917,17,Breece Hall,NYJ
24,00-0036355,QB,276.30331418824665,18,Justin Herbert,LAC
25,00-0036322,WR,275.84339447563053,18,Justin Jefferson,MIN
26,00-0032764,RB,275.6375425024138,19,Derrick Henry,BAL
27,00-0039164,QB,271.65927667497436,17,Anthony Richardson,IND
28,00-0033906,RB,269.43749452244685,17,Alvin Kamara,NO
29,00-0039064,WR,269.4338052223611,19,Zay Flowers,BAL
30,00-0037248,RB,264.27339343789055,20,James Cook,BUF
31,00-0033293,RB,259.79277772177073,18,Aaron Jones,MIN
32,00-0039139,RB,258.7478564567813,18,Jahmyr Gibbs,DET
33,00-0029604,QB,256.7762848677201,17,Kirk Cousins,LV
34,00-0039337,WR,256.36104192037453,17,Malik Nabers,NYG
35,00-0039918,QB,255.81625815303192,17,Caleb Williams,CHI
36,00-0036223,RB,255.15922043953955,17,Jonathan Taylor,IND
37,00-0035659,WR,254.87317141926565,20,Terry McLaurin,WAS
38,00-0036358,WR,253.24216889789162,16,CeeDee Lamb,DAL
39,00-0037740,WR,252.72361405600626,17,Garrett Wilson,NYJ
40,00-0030506,TE,250.51752221573554,20,Travis Kelce,KC
41,00-0036900,WR,250.38066022220463,17,Ja'Marr Chase,CIN
42,00-0036912,WR,248.39745511830807,19,DeVonta Smith,PHI
43,00-0035700,RB,248.00262982300353,18,Josh Jacobs,GB
44,00-0036555,RB,243.919308284375,16,Chuba Hubbard,CAR
45,00-0038134,RB,242.37812040365398,16,Kenneth Walker III,KC
46,00-0032950,QB,242.01328403391693,20,Carson Wentz,MIN
47,00-0035261,RB,240.121813738996,17,Tony Pollard,TEN
48,00-0033553,RB,238.7065494416005,17,James Conner,ARI
49,00-0029263,QB,238.00058953188565,16,Russell Wilson,NYG
50,00-0037238,WR,237.5431652455161,17,Drake London,ATL
51,00-0039040,RB,235.3805944633027,17,De'Von Achane,MIA
52,00-0031280,QB,233.80619116760687,17,Derek Carr,
53,00-0023459,QB,233.64271746325386,17,Aaron Rodgers,PIT
54,00-0036410,WR,231.28284330686856,17,Tee Higgins,CIN
55,00-0037744,TE,229.57955938219845,17,Trey McBride,ARI
56,00-0033908,WR,229.52461298806168,16,Cooper Kupp,SEA
57,00-0034827,WR,228.12131434081968,17,D.J. Moore,BUF
58,00-0036945,QB,227.87579603992413,18,Justin Fields,KC
59,00-0037247,WR,227.74165356441205,18,George Pickens,DAL
60,00-0038597,RB,226.64123499621599,17,Chase Brown,CIN
61,00-0035640,WR,226.1949270730936,17,DK Metcalf,PIT
62,00-0034348,WR,226.19171460497802,18,Courtland Sutton,DEN
63,00-0035685,RB,222.83585913413918,18,David Montgomery,HOU
64,00-0037746,RB,222.7230205820124,20,Brian Robinson,ATL
65,00-0033040,WR,222.62005952937466,17,Tyreek Hill,
66,00-0031381,WR,222.60570471272578,16,Davante Adams,LAR
67,00-0039338,TE,221.63762642294617,17,Brock Bowers,LV
68,00-0038543,WR,221.00569739110796,17,Jaxon Smith-Njigba,SEA
69,00-0031408,WR,220.68050048005426,18,Mike Evans,SF
70,00-0037256,RB,220.41310696299402,18,Rachaad White,WAS
71,00-0036893,RB,217.24985825035336,18,Najee Harris,LAC
72,00-0031544,WR,216.01505029514766,20,Amari Cooper,
73,00-0036309,WR,213.68721806403258,17,Darnell Mooney,NYG
74,00-0037261,WR,212.7473940992518,20,Khalil Shakir,BUF
75,00-0032436,QB,208.37465161215306,20,Jeff Driskel,WAS
76,00-0036997,RB,208.3392609717955,18,Javonte Williams,DAL
77,00-0030279,WR,207.94688867119498,17,Keenan Allen,LAC
78,00-0036275,RB,207.10333826306345,17,D'Andre Swift,CHI
79,00-0034771,QB,205.6907665484799,17,Mason Rudolph,PIT
80,00-0035282,QB,204.99833517157577,15,Easton Stick,ATL
81,00-0039075,WR,202.4065638632755,14,Puka Nacua,LAR
82,00-0036212,QB,202.04399558971045,13,Tua Tagovailoa,ATL
83,00-0028118,QB,201.47867615892687,17,Tyrod Taylor,GB
