player,position,max_bid,espn_price,value_gap,proj_pts,adp,gsis_id
Jahmyr Gibbs,RB,69,64,-5,303,2.405,00-0039139
Bijan Robinson,RB,68,63,-5,302,1.805,00-0038542
Christian McCaffrey,RB,61,55,-6,283,6.0600000000000005,00-0033280
Jonathan Taylor,RB,57,51,-6,268,8.03,00-0036223
James Cook III,RB,52,42,-10,252,11.53,00-0037248
Derrick Henry,RB,51,35,-16,248,26.575,00-0032764
De'Von Achane,RB,49,47,-2,241,14.045,00-0039040
Ashton Jeanty,RB,49,38,-11,241,14.495000000000001,00-0040122
Saquon Barkley,RB,48,37,-11,238,17.41,00-0034844
Omarion Hampton,RB,47,37,-10,234,19.564999999999998,00-0040666
Puka Nacua,WR,46,60,14,276,4.25,00-0039075
Chase Brown,RB,46,32,-14,233,24.615000000000002,00-0038597
Kenneth Walker III,RB,45,29,-16,230,21.32,00-0038134
Jeremiyah Love,RB,45,40,-5,229,19.015,99-8467088
Ja'Marr Chase,WR,43,59,16,265,4.015,00-0036900
Breece Hall,RB,42,27,-15,220,36.099999999999994,00-0038120
Josh Jacobs,RB,42,30,-12,219,27.23,00-0035700
Javonte Williams,RB,40,24,-16,214,41.78,00-0036997
Jaxon Smith-Njigba,WR,37,55,18,250,5.825,00-0038543
Kyren Williams,RB,37,23,-14,203,38.64,00-0037840
Amon-Ra St. Brown,WR,36,52,16,245,9.495,00-0036963
Travis Etienne Jr.,RB,36,18,-18,203,43.99,00-0036973
Cam Skattebo,RB,35,19,-16,199,51.235,00-0040715
Quinshon Judkins,RB,34,17,-17,194,62.485,00-0040784
CeeDee Lamb,WR,32,48,16,231,10.89,00-0036358
D'Andre Swift,RB,32,9,-23,189,67.455,00-0036275
Bucky Irving,RB,32,15,-17,188,42.945,00-0039361
Justin Jefferson,WR,29,47,18,221,12.41,00-0036322
Josh Allen,QB,28,30,2,382,25.924999999999997,00-0034857
David Montgomery,RB,28,9,-19,178,72.87,00-0035685
TreVeyon Henderson,RB,27,10,-17,174,57.525000000000006,00-0040734
Bhayshul Tuten,RB,27,8,-19,173,68.34,00-0040719
Jadarian Price,RB,26,10,-16,170,101.935,99-1580271
Drake London,WR,25,39,14,211,17.03,00-0037238
Trey McBride,TE,24,37,13,192,19.875,00-0037744
Nico Collins,WR,23,29,6,205,22.34,00-0036554
A.J. Brown,WR,23,29,6,203,28.92,00-0035676
Rashee Rice,WR,23,36,13,203,29.045,00-0039067
Brock Bowers,TE,23,31,8,188,24.979999999999997,00-0039338
Rhamondre Stevenson,RB,23,2,-21,161,95.92,00-0036875
Jaylen Warren,RB,23,4,-19,160,84.03999999999999,00-0037228
Tony Pollard,RB,23,5,-18,160,92.755,00-0035261
George Pickens,WR,22,26,4,201,25.315,00-0037247
Chuba Hubbard,RB,22,3,-19,158,90.795,00-0036555
Garrett Wilson,WR,21,25,4,196,39.59,00-0037740
J.K. Dobbins,RB,21,2,-19,155,108.275,00-0036158
Rico Dowdle,RB,21,2,-19,153,97.66499999999999,00-0036139
Zay Flowers,WR,20,19,-1,193,46.955,00-0039064
Kyle Monangai,RB,20,2,-18,153,103.08,00-0040236
Chris Olave,WR,19,24,5,194,29.794999999999998,00-0037239
Aaron Jones Sr.,RB,19,2,-17,148,110.245,00-0033293
Emeka Egbuka,WR,18,18,0,188,53.105000000000004,00-0040129
Tetairoa McMillan,WR,18,21,3,187,39.254999999999995,00-0040124
DeVonta Smith,WR,17,20,3,186,46.32,00-0036912
Colston Loveland,TE,16,14,-2,166,45.75,00-0040126
Lamar Jackson,QB,15,16,1,341,37.355000000000004,00-0034796
Drake Maye,QB,15,13,-2,340,48.065,00-0039851
Malik Nabers,WR,15,19,4,179,24.53,00-0039337
Tee Higgins,WR,15,13,-2,179,42.945,00-0036410
Terry McLaurin,WR,15,13,-2,178,55.065,00-0035659
Davante Adams,WR,15,16,1,177,46.215,00-0031381
Blake Corum,RB,15,1,-14,139,111.255,00-0039738
Kenny Gainwell,RB,15,2,-13,137,115.89,00-0036919
