AUCTION CHEAT SHEET — will_half12_pass5_2026
12 teams · $200 budget · 13 roster spots (8 starters)

THE RULE: bid up to MAX BID. Never one dollar more. Walk away and take the next name.
MAX BID already includes the stud premium — do not add anything on top of it.
A '*' marks a stud (top 36 by value); its MAX BID is 1.3x what the player is worth.

Total money in the room: $2400.  Your even pace: $15 per roster spot.
Expect most of the budget to go on ~3 studs and most of the roster to cost $1.
That is the plan, not a mistake — do not hold money back for later.

--- RB ----------------------------------------------------------
 MAX BID   player                    worth  ESPN   proj    adp
     $90*  Jahmyr Gibbs                $69   $64    303      2
     $88*  Bijan Robinson              $68   $63    302      2
     $79*  Christian McCaffrey         $61   $55    283      6
     $74*  Jonathan Taylor             $57   $51    268      8
     $68*  James Cook III              $52   $42    252     12
     $66*  Derrick Henry               $51   $35    248     27
     $64*  De'Von Achane               $49   $47    241     14
     $64*  Ashton Jeanty               $49   $38    241     14
     $62*  Saquon Barkley              $48   $37    238     17
     $61*  Omarion Hampton             $47   $37    234     20
     $60*  Chase Brown                 $46   $32    233     25
     $58*  Kenneth Walker III          $45   $29    230     21
     $58*  Jeremiyah Love              $45   $40    229     19
     $55*  Breece Hall                 $42   $27    220     36
     $55*  Josh Jacobs                 $42   $30    219     27
     $52*  Javonte Williams            $40   $24    214     42
     $48*  Kyren Williams              $37   $23    203     39
     $47*  Travis Etienne Jr.          $36   $18    203     44
     $46*  Cam Skattebo                $35   $19    199     51
     $44*  Quinshon Judkins            $34   $17    194     62
     $42*  D'Andre Swift               $32    $9    189     67
     $42*  Bucky Irving                $32   $15    188     43
     $36*  David Montgomery            $28    $9    178     73
     $35*  TreVeyon Henderson          $27   $10    174     58
     $35*  Bhayshul Tuten              $27    $8    173     68
     $34*  Jadarian Price              $26   $10    170    102
     $23   Rhamondre Stevenson         $23    $2    161     96
     $23   Jaylen Warren               $23    $4    160     84
     $23   Tony Pollard                $23    $5    160     93
     $22   Chuba Hubbard               $22    $3    158     91

--- WR ----------------------------------------------------------
 MAX BID   player                    worth  ESPN   proj    adp
     $60*  Puka Nacua                  $46   $60    276      4
     $56*  Ja'Marr Chase               $43   $59    265      4
     $48*  Jaxon Smith-Njigba          $37   $55    250      6
     $47*  Amon-Ra St. Brown           $36   $52    245      9
     $42*  CeeDee Lamb                 $32   $48    231     11
     $38*  Justin Jefferson            $29   $47    221     12
     $32*  Drake London                $25   $39    211     17
     $30*  Nico Collins                $23   $29    205     22
     $23   A.J. Brown                  $23   $29    203     29
     $23   Rashee Rice                 $23   $36    203     29
     $22   George Pickens              $22   $26    201     25
     $21   Garrett Wilson              $21   $25    196     40
     $20   Zay Flowers                 $20   $19    193     47
     $19   Chris Olave                 $19   $24    194     30
     $18   Emeka Egbuka                $18   $18    188     53
     $18   Tetairoa McMillan           $18   $21    187     39
     $17   DeVonta Smith               $17   $20    186     46
     $15   Malik Nabers                $15   $19    179     25
     $15   Tee Higgins                 $15   $13    179     43
     $15   Terry McLaurin              $15   $13    178     55
     $15   Davante Adams               $15   $16    177     46
     $14   Ladd McConkey               $14   $14    176     53
     $14   Jameson Williams            $14   $10    176     60
     $12   Jaylen Waddle               $12   $12    169     54
     $11   Rome Odunze                 $11    $8    169     75
     $11   Luther Burden III           $11    $8    167     58
     $10   Carnell Tate                $10    $9    163     62
     $10   Mike Evans                  $10    $7    163     72
     $10   Alec Pierce                 $10    $3    162     96
      $9   DJ Moore                     $9    $8    161     63

--- TE ----------------------------------------------------------
 MAX BID   player                    worth  ESPN   proj    adp
     $31*  Trey McBride                $24   $37    192     20
     $23   Brock Bowers                $23   $31    188     25
     $16   Colston Loveland            $16   $14    166     46
     $13   Tyler Warren                $13   $14    159     52
     $11   Sam LaPorta                 $11    $5    152     83
      $9   Harold Fannin Jr.            $9    $6    144     68
      $8   Kyle Pitts Sr.               $8    $6    142     74
      $7   George Kittle                $7    $4    139     98
      $6   Travis Kelce                 $6    $3    136    104
      $6   Tucker Kraft                 $6    $3    135     92
      $5   Mark Andrews                 $5    $1    134    125
      $3   Dallas Goedert               $3    $2    128    107
      $3   Jake Ferguson                $3    $2    127    110
      $3   Dalton Kincaid               $3    $1    125    122
      $2   Isaiah Likely                $2    $2    123    127

--- QB ----------------------------------------------------------
 MAX BID   player                    worth  ESPN   proj    adp
     $36*  Josh Allen                  $28   $30    382     26
     $15   Lamar Jackson               $15   $16    341     37
     $15   Drake Maye                  $15   $13    340     48
     $12   Jayden Daniels              $12   $11    331     58
     $12   Jalen Hurts                 $12   $11    331     63
     $11   Joe Burrow                  $11   $11    329     57
      $7   Dak Prescott                 $7    $5    315     96
      $6   Jaxson Dart                  $6    $6    314     77
      $6   Brock Purdy                  $6    $5    312    103
      $6   Justin Herbert               $6    $4    312    103
      $6   Trevor Lawrence              $6    $4    312    104
      $6   Matthew Stafford             $6    $5    312    106
      $6   Bo Nix                       $6    $4    312    119
      $5   Caleb Williams               $5    $5    309     95
      $3   Patrick Mahomes              $3    $5    303    106
